"","2005-11-16","2005-12-16","2006-01-16","2006-02-16","2006-03-28","2006-06-16","2006-06-26","2006-07-03","2006-07-17","2006-08-16","2006-09-14","2006-10-16","2006-11-17","2006-12-15","2007-01-16","2007-02-16","2007-03-21","2007-04-16","2007-05-10","2007-06-15","2007-07-13","2007-08-16","2007-09-14","2007-10-15","2007-11-16","2007-12-14","2008-01-16","2008-02-15","2008-03-17","2008-04-14","2008-05-16","2008-06-19","2008-07-14","2008-08-15","2008-09-16","2008-10-16","2008-11-17","2008-12-16","2009-01-16","2009-02-16","2009-03-16","2010-03-04","2010-03-15","2010-04-16","2010-05-17","2010-06-15","2010-07-14","2010-08-16","2010-09-15","2010-10-15","2010-11-15","2010-12-14","2011-01-17","2011-02-14","2011-03-17","2011-04-15","2011-05-16","2011-06-15","2011-07-15","2011-08-15","2011-09-15","2011-10-17","2011-11-14","2011-12-15","2012-01-16","2012-02-14","2012-03-15","2012-04-16","2012-05-14","2012-06-15","2012-07-16","2012-08-15","2012-09-17","2012-10-15","2012-11-14","2012-12-17","2013-01-16","2013-02-15","2013-04-15","2013-05-15","2013-06-17","2013-07-15","2013-08-12","2013-09-16","2013-10-15","2013-11-15","2013-12-16","2014-01-16","2014-02-17","2014-03-17","2014-04-15","2014-05-15","2014-06-16","2014-07-15","2014-08-15","2014-09-15","2014-10-15","2014-11-17","2014-12-15","2015-01-16","2015-02-17","2015-03-16","2015-04-15","2015-05-15","2015-06-15","2015-07-15","2015-08-17","2015-09-15","2015-10-15","2015-11-16","2015-12-15","2016-01-15","2016-02-15","2016-03-15","2016-04-15","2016-05-17","2016-06-14","2016-07-15","2016-08-15","2016-09-15","2016-10-17","2016-11-14","2016-12-15","2017-01-16","2017-02-15","2017-03-15","2017-05-15","2017-06-16","2017-07-17","2017-08-15","2017-09-15","2017-10-16","2017-11-15","2017-12-15","2018-01-15","2018-02-15","2018-04-16","2018-05-15","2018-06-15","2018-07-16","2018-08-15","2018-09-17","2018-10-15","2018-11-15","2018-12-17","2019-01-14","2019-02-15","2019-03-15","2019-04-15","2019-05-15","2019-06-17","2019-07-15","2019-08-15","2019-09-16","2019-10-15","2019-11-15","2019-12-16","2020-01-16","2020-02-17","2020-03-16","2020-04-17","2020-05-18","2020-06-15","2020-07-15","2020-08-17","2020-09-15","2020-10-15","2020-11-16","2020-12-15","2021-01-15","2021-02-16","2021-03-16","2021-04-15","2021-05-17","2021-06-15","2021-07-15","2021-08-16","2021-09-15","2021-10-15","2021-11-15","2021-12-15","2022-01-17","2022-02-15","2022-03-16","2022-04-14","2022-05-16","2022-06-15","2022-07-15","2022-08-15","2022-09-15","2022-10-17","2022-11-15","2022-12-15","2023-01-17","2023-02-15","2023-03-16","2023-04-18","2023-05-16","2023-06-16","2023-07-17","2023-08-16","2023-09-15","2023-10-16","2023-12-15","2024-01-16","2024-02-15","2024-03-18","2024-04-15","2024-05-17","2024-06-14","2024-07-12","2024-08-13","2024-09-12","2024-10-16","2024-11-15","2024-12-16","2025-01-16","2025-02-14","2025-03-14","2025-04-14","2025-05-14","2025-06-16","2025-07-14","2025-08-14","2025-09-12"
"1991-01",153.22,153.22,153.22,153.22,153.22,153.29,153.29,153.29,153.29,153.29,153.29,153.29,153.29,153.29,153.29,153.29,153.29,153.29,153.23,153.23,153.23,153.23,153.23,153.23,153.23,153.23,153.23,153.23,153.24,153.24,153.24,153.24,153.24,153.24,153.24,153.24,153.24,153.24,153.24,153.24,153.24,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,166.82,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,170.69,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,158.53,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49
"1991-02",153.85,153.85,153.85,153.85,153.85,153.85,153.85,153.85,153.85,153.85,153.85,153.85,153.85,153.85,153.85,153.85,153.85,153.85,153.8,153.8,153.8,153.8,153.8,153.8,153.8,153.8,153.8,153.8,153.81,153.81,153.81,153.81,153.81,153.81,153.81,153.81,153.81,153.81,153.81,153.81,153.81,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,167.44,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,171.33,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,157.09,157.09,157.09,157.09,157.09,157.09,157.09,157.09,157.09,157.09,157.09,157.09,157.09,157.09,157.09,157.09,157.09,157.09,157.09
"1991-03",153.02,153.02,153.02,153.02,153.02,153.01,153.01,153.01,153.01,153.01,153.01,153.02,153.02,153.02,153.02,153.02,153.02,153.02,152.98,152.98,152.98,152.98,152.98,152.98,152.98,152.98,152.98,152.98,152.98,152.98,152.98,152.98,152.98,152.98,152.98,152.98,152.98,152.98,152.98,152.98,152.98,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,166.54,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,170.41,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,158.27,156.24,156.24,156.24,156.24,156.24,156.24,156.24,156.24,156.24,156.24,156.24,156.24,156.24,156.24,156.24,156.24,156.24,156.24,156.24
"1991-04",152.28,152.28,152.28,152.28,152.28,152.27,152.27,152.27,152.27,152.27,152.27,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,152.28,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,169.62,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,157.53,155.51,155.51,155.51,155.51,155.51,155.51,155.51,155.51,155.51,155.51,155.51,155.51,155.51,155.51,155.51,155.51,155.51,155.51,155.51
"1991-05",151.24,151.24,151.24,151.24,151.24,151.23,151.23,151.23,151.23,151.23,151.23,151.24,151.24,151.24,151.24,151.24,151.24,151.24,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.23,151.23,151.23,151.23,151.23,151.23,151.23,151.23,151.23,151.23,151.23,151.23,151.23,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,164.63,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,156.45,154.44,154.44,154.44,154.44,154.44,154.44,154.44,154.44,154.44,154.44,154.44,154.44,154.44,154.44,154.44,154.44,154.44,154.44,154.44
"1991-06",149.93,149.93,149.93,149.93,149.93,149.93,149.93,149.93,149.93,149.93,149.93,149.91,149.91,149.91,149.91,149.91,149.91,149.91,149.93,149.93,149.93,149.93,149.93,149.93,149.93,149.93,149.93,149.93,149.94,149.94,149.94,149.94,149.94,149.94,149.94,149.94,149.94,149.94,149.94,149.94,149.94,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,163.23,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,167.02,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,155.12,153.14,153.14,153.14,153.14,153.14,153.14,153.14,153.14,153.14,153.14,153.14,153.14,153.14,153.14,153.14,153.14,153.14,153.14,153.14
"1991-07",146.73,146.73,146.73,146.73,146.73,146.72,146.72,146.72,146.72,146.72,146.72,146.72,146.72,146.72,146.72,146.72,146.72,146.72,146.71,146.71,146.71,146.71,146.71,146.71,146.71,146.71,146.71,146.71,146.66,146.66,146.66,146.66,146.66,146.66,146.66,146.66,146.66,146.66,146.66,146.66,146.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,159.66,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,163.37,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,151.73,149.79,149.79,149.79,149.79,149.79,149.79,149.79,149.79,149.79,149.79,149.79,149.79,149.79,149.79,149.79,149.79,149.79,149.79,149.79
"1991-08",145.22,145.22,145.22,145.22,145.22,145.21,145.21,145.21,145.21,145.21,145.21,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,145.2,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,158.07,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,161.74,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29
"1991-09",144.14,144.14,144.14,144.14,144.14,144.13,144.13,144.13,144.13,144.13,144.13,144.12,144.12,144.12,144.12,144.12,144.12,144.12,144.14,144.14,144.14,144.14,144.14,144.14,144.14,144.14,144.14,144.14,144.15,144.15,144.15,144.15,144.15,144.15,144.15,144.15,144.15,144.15,144.15,144.15,144.15,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,156.92,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,160.56,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,149.12,147.21,147.21,147.21,147.21,147.21,147.21,147.21,147.21,147.21,147.21,147.21,147.21,147.21,147.21,147.21,147.21,147.21,147.21,147.21
"1991-10",142.6,142.6,142.6,142.6,142.6,142.6,142.6,142.6,142.6,142.6,142.6,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.62,142.62,142.62,142.62,142.62,142.62,142.62,142.62,142.62,142.62,142.63,142.63,142.63,142.63,142.63,142.63,142.63,142.63,142.63,142.63,142.63,142.63,142.63,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,155.27,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,158.88,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,147.56,145.67,145.67,145.67,145.67,145.67,145.67,145.67,145.67,145.67,145.67,145.67,145.67,145.67,145.67,145.67,145.67,145.67,145.67,145.67
