"","2005-11-22","2005-12-22","2006-01-24","2006-02-20","2006-03-20","2006-04-24","2006-05-24","2006-06-21","2006-07-21","2006-08-22","2006-09-20","2006-10-20","2006-11-22","2006-12-20","2007-01-22","2007-02-23","2007-03-23","2007-04-23","2007-05-23","2007-06-21","2007-07-20","2007-08-21","2007-09-21","2007-10-23","2007-11-21","2007-12-19","2008-01-21","2008-02-20","2008-03-25","2008-04-21","2008-05-21","2008-06-25","2008-07-21","2008-08-22","2008-09-24","2008-10-21","2008-11-25","2008-12-19","2009-01-23","2009-02-25","2009-03-31","2009-04-24","2009-05-25","2009-06-25","2009-07-24","2009-08-25","2009-09-25","2009-10-23","2009-11-25","2009-12-21","2010-01-25","2010-02-25","2010-03-24","2010-04-23","2010-05-25","2010-06-25","2010-07-23","2010-08-25","2010-09-23","2010-10-22","2010-11-25","2010-12-21","2011-01-25","2011-02-24","2011-03-24","2011-04-21","2011-05-24","2011-06-21","2011-07-21","2011-08-25","2011-09-21","2011-10-25","2011-11-23","2011-12-20","2012-01-24","2012-02-22","2012-03-23","2012-04-23","2012-05-25","2012-06-25","2012-07-25","2012-08-24","2012-09-25","2012-10-25","2012-11-23","2012-12-21","2013-01-25","2013-02-25","2013-03-25","2013-04-25","2013-05-23","2013-06-25","2013-07-25","2013-08-23","2013-09-26","2013-10-25","2013-11-25","2013-12-20","2014-01-23","2014-02-24","2014-03-24","2014-04-25","2014-05-22","2014-06-25","2014-07-25","2014-08-25","2014-09-25","2014-10-23","2014-11-24","2014-12-19","2015-01-23","2015-02-25","2015-03-25","2015-04-24","2015-05-22","2015-06-24","2015-07-24","2015-08-25","2015-09-25","2015-10-23","2015-11-25","2015-12-22","2016-01-25","2016-02-25","2016-03-24","2016-04-25","2016-05-25","2016-06-24","2016-07-25","2016-08-25","2016-09-23","2016-10-25","2016-11-25","2016-12-22","2017-01-25","2017-02-24","2017-03-24","2017-04-25","2017-05-24","2017-06-23","2017-07-25","2017-08-25","2017-09-25","2017-10-25","2017-11-24","2017-12-22","2018-01-25","2018-02-23","2018-03-23","2018-04-25","2018-05-25","2018-06-22","2018-07-25","2018-08-24","2018-09-25","2018-10-25","2018-11-23","2018-12-21","2019-01-25","2019-02-25","2019-03-22","2019-04-25","2019-05-24","2019-06-25","2019-07-25","2019-08-23","2019-09-25","2019-10-25","2019-11-25","2019-12-20","2020-01-24","2020-02-25","2020-03-25","2020-04-24","2020-05-25","2020-06-25","2020-07-24","2020-08-25","2020-09-25","2020-10-23","2020-11-25","2020-12-23","2021-01-25","2021-02-25","2021-03-25","2021-04-23","2021-05-25","2021-06-25","2021-07-23","2021-08-25","2021-09-24","2021-10-25","2021-11-25","2021-12-23","2022-01-25","2022-02-25","2022-03-25","2022-04-25","2022-05-25","2022-06-24","2022-07-25","2022-08-25","2022-09-23","2022-10-25","2022-11-25","2022-12-22","2023-01-25","2023-02-24","2023-03-24","2023-04-25","2023-05-25","2023-06-23","2023-07-25","2023-08-25","2024-07-25","2024-08-23","2024-09-25","2024-10-25","2024-11-25","2024-12-23","2025-01-24","2025-02-25","2025-03-25","2025-04-25","2025-05-23","2025-06-25","2025-07-25","2025-08-25"
"1995-01",1459619,1442616,1442616,1442616,1442616,1442616,1442616,1442616,1442616,1442616,1442616,1442616,1442616,1442450,1442450,1442450,1442450,1442450,1442450,1442450,1442450,1442450,1442450,1442450,1442450,1442818,1442818,1442818,1442818,1442818,1442818,1442818,1442818,1442818,1442818,1443128,1443128,1443203,1443203,1443203,1436808,1436808,1436808,1436317,1436317,1436317,1436317,1436317,1436317,1436299,1436299,1436299,1436309,1436283,1436265,1436265,1436265,1436265,1436265,1436265,1436265,1439567,1439567,1439567,1439567,1439223,1439223,1439223,1439223,1439223,1439223,1439223,1439223,1439223,1439223,1439223,1439620,1439620,1439620,1439620,1439620,1439620,1438900,1438900,1438900,1438900,1438900,1438900,1438900,1439229,1439229,1439229,1439229,1439255,1439255,1439255,1439255,1438336,1438336,1438336,1438336,1438336,1438336,1438638,1438638,1438638,1438638,1438638,1438638,1438495,1438495,1438495,1438495,1438495,1438495,1438495,1438495,1438495,1438495,1438495,1438495,1438520,1438182,1437175,1437175,1437175,1437175,1437175,1437175,1437175,1437175,1437175,1437175,1437175,1437175,1437175,1061282,1061282,1061282,1061282,1061282,1061282,1061282,1061282,1061282,1061282,1061282,1061311,1061311,1061311,1061311,1061311,1061311,1061311,1061311,1061311,1061311,1061311,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,1061210,,,,,,,,,,,,,,
"1995-02",1489282,1451547,1451547,1451547,1451547,1451547,1451547,1451547,1451547,1451547,1451547,1451547,1451547,1453425,1453425,1453425,1453425,1453425,1453425,1453425,1453425,1453425,1453425,1453425,1453425,1451819,1451819,1451819,1451819,1451819,1451819,1451819,1451819,1451819,1451819,1452438,1452438,1452638,1452638,1452638,1452866,1452866,1452866,1448960,1448960,1448960,1448960,1448960,1448960,1448938,1448938,1448938,1448952,1448914,1448907,1448907,1448907,1448907,1448907,1448907,1448907,1449973,1449973,1449973,1449973,1450688,1450688,1450688,1450688,1450688,1450688,1450688,1450688,1450688,1450688,1450688,1449973,1449973,1449973,1449973,1449973,1449973,1449274,1449274,1449274,1449274,1449274,1449274,1449274,1449475,1449475,1449475,1449475,1449539,1449539,1449539,1449539,1448986,1448986,1448986,1448986,1448986,1448986,1448934,1448934,1448934,1448934,1448934,1448934,1449060,1449060,1449060,1449060,1449060,1449060,1449060,1449060,1449060,1449060,1449060,1449060,1449070,1448698,1439414,1439414,1439414,1439414,1439414,1439414,1439414,1439414,1439414,1439414,1439414,1439414,1439414,1074422,1074422,1074422,1074422,1074422,1074422,1074422,1074422,1074422,1074422,1074422,1074405,1074405,1074405,1074405,1074405,1074405,1074405,1074405,1074405,1074405,1074405,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,1074159,,,,,,,,,,,,,,
"1995-03",1456887,1435056,1435056,1435056,1435056,1435056,1435056,1435056,1435056,1435056,1435056,1435056,1435056,1434947,1434947,1434947,1434947,1434947,1434947,1434947,1434947,1434947,1434947,1434947,1434947,1434989,1434989,1434989,1434989,1434989,1434989,1434989,1434989,1434989,1434989,1435086,1435086,1435768,1435768,1435768,1440704,1440704,1440704,1441548,1441548,1441548,1441548,1441548,1441548,1441466,1441466,1441466,1441481,1441449,1441451,1441451,1441451,1441451,1441451,1441451,1441451,1434355,1434355,1434355,1434355,1433569,1433569,1433569,1433569,1433569,1433569,1433569,1433569,1433569,1433569,1433569,1434466,1434466,1434466,1434466,1434466,1434466,1435293,1435293,1435293,1435293,1435293,1435293,1435293,1435585,1435585,1435585,1435585,1435578,1435578,1435578,1435578,1435221,1435221,1435221,1435221,1435221,1435221,1434960,1434960,1434960,1434960,1434960,1434960,1435311,1435311,1435311,1435311,1435311,1435311,1435311,1435311,1435311,1435311,1435311,1435311,1435312,1435347,1432102,1432102,1432102,1432102,1432102,1432102,1432102,1432102,1432102,1432102,1432102,1432102,1432102,1052746,1052746,1052746,1052746,1052746,1052746,1052746,1052746,1052746,1052746,1052746,1052534,1052534,1052534,1052534,1052534,1052534,1052534,1052534,1052534,1052534,1052534,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,1054666,,,,,,,,,,,,,,
"1995-04",1427076,1419132,1419132,1419132,1419132,1419132,1419132,1419132,1419132,1419132,1419132,1419132,1419132,1419026,1419026,1419026,1419026,1419026,1419026,1419026,1419026,1419026,1419026,1419026,1419026,1419393,1419393,1419393,1419393,1419393,1419393,1419393,1419393,1419393,1419393,1419685,1419685,1419805,1419805,1419805,1420172,1420172,1420172,1420698,1420698,1420698,1420698,1420698,1420698,1420541,1420541,1420541,1420556,1420543,1420550,1420550,1420550,1420550,1420550,1420550,1420550,1417436,1417436,1417436,1417436,1419345,1419345,1419345,1419345,1419345,1419345,1419345,1419345,1419345,1419345,1419345,1416505,1416505,1416505,1416505,1416505,1416505,1418740,1418740,1418740,1418740,1418740,1418740,1418740,1419158,1419158,1419158,1419158,1419149,1419149,1419149,1419149,1420772,1420772,1420772,1420772,1420772,1420772,1419075,1419075,1419075,1419075,1419075,1419075,1420647,1420647,1420647,1420647,1420647,1420647,1420647,1420647,1420647,1420647,1420647,1420647,1420656,1420356,1420800,1420800,1420800,1420800,1420800,1420800,1420800,1420800,1420800,1420800,1420800,1420800,1420800,1033042,1033042,1033042,1033042,1033042,1033042,1033042,1033042,1033042,1033042,1033042,1032994,1032994,1032994,1032994,1032994,1032994,1032994,1032994,1032994,1032994,1032994,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,1032611,,,,,,,,,,,,,,
"1995-05",1413758,1416417,1416417,1416417,1416417,1416417,1416417,1416417,1416417,1416417,1416417,1416417,1416417,1416278,1416278,1416278,1416278,1416278,1416278,1416278,1416278,1416278,1416278,1416278,1416278,1415294,1415294,1415294,1415294,1415294,1415294,1415294,1415294,1415294,1415294,1415566,1415566,1415535,1415535,1415535,1415583,1415583,1415583,1419022,1419022,1419022,1419022,1419022,1419022,1419540,1419540,1419540,1419514,1419521,1419530,1419530,1419530,1419530,1419530,1419530,1419530,1417793,1417793,1417793,1417793,1417327,1417327,1417327,1417327,1417327,1417327,1417327,1417327,1417327,1417327,1417327,1417797,1417797,1417797,1417797,1417797,1417797,1416665,1416665,1416665,1416665,1416665,1416665,1416665,1417035,1417035,1417035,1417035,1417035,1417035,1417035,1417035,1417959,1417959,1417959,1417959,1417959,1417959,1417984,1417984,1417984,1417984,1417984,1417984,1417897,1417897,1417897,1417897,1417897,1417897,1417897,1417897,1417897,1417897,1417897,1417897,1417903,1417863,1418823,1418823,1418823,1418823,1418823,1418823,1418823,1418823,1418823,1418823,1418823,1418823,1418823,1022294,1022294,1022294,1022294,1022294,1022294,1022294,1022294,1022294,1022294,1022294,1022293,1022293,1022293,1022293,1022293,1022293,1022293,1022293,1022293,1022293,1022293,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,1022054,,,,,,,,,,,,,,
"1995-06",1408160,1413731,1413731,1413731,1413731,1413731,1413731,1413731,1413731,1413731,1413731,1413731,1413731,1413644,1413644,1413644,1413644,1413644,1413644,1413644,1413644,1413644,1413644,1413644,1413644,1414662,1414662,1414662,1414662,1414662,1414662,1414662,1414662,1414662,1414662,1414875,1414875,1415251,1415251,1415251,1415813,1415813,1415813,1416111,1416111,1416111,1416111,1416111,1416111,1415965,1415965,1415965,1415971,1415981,1415974,1415974,1415974,1415974,1415974,1415974,1415974,1418749,1418749,1418749,1418749,1418123,1418123,1418123,1418123,1418123,1418123,1418123,1418123,1418123,1418123,1418123,1419027,1419027,1419027,1419027,1419027,1419027,1417473,1417473,1417473,1417473,1417473,1417473,1417473,1417941,1417941,1417941,1417941,1417907,1417907,1417907,1417907,1417760,1417760,1417760,1417760,1417760,1417760,1417975,1417975,1417975,1417975,1417975,1417975,1417710,1417710,1417710,1417710,1417710,1417710,1417710,1417710,1417710,1417710,1417710,1417710,1417715,1417450,1417994,1417994,1417994,1417994,1417994,1417994,1417994,1417994,1417994,1417994,1417994,1417994,1417994,1009057,1009057,1009057,1009057,1009057,1009057,1009057,1009057,1009057,1009057,1009057,1009040,1009040,1009040,1009040,1009040,1009040,1009040,1009040,1009040,1009040,1009040,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,1008844,,,,,,,,,,,,,,
"1995-07",1395602,1402097,1402097,1402097,1402097,1402097,1402097,1402097,1402097,1402097,1402097,1402097,1402097,1401985,1401985,1401985,1401985,1401985,1401985,1401985,1401985,1401985,1401985,1401985,1401985,1402143,1402143,1402143,1402143,1402143,1402143,1402143,1402143,1402143,1402143,1402360,1402360,1402140,1402140,1402140,1404689,1404689,1404689,1406302,1406302,1406302,1406302,1406302,1406302,1406235,1406235,1406235,1406237,1406243,1406243,1406243,1406243,1406243,1406243,1406243,1406243,1404580,1404580,1404580,1404580,1404340,1404340,1404340,1404340,1404340,1404340,1404340,1404340,1404340,1404340,1404340,1404609,1404609,1404609,1404609,1404609,1404609,1403713,1403713,1403713,1403713,1403713,1403713,1403713,1404052,1404052,1404052,1404052,1404027,1404027,1404027,1404027,1403865,1403865,1403865,1403865,1403865,1403865,1404056,1404056,1404056,1404056,1404056,1404056,1403828,1403828,1403828,1403828,1403828,1403828,1403828,1403828,1403828,1403828,1403828,1403828,1403831,1403703,1405423,1405423,1405423,1405423,1405423,1405423,1405423,1405423,1405423,1405423,1405423,1405423,1405423,1000751,1000751,1000751,1000751,1000751,1000751,1000751,1000751,1000751,1000751,1000751,1001029,1001029,1001029,1001029,1001029,1001029,1001029,1001029,1001029,1001029,1001029,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,1000829,,,,,,,,,,,,,,
"1995-08",1394222,1401857,1401857,1401857,1401857,1401857,1401857,1401857,1401857,1401857,1401857,1401857,1401857,1401822,1401822,1401822,1401822,1401822,1401822,1401822,1401822,1401822,1401822,1401822,1401822,1401931,1401931,1401931,1401931,1401931,1401931,1401931,1401931,1401931,1401931,1402132,1402132,1401937,1401937,1401937,1400309,1400309,1400309,1400507,1400507,1400507,1400507,1400507,1400507,1400079,1400079,1400079,1400072,1400524,1400524,1400524,1400524,1400524,1400524,1400524,1400524,1400944,1400944,1400944,1400944,1400287,1400287,1400287,1400287,1400287,1400287,1400287,1400287,1400287,1400287,1400287,1401011,1401011,1401011,1401011,1401011,1401011,1400609,1400609,1400609,1400609,1400609,1400609,1400609,1400913,1400913,1400913,1400913,1400897,1400897,1400897,1400897,1400734,1400734,1400734,1400734,1400734,1400734,1400946,1400946,1400946,1400946,1400946,1400946,1400728,1400728,1400728,1400728,1400728,1400728,1400728,1400728,1400728,1400728,1400728,1400728,1400732,1400604,1402814,1402814,1402814,1402814,1402814,1402814,1402814,1402814,1402814,1402814,1402814,1402814,1402814,999624,999624,999624,999624,999624,999624,999624,999624,999624,999624,999624,999615,999615,999615,999615,999615,999615,999615,999615,999615,999615,999615,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,999514,,,,,,,,,,,,,,
"1995-09",1384997,1393680,1393680,1393680,1393680,1393680,1393680,1393680,1393680,1393680,1393680,1393680,1393680,1393700,1393700,1393700,1393700,1393700,1393700,1393700,1393700,1393700,1393700,1393700,1393700,1393751,1393751,1393751,1393751,1393751,1393751,1393751,1393751,1393751,1393751,1393935,1393935,1393794,1393794,1393794,1392475,1392475,1392475,1391978,1391978,1391978,1391978,1391978,1391978,1391136,1391136,1391136,1391128,1392014,1392006,1392006,1392006,1392006,1392006,1392006,1392006,1394276,1394276,1394276,1394276,1393462,1393462,1393462,1393462,1393462,1393462,1393462,1393462,1393462,1393462,1393462,1394280,1394280,1394280,1394280,1394280,1394280,1394378,1394378,1394378,1394378,1394378,1394378,1394378,1394553,1394553,1394553,1394553,1394548,1394548,1394548,1394548,1394507,1394507,1394507,1394507,1394507,1394507,1394803,1394803,1394803,1394803,1394803,1394803,1394518,1394518,1394518,1394518,1394518,1394518,1394518,1394518,1394518,1394518,1394518,1394518,1394512,1394472,1394364,1394364,1394364,1394364,1394364,1394364,1394364,1394364,1394364,1394364,1394364,1394364,1394364,990944,990944,990944,990944,990944,990944,990944,990944,990944,990944,990944,990881,990881,990881,990881,990881,990881,990881,990881,990881,990881,990881,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,990616,,,,,,,,,,,,,,
"1995-10",1380334,1390549,1390549,1390549,1390549,1390549,1390549,1390549,1390549,1390549,1390549,1390549,1390549,1390584,1390584,1390584,1390584,1390584,1390584,1390584,1390584,1390584,1390584,1390584,1390584,1390623,1390623,1390623,1390623,1390623,1390623,1390623,1390623,1390623,1390623,1390795,1390795,1390746,1390746,1390746,1388344,1388344,1388344,1387286,1387286,1387286,1387286,1387286,1387286,1386411,1386411,1386411,1386411,1387284,1387280,1387280,1387280,1387280,1387280,1387280,1387280,1384896,1384896,1384896,1384896,1386686,1386686,1386686,1386686,1386686,1386686,1386686,1386686,1386686,1386686,1386686,1384774,1384774,1384774,1384774,1384774,1384774,1388462,1388462,1388462,1388462,1388462,1388462,1388462,1388968,1388968,1388968,1388968,1388977,1388977,1388977,1388977,1388555,1388555,1388555,1388555,1388555,1388555,1388828,1388828,1388828,1388828,1388828,1388828,1388526,1388526,1388526,1388526,1388526,1388526,1388526,1388526,1388526,1388526,1388526,1388526,1388539,1390208,1388359,1388359,1388359,1388359,1388359,1388359,1388359,1388359,1388359,1388359,1388359,1388359,1388359,974323,974323,974323,974323,974323,974323,974323,974323,974323,974323,974323,974339,974339,974339,974339,974339,974339,974339,974339,974339,974339,974339,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,974308,,,,,,,,,,,,,,
