"","1995-08-08","1995-09-07","1995-10-05","1995-11-07","1995-12-07","1996-01-09","1996-02-08","1996-03-06","1996-04-10","1996-05-06","1996-06-10","1996-07-09","1996-08-06","1996-09-05","1996-10-08","1996-11-07","1996-12-05","1997-01-09","1997-02-06","1997-03-06","1997-04-08","1997-05-06","1997-06-06","1997-07-08","1997-08-06","1997-09-09","1997-10-07","1997-11-05","1997-12-09","1998-01-09","1998-02-05","1998-03-05","1998-04-07","1998-05-08","1998-06-09","1998-07-07","1998-08-06","1998-09-08","1998-10-06","1998-11-05","1998-12-08","1999-01-08","1999-02-09","1999-03-09","1999-04-08","1999-05-07","1999-06-10","1999-07-06","1999-08-05","1999-09-07","1999-10-05","1999-11-09","1999-12-07","2000-01-05","2000-02-08","2000-03-08","2000-04-05","2000-05-09","2000-06-08","2000-07-06","2000-08-08","2000-09-06","2000-10-05","2000-11-07","2000-12-05","2001-01-09","2001-02-06","2001-03-06","2001-04-03","2001-05-08","2001-06-07","2001-07-05","2001-08-07","2001-09-05","2001-10-09","2001-11-06","2001-12-05","2002-01-09","2002-02-06","2002-03-06","2002-04-09","2002-05-07","2002-06-07","2002-07-09","2002-08-07","2002-09-05","2002-10-08","2002-11-07","2002-12-04","2003-01-09","2003-02-05","2003-03-06","2003-04-03","2003-05-07","2003-06-05","2003-07-08","2003-08-06","2003-09-04","2003-10-09","2003-11-06","2003-12-04","2004-01-08","2004-02-05","2004-03-04","2004-04-06","2004-05-05","2004-06-08","2004-07-06","2004-08-04","2004-09-02","2004-10-05","2004-11-03","2004-12-02","2005-01-04","2005-02-02","2005-03-01","2005-03-31","2005-04-28","2005-05-31","2005-06-30","2005-07-28","2005-08-31","2005-09-29","2005-11-02","2005-11-30","2006-01-03","2006-01-31","2006-02-28","2006-03-30","2006-04-27","2006-05-31","2006-06-29","2006-08-01","2006-08-31","2006-09-28","2006-11-02","2006-11-30","2007-01-03","2007-01-31","2007-02-28","2007-03-29","2007-05-02","2007-05-31","2007-06-28","2007-07-31","2007-08-30","2007-09-27","2007-10-30","2007-11-29","2008-01-03","2008-01-31","2008-02-28","2008-04-01","2008-04-30","2008-05-29","2008-07-01","2008-07-31","2008-08-28","2008-09-30","2008-10-30","2008-11-27","2009-01-07","2009-01-29","2009-02-26","2009-03-31","2009-04-30","2009-05-28","2009-06-30","2009-07-30","2009-09-01","2009-09-30","2009-10-29","2009-12-01","2010-01-05","2010-01-28","2010-02-25","2010-03-31","2010-04-29","2010-06-01","2010-06-30","2010-07-29","2010-08-31","2010-09-30","2010-10-28","2010-11-30","2011-01-04","2011-02-01","2011-03-01","2011-03-31","2011-04-28","2011-05-31","2011-06-30","2011-07-28","2011-08-31","2011-09-29","2011-11-02","2011-11-30","2012-01-03","2012-01-31","2012-02-29","2012-03-29","2012-05-02","2012-05-31","2012-06-28","2012-07-31","2012-08-30","2012-09-27","2012-10-30","2012-11-29","2013-01-03","2013-01-31","2013-02-28","2013-03-28","2013-04-30","2013-05-29","2013-06-27","2013-07-31","2013-08-29","2013-10-01","2013-10-30","2013-11-28","2014-01-07","2014-01-30","2014-02-27","2014-04-01","2014-04-30","2014-05-28","2014-07-01","2014-07-31","2014-08-28","2014-09-30","2014-10-30","2014-11-27","2015-01-07","2015-01-29","2015-02-26","2015-03-31","2015-04-30","2015-06-02","2015-06-30","2015-07-30","2015-09-01","2015-09-30","2015-10-29","2015-12-01","2016-01-05","2016-02-02","2016-03-01","2016-03-31","2016-04-28","2016-05-31","2016-06-30","2016-07-28","2016-08-31","2016-09-29","2016-11-02","2016-11-30","2017-01-03","2017-01-31","2017-03-01","2017-03-31","2017-05-02","2017-05-31","2017-06-30","2017-07-31","2017-08-31","2017-09-29","2017-10-30","2017-11-30","2018-01-03","2018-01-31","2018-02-28","2018-03-29","2018-04-27","2018-05-30","2018-06-29","2018-07-31","2018-08-30","2018-09-28","2018-10-30","2018-11-29","2019-01-04","2019-01-31","2019-03-01","2019-03-29","2019-04-30","2019-05-29","2019-07-01","2019-07-31","2019-08-29","2019-09-30","2019-10-30","2019-11-29","2020-01-03","2020-01-30","2020-02-28","2020-03-31","2020-04-30","2020-06-03","2020-07-01","2020-07-30","2020-09-01","2020-09-30","2020-10-29","2020-12-01","2021-01-05","2021-01-29","2021-03-02","2021-03-31","2021-04-29","2021-06-01","2021-06-30","2021-07-29","2021-08-31","2021-09-30","2021-10-28","2021-11-30","2022-01-04","2022-02-01","2022-03-02","2022-03-31","2022-05-03","2022-05-31","2022-06-30","2022-07-29","2022-08-31","2022-09-30","2022-11-02","2022-11-30","2023-01-03","2023-01-31","2023-03-01","2023-03-31","2023-04-28","2023-05-31","2023-06-30","2023-08-01","2023-08-31","2023-09-29","2023-11-02","2023-11-30","2024-01-03","2024-01-31","2024-02-29","2024-03-28","2024-04-30","2024-06-04","2024-06-28","2024-07-31","2024-08-30","2024-09-27","2024-10-30","2024-11-29","2025-01-03","2025-01-31","2025-02-28","2025-03-28","2025-04-30","2025-05-28","2025-07-01","2025-07-31","2025-08-29","2025-09-30"
"1991-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39163,39163,39163,39163,39163,39163,39163,39162,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39161,39161,39161,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39163,39159,39159,39159,39159,39159,39159,39159,39159,39159,39159,39159,39159,39159,39159,39159,39159,39159,39159,39159,39159,39158,39158,39158,39158,39158,39158,39158,39158,39158,39158,39158,39158,39158,39158,39158,39158,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39214,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39328,39328,39312,39312,39312,39312,39312,39312,39312,39312,39312,39312,39312,39312,39312
"1991-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38994,38994,38994,38994,38994,38994,38994,39009,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,39009,39009,39009,38994,38994,38994,38995,38995,38995,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38995,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,38994,39048,39048,39048,39048,39048,39048,39048,39048,39048,39047,39047,39048,39048,39047,39047,39048,39048,39048,39048,39048,39047,39047,39047,39047,39047,39047,39047,39047,39047,39047,39047,39047,39047,39047,39047,39047,39111,39111,39111,39111,39111,39111,39111,39111,39111,39111,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39110,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39190,39199,39199,39188,39188,39188,39188,39188,39188,39188,39188,39188,39188,39188,39188,39188
"1991-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38866,38866,38866,38866,38866,38866,38866,38864,38865,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38864,38864,38864,38866,38866,38866,38867,38867,38867,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38867,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38866,38924,38924,38924,38924,38924,38924,38924,38924,38924,38924,38924,38924,38924,38924,38924,38924,38924,38924,38924,38924,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,38979,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39068,39070,39070,39064,39064,39064,39064,39064,39064,39064,39064,39064,39065,39064,39064,39064
"1991-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38850,38850,38850,38850,38850,38850,38850,38848,38849,38849,38849,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38849,38850,38850,38850,38850,38849,38848,38848,38848,38849,38849,38849,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38850,38849,38849,38849,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38913,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38977,38978,38978,38977,38977,38978,38978,38978,38978,38978,38978,38978,38978,38978,38978,38978,38978,38978,38978,38978,38978,38978,38978,38978,38978,38978,38978,38978,38978,38978,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39048,39048,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056,39056
"1991-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38760,38760,38760,38760,38760,38760,38760,38759,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38758,38759,38759,38760,38760,38760,38761,38761,38761,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38761,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38760,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38875,38943,38943,38943,38943,38943,38943,38943,38943,38943,38943,38943,38943,38943,38943,38943,38943,38943,38943,38943,38943,38943,38943,38943,38943,38944,38944,38943,38943,38943,38943,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,38944,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39021,39018,39018,39020,39020,39020,39020,39020,39020,39020,39020,39020,39020,39020,39020,39020
"1991-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38630,38630,38630,38630,38630,38630,38630,38629,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38629,38629,38629,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38756,38827,38827,38827,38827,38827,38827,38827,38827,38827,38827,38828,38827,38827,38827,38827,38827,38828,38828,38828,38828,38827,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38828,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38923,38921,38921,38924,38924,38924,38924,38924,38924,38924,38924,38924,38924,38924,38924,38924
"1991-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38526,38526,38526,38526,38526,38526,38526,38524,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38525,38525,38525,38526,38526,38526,38525,38525,38525,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38525,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38526,38630,38630,38630,38630,38630,38630,38630,38630,38630,38631,38631,38631,38631,38631,38631,38631,38630,38631,38631,38630,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38711,38712,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38789,38788,38788,38790,38790,38790,38790,38790,38790,38790,38790,38790,38790,38790,38790,38790
"1991-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38378,38378,38378,38378,38378,38378,38378,38377,38379,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38377,38377,38377,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38378,38482,38482,38482,38482,38482,38482,38482,38482,38482,38482,38482,38482,38482,38482,38482,38482,38482,38482,38482,38482,38483,38483,38483,38483,38483,38483,38483,38483,38483,38483,38483,38483,38483,38483,38483,38483,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38560,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38631,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38630,38629,38630,38630,38630
"1991-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38312,38312,38312,38312,38312,38312,38312,38311,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38311,38311,38311,38312,38312,38312,38311,38311,38311,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38311,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38312,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38430,38521,38521,38521,38521,38521,38521,38521,38521,38521,38521,38521,38521,38521,38521,38521,38521,38521,38521,38521,38521,38521,38521,38520,38520,38520,38520,38521,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38520,38571,38571,38571,38571,38571,38571,38571,38571,38571,38571,38571,38571,38571,38571,38571,38571,38571,38571,38571,38571,38571,38572,38572,38572,38572,38571,38572,38572,38572,38572,38572,38572,38572,38572,38572,38572,38572,38572,38572,38572,38572,38572,38571,38572,38572,38572,38572,38572,38572,38572,38572,38572,38572,38572,38572,38572,38572,38572,38572,38572,38577,38577,38580,38580,38580,38580,38580,38580,38580,38580,38580,38579,38580,38580,38580
"1991-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38339,38339,38339,38339,38339,38339,38339,38338,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38338,38338,38338,38339,38339,38339,38338,38338,38338,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38339,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38448,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38546,38545,38545,38545,38545,38545,38545,38545,38545,38545,38545,38545,38545,38545,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38629,38628,38628,38635,38635,38635,38635,38635,38635,38635,38635,38635,38635,38635,38635,38635
