"","2005-11-16","2005-12-16","2006-01-16","2006-02-16","2006-03-28","2006-06-16","2006-06-26","2006-07-03","2006-07-17","2006-08-16","2006-09-14","2006-10-16","2006-11-17","2006-12-15","2007-01-16","2007-02-16","2007-03-21","2007-04-16","2007-05-10","2007-06-15","2007-07-13","2007-08-16","2007-09-14","2007-10-15","2007-11-16","2007-12-14","2008-01-16","2008-02-15","2008-03-17","2008-04-14","2008-05-16","2008-06-19","2008-07-14","2008-08-15","2008-09-16","2008-10-16","2008-11-17","2008-12-16","2009-01-16","2009-02-16","2009-03-16","2010-03-04","2010-03-15","2010-04-16","2010-05-17","2010-06-15","2010-07-14","2010-08-16","2010-09-15","2010-10-15","2010-11-15","2010-12-14","2011-01-17","2011-02-14","2011-03-17","2011-04-15","2011-05-16","2011-06-15","2011-07-15","2011-08-15","2011-09-15","2011-10-17","2011-11-14","2011-12-15","2012-01-16","2012-02-14","2012-03-15","2012-04-16","2012-05-14","2012-06-15","2012-07-16","2012-08-15","2012-09-17","2012-10-15","2012-11-14","2012-12-17","2013-01-16","2013-02-15","2013-04-15","2013-05-15","2013-06-17","2013-07-15","2013-08-12","2013-09-16","2013-10-15","2013-11-15","2013-12-16","2014-01-16","2014-02-17","2014-03-17","2014-04-15","2014-05-15","2014-06-16","2014-07-15","2014-08-15","2014-09-15","2014-10-15","2014-11-17","2014-12-15","2015-01-16","2015-02-17","2015-03-16","2015-04-15","2015-05-15","2015-06-15","2015-07-15","2015-08-17","2015-09-15","2015-10-15","2015-11-16","2015-12-15","2016-01-15","2016-02-15","2016-03-15","2016-04-15","2016-05-17","2016-06-14","2016-07-15","2016-08-15","2016-09-15","2016-10-17","2016-11-14","2016-12-15","2017-01-16","2017-02-15","2017-03-15","2017-05-15","2017-06-16","2017-07-17","2017-08-15","2017-09-15","2017-10-16","2017-11-15","2017-12-15","2018-01-15","2018-02-15","2018-04-16","2018-05-15","2018-06-15","2018-07-16","2018-08-15","2018-09-17","2018-10-15","2018-11-15","2018-12-17","2019-01-14","2019-02-15","2019-03-15","2019-04-15","2019-05-15","2019-06-17","2019-07-15","2019-08-15","2019-09-16","2019-10-15","2019-11-15","2019-12-16","2020-01-16","2020-02-17","2020-03-16","2020-04-17","2020-05-18","2020-06-15","2020-07-15","2020-08-17","2020-09-15","2020-10-15","2020-11-16","2020-12-15","2021-01-15","2021-02-16","2021-03-16","2021-04-15","2021-05-17","2021-06-15","2021-07-15","2021-08-16","2021-09-15","2021-10-15","2021-11-15","2021-12-15","2022-01-17","2022-02-15","2022-03-16","2022-04-14","2022-05-16","2022-06-15","2022-07-15","2022-08-15","2022-09-15","2022-10-17","2022-11-15","2022-12-15","2023-01-17","2023-02-15","2023-03-16","2023-04-18","2023-05-16","2023-06-16","2023-07-17","2023-08-16","2023-09-15","2023-10-16","2023-12-15","2024-01-16","2024-02-15","2024-03-18","2024-04-15","2024-05-17","2024-06-14","2024-07-12","2024-08-13","2024-09-12","2024-10-16","2024-11-15","2024-12-16","2025-01-16","2025-02-14","2025-03-14","2025-04-14","2025-05-14","2025-06-16","2025-07-14","2025-08-14","2025-09-12","2025-10-14","2025-11-14"
"1991-01",155.49,155.49,155.49,155.49,155.49,155.5,155.5,155.5,155.5,155.5,155.5,155.54,155.58,155.58,155.58,155.58,155.58,155.58,154.65,154.65,154.65,154.65,154.66,154.66,154.69,154.69,154.69,154.7,154.7,154.7,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,172.53,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,165.58,165.58,165.58,165.58,165.58,165.58,165.58,165.58,165.58,165.58,165.58,165.58,165.58,165.58,165.58,165.58,165.58,165.58,165.58,165.58,165.58
"1991-02",154.84,154.84,154.84,154.84,154.84,154.8,154.8,154.8,154.8,154.8,154.8,154.79,154.79,154.79,154.79,154.79,154.79,154.79,153.8,153.8,153.8,153.8,153.81,153.81,153.84,153.84,153.84,153.82,153.82,153.82,153.63,153.63,153.63,153.63,153.63,153.63,153.63,153.63,153.63,153.63,153.63,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,167.65,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,164.77,164.77,164.77,164.77,164.77,164.77,164.77,164.77,164.77,164.77,164.77,164.77,164.77,164.77,164.77,164.77,164.77,164.77,164.77,164.77,164.77
"1991-03",152.66,152.66,152.66,152.66,152.66,152.63,152.63,152.63,152.63,152.63,152.63,152.56,152.46,152.45,152.45,152.45,152.45,152.45,151.62,151.62,151.62,151.62,151.61,151.61,151.62,151.62,151.62,151.56,151.56,151.56,151.7,151.7,151.7,151.7,151.7,151.7,151.7,151.7,151.7,151.7,151.7,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,165.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,169.54,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,157.89,162.7,162.7,162.7,162.7,162.7,162.7,162.7,162.7,162.7,162.7,162.7,162.7,162.7,162.7,162.7,162.7,162.7,162.7,162.7,162.7,162.7
"1991-04",150,150,150,150,150,150.03,150.03,150.03,150.03,150.03,150.03,150.06,150.11,150.12,150.12,150.12,150.12,150.12,149.35,149.35,149.35,149.35,149.35,149.35,149.38,149.38,149.38,149.39,149.39,149.39,149.05,149.05,149.05,149.05,149.05,149.05,149.05,149.05,149.05,149.05,149.05,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,162.65,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.58,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,155.14,159.87,159.87,159.87,159.87,159.87,159.87,159.87,159.87,159.87,159.87,159.87,159.87,159.87,159.87,159.87,159.87,159.87,159.87,159.87,159.87,159.87
"1991-05",148.71,148.71,148.71,148.71,148.71,148.71,148.71,148.71,148.71,148.71,148.71,148.71,148.68,148.68,148.68,148.68,148.68,148.68,147.98,147.98,147.98,147.98,147.97,147.97,147.99,147.99,147.99,147.95,147.95,147.95,147.8,147.8,147.8,147.8,147.8,147.8,147.8,147.8,147.8,147.8,147.8,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,161.28,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,165.18,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,153.83,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52
"1991-06",149.13,149.13,149.13,149.13,149.13,149.13,149.13,149.13,149.13,149.13,149.13,149.1,149.07,149.06,149.06,149.06,149.06,149.06,148.47,148.47,148.47,148.47,148.46,148.46,148.47,148.47,148.47,148.44,148.44,148.44,148.42,148.42,148.42,148.42,148.42,148.42,148.42,148.42,148.42,148.42,148.42,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,161.96,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.87,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,159.18,159.18,159.18,159.18,159.18,159.18,159.18,159.18,159.18,159.18,159.18,159.18,159.18,159.18,159.18,159.18,159.18,159.18,159.18,159.18,159.18
"1991-07",147.16,147.16,147.16,147.16,147.16,147.19,147.19,147.19,147.19,147.19,147.19,147.2,147.24,147.24,147.24,147.24,147.24,147.24,146.62,146.62,146.62,146.62,146.62,146.62,146.64,146.64,146.64,146.63,146.63,146.63,146.36,146.36,146.36,146.36,146.36,146.36,146.36,146.36,146.36,146.36,146.36,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,152.33,156.97,156.97,156.97,156.97,156.97,156.97,156.97,156.97,156.97,156.97,156.97,156.97,156.97,156.97,156.97,156.97,156.97,156.97,156.97,156.97,156.97
"1991-08",145.24,145.24,145.24,145.24,145.24,145.25,145.25,145.25,145.25,145.25,145.25,145.25,145.24,145.24,145.24,145.24,145.24,145.24,144.74,144.74,144.74,144.74,144.74,144.74,144.75,144.75,144.75,144.73,144.73,144.73,144.61,144.61,144.61,144.61,144.61,144.61,144.61,144.61,144.61,144.61,144.61,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,157.8,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,155.09,155.09,155.09,155.09,155.09,155.09,155.09,155.09,155.09,155.09,155.09,155.09,155.09,155.09,155.09,155.09,155.09,155.09,155.09,155.09,155.09
"1991-09",144.85,144.85,144.85,144.85,144.85,144.84,144.84,144.84,144.84,144.84,144.84,144.83,144.8,144.8,144.8,144.8,144.8,144.8,144.37,144.37,144.37,144.37,144.37,144.37,144.39,144.39,144.39,144.36,144.36,144.36,144.32,144.32,144.32,144.32,144.32,144.32,144.32,144.32,144.32,144.32,144.32,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,161.3,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,150.22,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8
"1991-10",143.49,143.49,143.49,143.49,143.49,143.5,143.5,143.5,143.5,143.5,143.5,143.51,143.54,143.54,143.54,143.54,143.54,143.54,143.11,143.11,143.11,143.11,143.11,143.11,143.14,143.14,143.14,143.14,143.14,143.14,142.9,142.9,142.9,142.9,142.9,142.9,142.9,142.9,142.9,142.9,142.9,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,148.74,153.27,153.27,153.27,153.27,153.27,153.27,153.27,153.27,153.27,153.27,153.27,153.27,153.27,153.27,153.27,153.27,153.27,153.27,153.27,153.27,153.27
