"","2005-11-22","2006-01-24","2006-02-20","2006-03-20","2006-04-24","2006-05-24","2006-06-21","2006-07-21","2006-08-22","2006-09-20","2006-10-20","2006-11-22","2006-12-20","2007-01-22","2007-02-23","2007-03-23","2007-04-23","2007-05-23","2007-06-21","2007-07-20","2007-08-21","2007-09-21","2007-10-23","2007-11-21","2007-12-19","2008-01-21","2008-02-20","2008-03-25","2008-04-21","2008-05-21","2008-06-25","2008-07-21","2008-08-22","2008-09-24","2008-10-21","2008-11-25","2008-12-19","2009-01-23","2009-02-25","2009-03-31","2009-04-24","2009-05-25","2009-06-25","2009-07-24","2009-08-25","2009-09-25","2009-10-23","2009-11-25","2009-12-21","2010-01-25","2010-02-25","2010-03-24","2010-04-23","2010-05-25","2010-06-25","2010-07-23","2010-08-25","2010-09-23","2010-10-22","2010-11-25","2010-12-21","2011-01-25","2011-02-24","2011-03-24","2011-04-21","2011-05-24","2011-06-21","2011-07-21","2011-08-25","2011-09-21","2011-10-25","2011-11-23","2011-12-20","2012-01-24","2012-02-22","2012-03-23","2012-04-23","2012-05-25","2012-06-25","2012-07-25","2012-08-24","2012-09-25","2012-10-25","2012-11-23","2012-12-21","2013-01-25","2013-02-25","2013-03-25","2013-04-25","2013-05-23","2013-06-25","2013-07-25","2013-08-23","2013-09-26","2013-10-25","2013-11-25","2013-12-20","2014-01-23","2014-02-24","2014-03-24","2014-04-25","2014-05-22","2014-06-25","2014-07-25","2014-08-25","2014-09-25","2014-10-23","2014-11-24","2014-12-19","2015-01-23","2015-02-25","2015-03-25","2015-04-24","2015-05-22","2015-06-24","2015-07-24","2015-08-25","2015-09-25","2015-10-23","2015-11-25","2015-12-22","2016-01-25","2016-03-24","2016-04-25","2016-05-25","2016-06-24","2016-07-25","2016-08-25","2016-09-23","2016-10-25","2016-11-25","2016-12-22","2017-01-25","2017-02-24","2017-03-24","2017-04-25","2017-05-24","2017-06-23","2017-07-25","2017-08-25","2017-09-25","2017-10-25","2017-11-24","2017-12-22","2018-01-25","2018-02-23","2018-03-23","2018-04-25","2018-05-25","2018-06-22","2018-07-25","2018-08-24","2018-09-25","2018-10-25","2018-11-23","2018-12-21","2019-01-25","2019-02-25","2019-03-22","2019-04-25","2019-05-24","2019-06-25","2019-07-25","2019-08-23","2019-09-25","2019-10-25","2019-11-25","2019-12-20","2020-01-24","2020-02-25","2020-03-25","2020-04-24","2020-05-25","2020-06-25","2020-07-24","2020-08-25","2020-09-25","2020-10-23","2020-11-25","2020-12-23","2021-01-25","2021-02-25","2021-03-25","2021-04-23","2021-05-25","2021-06-25","2021-07-23","2021-08-25","2021-09-24","2021-10-25","2021-11-25","2021-12-23","2022-01-25","2022-02-25","2022-03-25","2022-04-25","2022-05-25","2022-06-24","2022-07-25","2022-08-25","2022-09-23","2022-10-25","2022-11-25","2022-12-22","2023-01-25","2023-02-24","2023-03-24","2023-04-25","2023-05-25","2023-06-23","2023-07-25","2023-08-25","2023-09-25","2023-10-25","2023-11-24","2023-12-22","2024-01-25","2024-02-23","2024-05-24","2024-06-25","2024-07-25","2024-08-23","2024-09-25","2024-10-25","2024-11-25","2024-12-23","2025-01-24","2025-02-25","2025-03-25","2025-04-25","2025-05-23","2025-06-25","2025-07-25"
"1991-01",149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149072,149452,149452,149452,149452,149452,149452,149452,149452,149452,149516,149516,149516,149516,149516,149516,149516,149516,149447,149447,149447,149447,149447,149447,149447,149447,149447,149447,149470,149470,149470,149470,149470,149470,149470,149470,149470,149470,149470,149470,149470,149448,149448,149497,149497,149497,149497,149497,149497,149479,149479,149479,149479,149479,149414,149414,149414,149414,149456,149456,149456,149456,149456,149456,149456,149456,149456,149456,149456,149456,149481,149481,149481,149481,149481,149481,149481,149481,149481,149481,149481,149481,149465,149476,149503,149503,149503,149503,149503,149503,149503,149503,149506,149506,149506,149506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-02",121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,121390,120844,120844,120844,120844,120844,120844,120844,120844,120844,120883,120883,120883,120883,120883,120883,120883,120883,120813,120813,120813,120813,120813,120813,120813,120813,120813,120813,120811,120811,120811,120811,120811,120811,120811,120811,120811,120811,120811,120811,120811,120827,120827,120769,120769,120769,120769,120769,120769,120697,120697,120697,120697,120697,120719,120719,120719,120719,120762,120762,120762,120762,120762,120762,120762,120762,120762,120762,120762,120762,120732,120732,120732,120732,120732,120732,120732,120732,120732,120732,120732,120732,120698,120742,120692,120692,120692,120692,120692,120692,120692,120692,120704,120704,120704,120704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-03",142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,142195,136077,136077,136077,136077,136077,136077,136077,136077,136077,135992,135992,135992,135992,135992,135992,135992,135992,136118,136118,136118,136118,136118,136118,136118,136118,136118,136118,136126,136126,136126,136126,136126,136126,136126,136126,136126,136126,136126,136126,136126,136154,136154,136158,136158,136158,136158,136158,136158,136216,136216,136216,136216,136216,136209,136209,136209,136209,136179,136179,136179,136179,136179,136179,136179,136179,136179,136179,136179,136179,136162,136162,136162,136162,136162,136162,136162,136162,136162,136162,136162,136162,136201,136166,136252,136252,136252,136252,136252,136252,136252,136252,136216,136216,136216,136216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-04",135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,135393,133922,133922,133922,133922,133922,133922,133922,133922,133922,133935,133935,133935,133935,133935,133935,133935,133935,133893,133893,133893,133893,133893,133893,133893,133893,133893,133893,133906,133906,133906,133906,133906,133906,133906,133906,133906,133906,133906,133906,133906,133885,133885,133994,133994,133994,133994,133994,133994,134019,134019,134019,134019,134019,134043,134043,134043,134043,134042,134042,134042,134042,134042,134042,134042,134042,134042,134042,134042,134042,134051,134051,134051,134051,134051,134051,134051,134051,134051,134051,134051,134051,134041,134040,133989,133989,133989,133989,133989,133989,133989,133989,134023,134023,134023,134023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-05",132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132686,132546,132546,132546,132546,132546,132546,132546,132546,132546,132528,132528,132528,132528,132528,132528,132528,132528,132547,132547,132547,132547,132547,132547,132547,132547,132547,132547,132519,132519,132519,132519,132519,132519,132519,132519,132519,132519,132519,132519,132519,132549,132549,132534,132534,132534,132534,132534,132534,132525,132525,132525,132525,132525,132509,132509,132509,132509,132495,132495,132495,132495,132495,132495,132495,132495,132495,132495,132495,132495,132510,132510,132510,132510,132510,132510,132510,132510,132510,132510,132510,132510,132505,132500,132572,132572,132572,132572,132572,132572,132572,132572,132533,132533,132533,132533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-06",130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,130078,131300,131300,131300,131300,131300,131300,131300,131300,131300,131319,131319,131319,131319,131319,131319,131319,131319,131344,131344,131344,131344,131344,131344,131344,131344,131344,131344,131353,131353,131353,131353,131353,131353,131353,131353,131353,131353,131353,131353,131353,131335,131335,131319,131319,131319,131319,131319,131319,131388,131388,131388,131388,131388,131373,131373,131373,131373,131360,131360,131360,131360,131360,131360,131360,131360,131360,131360,131360,131360,131360,131360,131360,131360,131360,131360,131360,131360,131360,131360,131360,131360,131369,131354,131388,131388,131388,131388,131388,131388,131388,131388,131368,131368,131368,131368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-07",132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132575,132372,132372,132372,132372,132372,132372,132372,132372,132372,132339,132339,132339,132339,132339,132339,132339,132339,132347,132347,132347,132347,132347,132347,132347,132347,132347,132347,132353,132353,132353,132353,132353,132353,132353,132353,132353,132353,132353,132353,132353,132333,132333,132343,132343,132343,132343,132343,132343,132362,132362,132362,132362,132362,132373,132373,132373,132373,132368,132368,132368,132368,132368,132368,132368,132368,132368,132368,132368,132368,132371,132371,132371,132371,132371,132371,132371,132371,132371,132371,132371,132371,132370,132392,132369,132369,132369,132369,132369,132369,132369,132369,132338,132338,132338,132338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-08",130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,130035,131025,131025,131025,131025,131025,131025,131025,131025,131025,131009,131009,131009,131009,131009,131009,131009,131009,131002,131002,131002,131002,131002,131002,131002,131002,131002,131002,131006,131006,131006,131006,131006,131006,131006,131006,131006,131006,131006,131006,131006,130997,130997,131003,131003,131003,131003,131003,131003,130982,130982,130982,130982,130982,131059,131059,131059,131059,131063,131063,131063,131063,131063,131063,131063,131063,131063,131063,131063,131063,131061,131061,131061,131061,131061,131061,131061,131061,131061,131061,131061,131061,131033,131033,130953,130953,130953,130953,130953,130953,130953,130953,130974,130974,130974,130974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-09",131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,131555,132130,132130,132130,132130,132130,132130,132130,132130,132130,132128,132128,132128,132128,132128,132128,132128,132128,132175,132175,132175,132175,132175,132175,132175,132175,132175,132175,132174,132174,132174,132174,132174,132174,132174,132174,132174,132174,132174,132174,132174,132152,132152,132114,132114,132114,132114,132114,132114,132152,132152,132152,132152,132152,132153,132153,132153,132153,132149,132149,132149,132149,132149,132149,132149,132149,132149,132149,132149,132149,132141,132141,132141,132141,132141,132141,132141,132141,132141,132141,132141,132141,132150,132143,132090,132090,132090,132090,132090,132090,132090,132090,132123,132123,132123,132123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-10",132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132810,132814,132814,132814,132814,132814,132814,132814,132814,132814,132814,132814,132814,132814,132814,132814,132814,132814,132912,132912,132912,132912,132912,132912,132912,132912,132912,132912,132860,132860,132860,132860,132860,132860,132860,132860,132860,132860,132860,132860,132860,132840,132840,132780,132780,132780,132780,132780,132780,132782,132782,132782,132782,132782,132803,132803,132803,132803,132805,132805,132805,132805,132805,132805,132805,132805,132805,132805,132805,132805,132802,132802,132802,132802,132802,132802,132802,132802,132802,132802,132802,132802,132802,132801,132797,132797,132797,132797,132797,132797,132797,132797,132839,132839,132839,132839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
