"","2005-11-22","2006-01-24","2006-02-20","2006-03-20","2006-04-24","2006-05-24","2006-06-21","2006-07-21","2006-08-22","2006-09-20","2006-10-20","2006-11-22","2006-12-20","2007-01-22","2007-02-23","2007-03-23","2007-04-23","2007-05-23","2007-06-21","2007-07-20","2007-08-21","2007-09-21","2007-10-23","2007-11-21","2007-12-19","2008-01-21","2008-02-20","2008-03-25","2008-04-21","2008-05-21","2008-06-25","2008-07-21","2008-08-22","2008-09-24","2008-10-21","2008-11-25","2008-12-19","2009-01-23","2009-02-25","2009-03-31","2009-04-24","2009-05-25","2009-06-25","2009-07-24","2009-08-25","2009-09-25","2009-10-23","2009-11-25","2009-12-21","2010-01-25","2010-02-25","2010-03-24","2010-04-23","2010-05-25","2010-06-25","2010-07-23","2010-08-25","2010-09-23","2010-10-22","2010-11-25","2010-12-21","2011-01-25","2011-02-24","2011-03-24","2011-04-21","2011-05-24","2011-06-21","2011-07-21","2011-08-25","2011-09-21","2011-10-25","2011-11-23","2011-12-20","2012-01-24","2012-02-22","2012-03-23","2012-04-23","2012-05-25","2012-06-25","2012-07-25","2012-08-24","2012-09-25","2012-10-25","2012-11-23","2012-12-21","2013-01-25","2013-02-25","2013-03-25","2013-04-25","2013-05-23","2013-06-25","2013-07-25","2013-08-23","2013-09-26","2013-10-25","2013-11-25","2013-12-20","2014-01-23","2014-02-24","2014-03-24","2014-04-25","2014-05-22","2014-06-25","2014-07-25","2014-08-25","2014-09-25","2014-10-23","2014-11-24","2014-12-19","2015-01-23","2015-02-25","2015-03-25","2015-04-24","2015-05-22","2015-06-24","2015-07-24","2015-08-25","2015-09-25","2015-10-23","2015-11-25","2015-12-22","2016-01-25","2016-03-24","2016-04-25","2016-05-25","2016-06-24","2016-07-25","2016-08-25","2016-09-23","2016-10-25","2016-11-25","2016-12-22","2017-01-25","2017-02-24","2017-03-24","2017-04-25","2017-05-24","2017-06-23","2017-07-25","2017-08-25","2017-09-25","2017-10-25","2017-11-24","2017-12-22","2018-01-25","2018-02-23","2018-03-23","2018-04-25","2018-05-25","2018-06-22","2018-07-25","2018-08-24","2018-09-25","2018-10-25","2018-11-23","2018-12-21","2019-01-25","2019-02-25","2019-03-22","2019-04-25","2019-05-24","2019-06-25","2019-07-25","2019-08-23","2019-09-25","2019-10-25","2019-11-25","2019-12-20","2020-01-24","2020-02-25","2020-03-25","2020-04-24","2020-05-25","2020-06-25","2020-07-24","2020-08-25","2020-09-25","2020-10-23","2020-11-25","2020-12-23","2021-01-25","2021-02-25","2021-03-25","2021-04-23","2021-05-25","2021-06-25","2021-07-23","2021-08-25","2021-09-24","2021-10-25","2021-11-25","2021-12-23","2022-01-25","2022-02-25","2022-03-25","2022-04-25","2022-05-25","2022-06-24","2022-07-25","2022-08-25","2022-09-23","2022-10-25","2022-11-25","2022-12-22","2023-01-25","2023-02-24","2023-03-24","2023-04-25","2023-05-25","2023-06-23","2023-07-25","2023-08-25","2023-09-25","2023-10-25","2023-11-24","2023-12-22","2024-01-25","2024-02-23","2024-05-24","2024-06-25","2024-07-25","2024-08-23","2024-09-25","2024-10-25","2024-11-25","2024-12-23","2025-01-24","2025-02-25","2025-03-25","2025-04-25","2025-05-23","2025-06-25","2025-07-25","2025-08-25","2025-09-25"
"1991-01",4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,4065695,2070263,4049082,4049082,4049082,4049082,4049082,4049082,4049082,4049082,4053415,4053415,4053415,4053415,4053415,4053415,4053415,4053415,4053415,4053415,4053415,4053415,4054477,4054477,4054477,4054477,4054477,4054477,4054477,4054477,4054477,4054477,4054477,4047573,4047573,4047573,4047573,4047573,4047573,4047573,4047573,4047573,4047573,4093420,4093420,4093420,4093420,4093420,4093420,4093420,4093420,4093420,4093420,4093420,4051053,4051053,4051053,4051053,4153208,4153208,4153208,4153208,4153613,4153613,4153613,4128844,4128844,4128844,4128844,4128844,4050942,4050942,4050942,4050942,4050942,4050942,4050942,4050942,4050942,4050942,4050942,4050942,4049275,4049275,4084615,4084615,4084615,4084615,4084615,4084615,4084615,4084615,4084615,4084615,4084615,4084615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-02",3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,3580819,1807671,3535496,3535496,3535496,3535496,3535496,3535496,3535496,3535496,3540940,3540940,3540940,3540940,3540940,3540940,3540940,3540940,3540940,3540940,3540940,3540940,3518818,3518818,3518818,3518818,3518818,3518818,3518818,3518818,3518818,3518818,3518818,3513328,3513328,3513328,3513328,3513328,3513328,3513328,3513328,3513328,3513328,3550113,3550113,3550113,3550113,3550113,3550113,3550113,3550113,3550113,3550113,3550113,3517448,3517448,3517448,3517448,3490097,3490097,3490097,3490097,3490048,3490048,3490048,3527509,3527509,3527509,3527509,3527509,3501134,3501134,3501134,3501134,3501134,3501134,3501134,3501134,3501134,3501134,3501134,3501134,3499918,3499918,3541725,3541725,3541725,3541725,3541725,3541725,3541725,3541725,3541725,3541725,3541725,3541725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-03",4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,4308806,2114158,4134934,4134934,4134934,4134934,4134934,4134934,4134934,4134934,4136987,4136987,4136987,4136987,4136987,4136987,4136987,4136987,4136987,4136987,4136987,4136987,4139518,4139518,4139518,4139518,4139518,4139518,4139518,4139518,4139518,4139518,4139518,4130116,4130116,4130116,4130116,4130116,4130116,4130116,4130116,4130116,4130116,4142090,4142090,4142090,4142090,4142090,4142090,4142090,4142090,4142090,4142090,4142090,4149842,4149842,4149842,4149842,4182131,4182131,4182131,4182131,4182010,4182010,4182010,4167514,4167514,4167514,4167514,4167514,4149112,4149112,4149112,4149112,4149112,4149112,4149112,4149112,4149112,4149112,4149112,4149112,4148855,4148855,4136554,4136554,4136554,4136554,4136554,4136554,4136554,4136554,4136554,4136554,4136554,4136554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-04",4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,4237314,2188325,4279991,4279991,4279991,4279991,4279991,4279991,4279991,4279991,4281931,4281931,4281931,4281931,4281931,4281931,4281931,4281931,4281931,4281931,4281931,4281931,4287560,4287560,4287560,4287560,4287560,4287560,4287560,4287560,4287560,4287560,4287560,4286160,4286160,4286160,4286160,4286160,4286160,4286160,4286160,4286160,4286160,4222990,4222990,4222990,4222990,4222990,4222990,4222990,4222990,4222990,4222990,4222990,4232233,4232233,4232233,4232233,4205516,4205516,4205516,4205516,4205348,4205348,4205348,4248594,4248594,4248594,4248594,4248594,4250449,4250449,4250449,4250449,4250449,4250449,4250449,4250449,4250449,4250449,4250449,4250449,4249428,4249428,4220291,4220291,4220291,4220291,4220291,4220291,4220291,4220291,4220291,4220291,4220291,4220291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-05",4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,4182451,2158404,4221472,4221472,4221472,4221472,4221472,4221472,4221472,4221472,4224665,4224665,4224665,4224665,4224665,4224665,4224665,4224665,4224665,4224665,4224665,4224665,4217341,4217341,4217341,4217341,4217341,4217341,4217341,4217341,4217341,4217341,4217341,4212489,4212489,4212489,4212489,4212489,4212489,4212489,4212489,4212489,4212489,4213446,4213446,4213446,4213446,4213446,4213446,4213446,4213446,4213446,4213446,4213446,4221686,4221686,4221686,4221686,4198822,4198822,4198822,4198822,4198545,4198545,4198545,4217178,4217178,4217178,4217178,4217178,4221574,4221574,4221574,4221574,4221574,4221574,4221574,4221574,4221574,4221574,4221574,4221574,4220913,4220913,4206204,4206204,4206204,4206204,4206204,4206204,4206204,4206204,4206204,4206204,4206204,4206204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-06",4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,4212707,2176155,4256190,4256190,4256190,4256190,4256190,4256190,4256190,4256190,4260290,4260290,4260290,4260290,4260290,4260290,4260290,4260290,4260290,4260290,4260290,4260290,4256183,4256183,4256183,4256183,4256183,4256183,4256183,4256183,4256183,4256183,4256183,4244990,4244990,4244990,4244990,4244990,4244990,4244990,4244990,4244990,4244990,4254286,4254286,4254286,4254286,4254286,4254286,4254286,4254286,4254286,4254286,4254286,4260528,4260528,4260528,4260528,4243465,4243465,4243465,4243465,4243317,4243317,4243317,4249620,4249620,4249620,4249620,4249620,4255696,4255696,4255696,4255696,4255696,4255696,4255696,4255696,4255696,4255696,4255696,4255696,4255082,4255082,4246912,4246912,4246912,4246912,4246912,4246912,4246912,4246912,4246912,4246912,4246912,4246912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-07",4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,4188310,2174633,4253212,4253212,4253212,4253212,4253212,4253212,4253212,4253212,4239564,4239564,4239564,4239564,4239564,4239564,4239564,4239564,4239564,4239564,4239564,4239564,4250852,4250852,4250852,4250852,4250852,4250852,4250852,4250852,4250852,4250852,4250852,4256158,4256158,4256158,4256158,4256158,4256158,4256158,4256158,4256158,4256158,4246947,4246947,4246947,4246947,4246947,4246947,4246947,4246947,4246947,4246947,4246947,4245137,4245137,4245137,4245137,4238702,4238702,4238702,4238702,4238464,4238464,4238464,4244444,4244444,4244444,4244444,4244444,4245229,4245229,4245229,4245229,4245229,4245229,4245229,4245229,4245229,4245229,4245229,4245229,4246441,4246441,4240804,4240804,4240804,4240804,4240804,4240804,4240804,4240804,4240804,4240804,4240804,4240804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-08",4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,4192658,2165249,4234860,4234860,4234860,4234860,4234860,4234860,4234860,4234860,4234444,4234444,4234444,4234444,4234444,4234444,4234444,4234444,4234444,4234444,4234444,4234444,4234208,4234208,4234208,4234208,4234208,4234208,4234208,4234208,4234208,4234208,4234208,4220790,4220790,4220790,4220790,4220790,4220790,4220790,4220790,4220790,4220790,4246367,4246367,4246367,4246367,4246367,4246367,4246367,4246367,4246367,4246367,4246367,4219847,4219847,4219847,4219847,4244361,4244361,4244361,4244361,4244168,4244168,4244168,4249148,4249148,4249148,4249148,4249148,4219939,4219939,4219939,4219939,4219939,4219939,4219939,4219939,4219939,4219939,4219939,4219939,4219120,4219120,4222771,4222771,4222771,4222771,4222771,4222771,4222771,4222771,4222771,4222771,4222771,4222771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-09",4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,4288382,2212322,4326925,4326925,4326925,4326925,4326925,4326925,4326925,4326925,4331947,4331947,4331947,4331947,4331947,4331947,4331947,4331947,4331947,4331947,4331947,4331947,4335935,4335935,4335935,4335935,4335935,4335935,4335935,4335935,4335935,4335935,4335935,4331200,4331200,4331200,4331200,4331200,4331200,4331200,4331200,4331200,4331200,4323568,4323568,4323568,4323568,4323568,4323568,4323568,4323568,4323568,4323568,4323568,4326937,4326937,4326937,4326937,4328821,4328821,4328821,4328821,4328881,4328881,4328881,4315589,4315589,4315589,4315589,4315589,4327376,4327376,4327376,4327376,4327376,4327376,4327376,4327376,4327376,4327376,4327376,4327376,4326721,4326721,4320838,4320838,4320838,4320838,4320838,4320838,4320838,4320838,4320838,4320838,4320838,4320838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-10",4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,4360359,2274680,4448886,4448886,4448886,4448886,4448886,4448886,4448886,4448886,4430795,4430795,4430795,4430795,4430795,4430795,4430795,4430795,4430795,4430795,4430795,4430795,4431891,4431891,4431891,4431891,4431891,4431891,4431891,4431891,4431891,4431891,4431891,4428217,4428217,4428217,4428217,4428217,4428217,4428217,4428217,4428217,4428217,4432615,4432615,4432615,4432615,4432615,4432615,4432615,4432615,4432615,4432615,4432615,4419261,4419261,4419261,4419261,4396820,4396820,4396820,4396820,4396857,4396857,4396857,4397066,4397066,4397066,4397066,4397066,4420505,4420505,4420505,4420505,4420505,4420505,4420505,4420505,4420505,4420505,4420505,4420505,4420540,4420540,4421204,4421204,4421204,4421204,4421204,4421204,4421204,4421204,4421204,4421204,4421204,4421204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
