"","2005-05-12","2005-08-11","2005-11-15","2006-02-14","2006-05-11","2006-08-14","2006-11-14","2007-02-13","2007-05-15","2007-08-14","2007-11-14","2008-02-14","2008-05-15","2008-08-14","2008-11-13","2009-02-13","2009-05-15","2009-08-13","2009-11-13","2010-02-12","2010-05-12","2010-08-13","2010-11-12","2011-02-15","2011-05-13","2011-08-16","2011-11-15","2012-02-15","2012-05-15","2012-08-14","2012-11-15","2013-02-14","2013-05-15","2013-08-14","2013-11-14","2014-02-14","2014-05-15","2014-08-14","2014-11-14","2015-02-13","2015-05-13","2015-08-14","2015-11-13","2016-02-12","2016-05-13","2016-08-12","2016-11-15","2017-02-14","2017-05-12","2017-08-15","2017-11-14","2018-02-14","2018-05-15","2018-08-14","2018-11-14","2019-02-14","2019-05-15","2019-08-14","2019-11-14","2020-02-14","2020-05-15","2020-07-30","2020-08-25","2020-10-30","2020-11-24","2021-01-29","2021-02-24","2021-04-30","2021-05-25","2021-07-30","2021-08-24","2021-10-29","2021-11-25","2022-01-28","2022-02-25","2022-04-29","2022-05-25","2022-07-29","2022-08-25","2022-10-28","2022-11-25","2023-01-30","2023-02-24","2023-04-28","2023-05-25","2023-07-28","2023-08-25","2023-10-12","2023-10-30","2023-11-24","2024-01-30","2024-02-23","2024-04-30","2024-05-24","2024-07-30","2024-08-30","2024-10-30","2024-11-22","2025-01-30","2025-02-25","2025-04-30","2025-05-23","2025-07-30","2025-08-22"
"1991-01",86.04,86.04,86.04,86.04,86.04,85.93,85.93,85.93,85.93,86,86,86,86,85.95,85.95,85.95,85.95,85.94,85.94,85.94,85.94,86,86.01,86.01,86,84.69,84.69,84.69,84.69,84.69,84.69,84.69,84.69,84.66,84.66,84.66,84.66,79.54,79.54,79.54,79.54,79.46,79.46,79.46,79.46,79.44,79.44,79.44,79.44,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,73.48,73.48,73.48,73.48,73.67,73.67,73.67,73.67,73.67,73.67,73.67,73.67,73.68,73.68,73.68,73.68,73.68,73.68,73.68,73.68,73.69,73.69,73.69,73.69,73.69,73.69,73.69,73.69,73.69,73.69,73.69,73.69,73.69,73.69,73.69,73.69,73.69,70.78,70.78,70.78,70.78,70.78,70.78,70.78,70.78,70.81,70.81
"1991-04",85.32,85.32,85.32,85.32,85.32,85.33,85.33,85.33,85.33,85.31,85.31,85.31,85.31,85.3,85.3,85.3,85.3,85.31,85.31,85.31,85.31,85.3,85.32,85.32,85.3,84.31,84.31,84.31,84.31,84.32,84.32,84.32,84.32,84.31,84.31,84.31,84.31,79.19,79.19,79.19,79.19,79.12,79.12,79.12,79.12,79.12,79.12,79.12,79.12,79.12,79.12,79.12,79.12,79.12,79.12,79.12,79.12,73.11,73.11,73.11,73.11,73.28,73.28,73.28,73.28,73.28,73.28,73.28,73.28,73.29,73.29,73.29,73.29,73.29,73.29,73.29,73.29,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,70.47,70.47,70.47,70.47,70.47,70.47,70.47,70.47,70.47,70.47
"1991-07",84.9,84.9,84.9,84.9,84.9,84.91,84.91,84.91,84.91,84.83,84.83,84.83,84.83,84.91,84.91,84.91,84.91,84.91,84.91,84.91,84.91,84.89,84.85,84.85,84.89,83.82,83.82,83.82,83.82,83.82,83.82,83.82,83.82,83.86,83.86,83.86,83.86,78.82,78.82,78.82,78.82,78.73,78.73,78.73,78.73,78.72,78.72,78.72,78.72,78.72,78.72,78.72,78.72,78.73,78.73,78.73,78.73,72.95,72.95,72.95,72.95,73.13,73.13,73.13,73.13,73.13,73.13,73.13,73.13,73.13,73.13,73.13,73.13,73.13,73.13,73.13,73.13,73.14,73.14,73.14,73.14,73.14,73.14,73.14,73.14,73.14,73.14,73.14,73.14,73.14,73.14,73.14,73.14,73.14,70.34,70.34,70.34,70.34,70.34,70.34,70.34,70.34,70.36,70.36
"1991-10",86.14,86.14,86.14,86.14,86.14,86.11,86.11,86.11,86.11,86.14,86.14,86.14,86.14,86.16,86.16,86.16,86.16,86.15,86.15,86.15,86.15,86.12,86.13,86.13,86.12,85.05,85.05,85.05,85.05,85.06,85.06,85.06,85.06,85.05,85.05,85.05,85.05,79.78,79.78,79.78,79.78,79.7,79.7,79.7,79.7,79.73,79.73,79.73,79.73,79.74,79.74,79.74,79.74,79.73,79.73,79.73,79.73,73.88,73.88,73.88,73.88,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,74.08,71.33,71.33,71.33,71.33,71.33,71.33,71.33,71.33,71.37,71.37
"1992-01",87.66,87.66,87.66,87.66,87.66,87.68,87.68,87.68,87.68,87.75,87.75,87.75,87.75,87.68,87.68,87.68,87.68,87.72,87.72,87.72,87.72,87.79,87.8,87.8,87.79,86.43,86.43,86.43,86.43,86.42,86.42,86.42,86.42,86.38,86.38,86.38,86.38,81.12,81.12,81.12,81.12,81.03,81.03,81.03,81.03,81.02,81.02,81.02,81.02,81.02,81.02,81.02,81.02,81.01,81.01,81.01,81.01,75,75,75,75,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.21,75.21,75.21,75.21,75.21,75.21,75.21,75.21,75.21,75.21,75.21,75.21,75.21,75.21,75.21,75.21,75.22,75.22,75.22,75.22,75.22,75.22,75.22,75.22,75.22,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.35,72.35
"1992-04",87.01,87.01,87.01,87.01,87.01,87.02,87.02,87.02,87.02,87.01,87.01,87.01,87.01,86.98,86.98,86.98,86.98,86.99,86.99,86.99,86.99,86.97,86.98,86.98,86.97,85.72,85.72,85.72,85.72,85.74,85.74,85.74,85.74,85.73,85.73,85.73,85.73,80.55,80.55,80.55,80.55,80.47,80.47,80.47,80.47,80.47,80.47,80.47,80.47,80.49,80.49,80.49,80.49,80.48,80.48,80.48,80.48,74.46,74.46,74.46,74.46,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.63,74.63,74.63,74.63,74.63,74.63,74.63,74.63,74.64,74.64,74.64,74.64,74.64,74.64,74.64,74.64,74.64,74.64,74.64,74.64,74.64,74.64,74.64,74.64,74.64,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9
"1992-07",86.98,86.97,86.97,86.97,86.97,86.97,86.97,86.97,86.97,86.91,86.91,86.91,86.91,86.98,86.98,86.98,86.98,86.99,86.99,86.99,86.99,86.98,86.93,86.93,86.98,85.4,85.4,85.4,85.4,85.4,85.4,85.4,85.4,85.44,85.44,85.44,85.44,80.34,80.34,80.34,80.34,80.25,80.25,80.25,80.25,80.25,80.25,80.25,80.25,80.25,80.25,80.25,80.25,80.25,80.25,80.25,80.25,74.31,74.31,74.31,74.31,74.49,74.49,74.49,74.49,74.49,74.49,74.49,74.49,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.51,74.51,74.51,74.51,74.51,74.51,74.51,74.51,74.51,74.51,74.51,74.51,74.51,74.51,74.51,74.51,74.51,71.71,71.71,71.71,71.71,71.71,71.71,71.71,71.71,71.73,71.73
"1992-10",86.99,86.99,86.99,86.99,86.99,86.99,86.99,86.99,86.99,86.97,86.97,86.97,86.97,86.98,86.98,86.98,86.98,87.01,87.01,87.01,87.01,86.99,87,87,86.99,85.38,85.38,85.38,85.38,85.39,85.39,85.39,85.39,85.4,85.4,85.4,85.4,80.13,80.13,80.13,80.13,80.04,80.04,80.04,80.04,80.07,80.07,80.07,80.07,80.08,80.08,80.08,80.08,80.08,80.08,80.08,80.08,74.08,74.08,74.08,74.08,74.26,74.26,74.26,74.26,74.26,74.26,74.26,74.26,74.26,74.26,74.26,74.26,74.26,74.26,74.26,74.26,74.27,74.27,74.27,74.27,74.27,74.27,74.27,74.27,74.27,74.27,74.27,74.27,74.27,74.27,74.27,74.27,74.27,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.53,71.53
"1993-01",85.97,85.97,85.97,85.97,85.97,85.97,85.97,85.97,85.97,86.03,86.03,86.03,86.03,85.97,85.97,85.97,85.97,85.96,85.96,85.96,85.96,86.02,86.03,86.03,86.02,84.62,84.62,84.62,84.62,84.59,84.59,84.59,84.59,84.57,84.57,84.57,84.57,79.47,79.47,79.47,79.47,79.39,79.39,79.39,79.39,79.36,79.36,79.36,79.36,79.37,79.37,79.37,79.37,79.34,79.34,79.34,79.34,73.53,73.53,73.53,73.53,73.71,73.71,73.71,73.71,73.71,73.71,73.71,73.71,73.72,73.72,73.72,73.72,73.72,73.72,73.72,73.72,73.72,73.72,73.72,73.72,73.72,73.72,73.72,73.72,73.73,73.73,73.73,73.73,73.73,73.73,73.73,73.73,73.73,70.94,70.94,70.94,70.94,70.94,70.94,70.94,70.94,70.96,70.96
"1993-04",86.13,86.13,86.13,86.13,86.13,86.15,86.15,86.15,86.15,86.14,86.14,86.14,86.14,86.14,86.14,86.14,86.14,86.15,86.15,86.15,86.15,86.13,86.14,86.14,86.13,84.6,84.6,84.6,84.6,84.62,84.62,84.62,84.62,84.6,84.6,84.6,84.6,79.48,79.48,79.48,79.48,79.4,79.4,79.4,79.4,79.41,79.41,79.41,79.41,79.41,79.41,79.41,79.41,79.41,79.41,79.41,79.41,73.53,73.53,73.53,73.53,73.69,73.69,73.69,73.69,73.69,73.69,73.69,73.69,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.71,73.71,73.71,73.71,73.71,73.71,73.71,73.71,73.71,70.97,70.97,70.97,70.97,70.97,70.97,70.97,70.97,70.97,70.97
