"","2005-05-24","2005-08-23","2005-11-22","2006-02-22","2006-05-23","2006-08-24","2006-11-23","2007-02-22","2007-05-24","2007-08-23","2007-11-22","2008-02-26","2008-05-27","2008-08-26","2008-11-25","2009-02-25","2009-05-26","2009-08-25","2009-11-24","2010-02-24","2010-05-21","2010-08-24","2010-11-23","2011-02-24","2011-05-24","2011-09-01","2011-11-24","2012-02-24","2012-05-24","2012-08-23","2012-11-23","2013-02-22","2013-05-24","2013-08-23","2013-11-22","2014-02-25","2014-05-23","2014-09-01","2014-11-25","2015-02-24","2015-05-22","2015-08-25","2015-11-24","2016-02-23","2016-05-24","2016-08-24","2016-11-24","2017-02-23","2017-05-23","2017-08-25","2017-11-23","2018-02-23","2018-05-24","2018-08-24","2018-11-23","2019-02-22","2019-05-23","2019-08-27","2019-11-22","2020-02-25","2020-05-25","2020-08-25","2020-11-24","2021-02-24","2021-05-25","2021-08-24","2021-11-25","2022-02-25","2022-05-25","2022-08-25","2022-11-25","2023-02-24","2023-05-25","2023-08-25","2023-10-12","2023-11-24","2024-02-23","2024-05-24","2024-08-30","2024-11-22","2025-02-25","2025-05-23"
"1991-01",84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.19,84.19,84.18,84.18,84.17,84.17,84.17,84.17,84.13,84.13,84.13,84.12,84.77,84.77,84.77,84.77,84.81,84.81,84.81,84.81,84.77,84.77,84.77,84.77,81.7,81.64,81.64,81.67,81.72,81.72,81.72,81.72,81.72,81.72,81.72,81.72,81.72,81.72,81.72,81.72,81.72,81.72,81.71,81.67,78.39,78.39,78.38,78.38,78.37,78.37,78.37,78.37,78.4,78.4,78.4,78.4,78.4,78.4,78.42,78.42,78.35,78.35,78.41,78.41,78.41,77.93,77.93,77.95,77.95
"1991-04",85.29,85.29,85.29,85.29,85.29,85.31,85.31,85.31,85.31,85.33,85.33,85.33,85.33,85.3,85.3,85.29,85.29,85.29,85.29,85.29,85.29,85.28,85.28,85.28,85.28,85.86,85.86,85.89,85.89,85.86,85.86,85.86,85.86,85.88,85.88,85.88,85.88,82.43,82.46,82.46,82.45,82.58,82.58,82.58,82.58,82.61,82.61,82.61,82.61,82.62,82.62,82.62,82.61,82.61,82.61,82.61,82.62,79.18,79.18,79.21,79.21,79.18,79.18,79.18,79.18,79.15,79.15,79.15,79.15,79.16,79.15,79.17,79.17,79.16,79.16,79.14,79.14,79.14,77.86,77.86,77.85,77.85
"1991-07",82.96,82.96,82.96,82.96,82.96,82.96,82.96,82.96,82.96,82.94,82.94,82.94,82.94,82.94,82.94,82.94,82.94,82.92,82.92,82.92,82.92,82.95,82.95,82.95,82.95,83.77,83.77,83.77,83.77,83.77,83.77,83.77,83.77,83.76,83.76,83.76,83.76,80.12,80.23,80.23,80.21,80.32,80.32,80.32,80.32,80.3,80.3,80.3,80.3,80.29,80.29,80.29,80.3,80.29,80.29,80.29,80.32,77.76,77.76,77.75,77.75,77.73,77.73,77.73,77.73,77.75,77.75,77.75,77.75,77.75,77.75,77.77,77.77,77.76,77.76,77.75,77.75,77.75,76.6,76.6,76.59,76.59
"1991-10",85.65,85.65,85.65,85.65,85.65,85.61,85.61,85.61,85.61,85.61,85.61,85.61,85.61,85.57,85.57,85.58,85.58,85.49,85.49,85.49,85.49,85.53,85.54,85.54,85.54,86.22,86.22,86.19,86.19,86.17,86.17,86.17,86.17,86.18,86.18,86.18,86.18,82.39,82.3,82.3,82.3,82.38,82.38,82.38,82.38,82.39,82.39,82.39,82.39,82.39,82.39,82.39,82.39,82.41,82.41,82.41,82.41,79.34,79.34,79.33,79.33,79.31,79.31,79.31,79.31,79.3,79.3,79.3,79.3,79.31,79.32,79.26,79.26,79.33,79.33,79.31,79.31,79.31,77.79,77.79,77.78,77.78
"1992-01",86.4,86.4,86.4,86.4,86.4,86.41,86.41,86.41,86.41,86.42,86.42,86.42,86.42,86.48,86.48,86.48,86.48,86.46,86.46,86.46,86.46,86.43,86.42,86.42,86.41,87.65,87.65,87.65,87.65,87.71,87.71,87.71,87.71,87.66,87.66,87.66,87.66,83.88,83.84,83.84,83.86,83.84,83.84,83.84,83.84,83.84,83.84,83.84,83.84,83.84,83.84,83.84,83.83,83.83,83.83,83.82,83.78,80.17,80.17,80.16,80.16,80.15,80.15,80.15,80.15,80.18,80.18,80.18,80.18,80.16,80.17,80.19,80.19,80.13,80.13,80.18,80.18,80.18,79.4,79.4,79.43,79.43
"1992-04",86.2,86.2,86.2,86.2,86.2,86.22,86.22,86.22,86.22,86.26,86.26,86.26,86.26,86.23,86.23,86.21,86.21,86.24,86.24,86.24,86.24,86.23,86.23,86.23,86.23,86.58,86.58,86.61,86.61,86.58,86.58,86.58,86.58,86.6,86.6,86.6,86.6,83.34,83.39,83.39,83.37,83.4,83.4,83.4,83.4,83.42,83.42,83.42,83.42,83.43,83.43,83.43,83.42,83.41,83.41,83.41,83.42,80.08,80.08,80.12,80.12,80.08,80.08,80.08,80.08,80.06,80.06,80.06,80.06,80.06,80.06,80.08,80.08,80.07,80.07,80.05,80.05,80.05,79.2,79.2,79.2,79.2
"1992-07",86.21,86.21,86.21,86.21,86.21,86.22,86.22,86.22,86.22,86.19,86.19,86.19,86.19,86.2,86.2,86.2,86.2,86.17,86.17,86.17,86.17,86.21,86.2,86.2,86.2,86.42,86.42,86.42,86.42,86.44,86.44,86.44,86.44,86.43,86.43,86.43,86.43,83.4,83.52,83.52,83.5,83.55,83.55,83.55,83.55,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.56,80.2,80.2,80.2,80.2,80.18,80.18,80.18,80.18,80.19,80.19,80.19,80.19,80.19,80.19,80.21,80.21,80.2,80.2,80.19,80.19,80.19,79.57,79.57,79.56,79.56
"1992-10",89.08,89.08,89.08,89.08,89.08,89.09,89.09,89.09,89.09,89.05,89.05,89.05,89.05,89.05,89.05,89.07,89.07,89.25,89.25,89.25,89.25,89.26,89.27,89.27,89.28,89.84,89.84,89.81,89.81,89.8,89.8,89.8,89.8,89.81,89.81,89.81,89.81,86.06,85.94,85.94,85.94,85.97,85.97,85.97,85.97,85.98,85.98,85.98,85.98,85.97,85.97,85.97,85.97,85.98,85.98,85.99,85.99,82.58,82.58,82.57,82.57,82.54,82.54,82.54,82.54,82.52,82.52,82.52,82.52,82.55,82.54,82.48,82.48,82.57,82.57,82.55,82.55,82.55,80.13,80.13,80.12,80.12
"1993-01",86.94,86.94,86.94,86.94,86.94,86.94,86.94,86.94,86.94,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.96,86.96,86.96,86.96,86.92,86.92,86.92,86.91,87.38,87.38,87.38,87.38,87.44,87.44,87.44,87.44,87.39,87.39,87.39,87.39,84.15,84.12,84.12,84.15,84.17,84.17,84.17,84.17,84.18,84.18,84.18,84.18,84.18,84.18,84.18,84.17,84.17,84.17,84.16,84.12,80.26,80.26,80.25,80.25,80.24,80.24,80.24,80.24,80.27,80.27,80.27,80.27,80.26,80.26,80.28,80.28,80.23,80.23,80.26,80.26,80.26,79.76,79.76,79.8,79.8
"1993-04",86.87,86.86,86.86,86.86,86.86,86.87,86.87,86.87,86.87,86.91,86.91,86.91,86.91,87.13,87.13,87.11,87.11,87.14,87.14,87.14,87.14,87.11,87.11,87.11,87.11,87.49,87.49,87.51,87.51,87.46,87.46,87.46,87.46,87.49,87.49,87.49,87.49,84.14,84.19,84.19,84.18,84.22,84.22,84.22,84.22,84.22,84.22,84.22,84.22,84.23,84.23,84.23,84.23,84.22,84.22,84.22,84.23,80.33,80.33,80.35,80.35,80.33,80.33,80.33,80.33,80.29,80.29,80.29,80.29,80.31,80.3,80.32,80.32,80.31,80.31,80.3,80.3,80.3,79.31,79.31,79.31,79.31
