"","1995-09-06","1995-12-07","1996-03-07","1996-06-05","1996-09-05","1996-12-04","1997-03-04","1997-06-05","1997-09-10","1997-12-04","1998-02-27","1998-06-04","1998-09-09","1998-12-03","1999-03-04","1999-05-28","1999-06-08","1999-09-09","1999-12-07","2000-03-28","2000-05-30","2000-08-29","2000-11-28","2001-03-01","2001-05-23","2001-08-23","2001-11-22","2002-02-27","2002-05-23","2002-08-22","2002-11-21","2003-02-26","2003-05-22","2003-08-21","2003-11-20","2004-02-19","2004-05-25","2004-08-24","2004-11-23","2005-02-22","2005-05-24","2005-08-23","2005-11-22","2006-02-22","2006-05-23","2006-08-24","2006-11-23","2007-02-22","2007-05-24","2007-08-23","2007-11-22","2008-02-26","2008-05-27","2008-08-26","2008-11-25","2009-02-25","2009-05-26","2009-08-25","2009-11-24","2010-02-24","2010-05-21","2010-08-24","2010-11-23","2011-02-24","2011-05-24","2011-09-01","2011-11-24","2012-02-24","2012-05-24","2012-08-23","2012-11-23","2013-02-22","2013-05-24","2013-08-23","2013-11-22","2014-02-25","2014-05-23","2014-09-01","2014-11-25","2015-02-24","2015-05-22","2015-08-25","2015-11-24","2016-02-23","2016-05-24","2016-08-24","2016-11-24","2017-02-23","2017-05-23","2017-08-25","2017-11-23","2018-02-23","2018-05-24","2018-08-24","2018-11-23","2019-02-22","2019-05-23","2019-08-27","2019-11-22","2020-02-25","2020-05-25","2020-08-25","2020-11-24","2021-02-24","2021-05-25","2021-08-24","2021-11-25","2022-02-25","2022-05-25","2022-08-25","2022-11-25","2023-02-24","2023-05-25","2023-08-25","2023-10-12","2023-11-24","2024-02-23","2024-05-24","2024-08-30","2024-11-22","2025-02-25","2025-05-23"
"1991-01",396.2,396.2,396.2,396.1,396.3,396.4,396.6,396.6,,396.6,396.5,397,396.6,396.7,396.8,407,208.1,,,,,,,,,,,207.98,207.98,207.97,207.97,207.97,207.97,207.61,,207.61,207.61,207.57,207.57,207.57,214.2,214.2,214.2,214.2,214.2,214.2,214.2,214.2,214.2,214.2,214.2,214.2,214.2,214.43,214.43,214.41,214.41,214.38,214.38,214.38,214.38,214.28,214.28,214.28,214.26,214.46,214.46,214.46,214.46,214.68,214.68,214.68,214.68,214.55,214.55,214.55,214.55,217.635,217.482,217.482,217.563,217.784,217.784,217.784,217.784,217.778,217.778,217.778,217.778,217.778,217.778,217.778,217.778,217.77,217.77,217.75,217.643,216.481,216.481,216.454,216.454,216.515,216.515,216.515,216.515,216.614,216.614,216.614,216.614,216.63,216.63,216.687,216.655,216.506,216.506,216.665,216.665,216.665,216.955,216.955,217.018,217.018
"1991-04",407,407,407,406.8,406.3,406.4,406.7,406.7,406.9,406.9,407.1,407.4,407.5,407.5,407.2,415.3,212.3,,,,,,,,,,,212.59,212.59,212.72,212.72,212.72,212.72,212.83,,212.83,212.83,212.83,212.83,212.83,219.84,219.84,219.84,219.84,219.84,219.89,219.89,219.89,219.89,219.94,219.94,219.94,219.94,219.86,219.86,219.84,219.84,219.86,219.86,219.86,219.86,219.81,219.81,219.81,219.82,220.19,220.19,220.27,220.27,219.83,219.83,219.83,219.83,219.99,219.99,219.99,219.99,222.254,222.341,222.341,222.314,222.947,222.947,222.947,222.947,222.992,222.992,222.992,222.992,223.049,223.049,223.049,223.022,223.014,223.014,223.021,223.047,221.769,221.769,221.854,221.854,221.795,221.795,221.795,221.795,221.664,221.664,221.664,221.664,221.676,221.648,221.705,221.77,221.754,221.754,221.692,221.692,221.692,219.747,219.747,219.727,219.727
"1991-07",408.2,408.2,408.2,408.3,407.8,407.6,407.9,407.9,408.5,408.5,407.4,407.4,407.5,407.5,407.2,415.3,212.3,,,,,,,,,,,212.23,212.23,212.2,212.2,212.2,212.2,212.24,212.25,212.25,212.25,212.27,212.27,212.27,217.9,217.9,217.9,217.9,217.9,217.9,217.9,217.9,217.9,217.87,217.87,217.87,217.87,217.87,217.87,217.87,217.87,217.77,217.77,217.77,217.77,217.88,217.88,217.88,217.89,219.11,219.11,219.11,219.11,219.28,219.28,219.28,219.28,219.2,219.2,219.2,219.2,219.975,220.284,220.284,220.23,220.596,220.596,220.596,220.596,220.534,220.534,220.534,220.534,220.535,220.535,220.535,220.563,220.527,220.527,220.534,220.616,221.177,221.177,221.149,221.149,221.212,221.212,221.212,221.212,221.285,221.285,221.285,221.285,221.301,221.301,221.359,221.391,221.374,221.374,221.34,221.34,221.34,219.597,219.597,219.576,219.576
"1991-10",419,419,419,419.3,421.2,421.1,421.6,421.6,422.6,422.6,423.7,422.9,423.1,423,423.6,432.4,221.1,,,,,,,,,,,222,222,221.87,221.87,221.87,221.87,221.67,221.66,221.66,221.66,221.64,221.64,221.64,229.56,229.56,229.56,229.56,229.56,229.46,229.46,229.46,229.46,229.46,229.46,229.46,229.46,229.35,229.35,229.38,229.38,229.15,229.15,229.15,229.15,229.27,229.28,229.28,229.28,230.11,230.11,230.03,230.03,230.06,230.06,230.06,230.06,230.07,230.07,230.07,230.07,230.483,230.239,230.239,230.24,230.646,230.646,230.646,230.646,230.697,230.697,230.697,230.697,230.667,230.667,230.667,230.666,230.715,230.715,230.722,230.721,230.5,230.5,230.471,230.471,230.406,230.406,230.406,230.406,230.394,230.394,230.394,230.394,230.407,230.435,230.263,230.199,230.352,230.352,230.288,230.288,230.288,227.88,227.88,227.859,227.859
"1992-01",427.4,427.4,427.4,427.2,427.4,427.4,427.4,427.4,428.2,428.3,428,428.5,428.1,428.2,428.3,436.7,223.2,223.4,223.4,223.3,223.68,223.82,,,,,,223.76,223.76,223.72,223.72,223.72,223.72,223.68,223.67,223.67,223.67,223.69,223.69,223.69,231.06,231.06,231.06,231.06,231.06,231.08,231.08,231.08,231.08,231.11,231.11,231.11,231.11,231.27,231.27,231.26,231.26,231.21,231.21,231.21,231.21,231.13,231.11,231.11,231.07,233.34,233.34,233.34,233.34,233.61,233.61,233.61,233.61,233.47,233.47,233.47,233.47,234.962,234.843,234.843,234.914,235.157,235.157,235.157,235.157,235.126,235.126,235.126,235.126,235.158,235.158,235.158,235.143,235.121,235.121,235.093,234.98,233.073,233.073,233.03,233.03,233.108,233.108,233.108,233.108,233.228,233.228,233.228,233.228,233.177,233.207,233.265,233.226,233.083,233.083,233.229,233.229,233.229,233.063,233.063,233.144,233.144
"1992-04",434.9,434.9,434.9,434.7,433.9,434.3,434.7,434.7,434.6,434.3,434.6,434.8,435,435,434.7,443.2,226.6,226.8,226.8,226.7,226.04,226.22,,,,,,226.43,226.43,226.59,226.59,226.59,226.59,226.45,226.44,226.44,226.44,226.42,226.42,226.42,233.86,233.83,233.83,233.83,233.83,233.88,233.88,233.88,233.88,233.99,233.99,233.99,233.99,233.91,233.91,233.85,233.85,233.95,233.95,233.95,233.95,233.93,233.94,233.94,233.93,234.21,234.21,234.29,234.29,233.86,233.86,233.86,233.86,234.01,234.01,234.01,234.01,236.101,236.236,236.236,236.193,236.672,236.672,236.672,236.672,236.729,236.729,236.729,236.729,236.758,236.758,236.758,236.744,236.693,236.693,236.693,236.721,235.684,235.684,235.787,235.787,235.712,235.712,235.712,235.712,235.589,235.589,235.589,235.589,235.597,235.597,235.657,235.713,235.683,235.683,235.625,235.625,235.625,235.56,235.56,235.553,235.553
"1992-07",439.7,439.7,439.7,439.8,439.3,438.9,439.2,439.2,439.5,439.8,438.8,438.7,438.8,438.8,438.5,444.2,227.1,227.1,227.1,226.7,226.87,227.18,,,,,,227.08,227.08,227.04,227.04,227.04,227.04,227.14,227.14,227.14,227.14,227.13,227.13,227.13,235.25,235.25,235.25,235.25,235.25,235.28,235.28,235.28,235.28,235.22,235.22,235.22,235.22,235.25,235.25,235.24,235.24,235.11,235.11,235.11,235.11,235.22,235.2,235.2,235.22,234.95,234.95,234.95,234.95,235.13,235.13,235.13,235.13,235.1,235.1,235.1,235.1,237.888,238.223,238.223,238.18,238.447,238.447,238.447,238.447,238.39,238.39,238.39,238.39,238.42,238.42,238.42,238.434,238.412,238.412,238.411,238.496,237.354,237.354,237.34,237.34,237.419,237.419,237.419,237.419,237.45,237.45,237.45,237.45,237.457,237.458,237.517,237.574,237.543,237.543,237.515,237.515,237.515,238.039,238.039,238.002,238.002
"1992-10",450.5,450.5,450.5,450.7,452,452,453.1,453.1,450.5,450.4,451.4,450.8,450.9,450.9,451.4,458.1,234.2,234,234,234.7,234.9,235.25,,,,,,235.21,235.21,235.12,235.12,235.12,235.12,235.11,235.11,235.11,235.11,235.11,235.11,235.11,244.74,244.77,244.77,244.77,244.77,244.77,244.77,244.77,244.77,244.66,244.66,244.66,244.66,244.66,244.66,244.72,244.72,245.23,245.23,245.23,245.23,245.25,245.29,245.29,245.31,246.24,246.24,246.16,246.16,246.21,246.21,246.21,246.21,246.22,246.22,246.22,246.22,247.102,246.751,246.751,246.766,247.129,247.129,247.129,247.129,247.189,247.189,247.189,247.189,247.098,247.098,247.098,247.113,247.15,247.15,247.178,247.178,246.293,246.293,246.248,246.248,246.166,246.166,246.166,246.166,246.139,246.139,246.139,246.139,246.205,246.175,245.997,245.923,246.157,246.157,246.098,246.098,246.098,241.435,241.435,241.398,241.398
"1993-01",447.8,447.8,447.8,447.6,446.9,446.9,446.7,446.7,447.5,447.7,447.3,447.7,447.3,447.3,447.4,455.7,232.9,233.1,233.2,233,233.03,233.09,,,,,,233.21,233.21,233.17,233.17,233.17,233.17,233.09,233.09,233.09,233.09,233.06,233.06,233.06,241.53,241.54,241.54,241.54,241.54,241.55,241.55,241.55,241.55,241.57,241.57,241.57,241.57,241.56,241.56,241.55,241.55,241.61,241.61,241.61,241.61,241.48,241.48,241.48,241.46,242.43,242.43,242.43,242.43,242.68,242.68,242.68,242.68,242.51,242.51,242.51,242.51,245.526,245.453,245.453,245.541,245.925,245.925,245.925,245.925,245.955,245.955,245.955,245.955,245.962,245.962,245.962,245.94,245.902,245.902,245.873,245.756,243.64,243.64,243.61,243.61,243.666,243.666,243.666,243.666,243.799,243.799,243.799,243.799,243.76,243.775,243.837,243.805,243.677,243.677,243.768,243.768,243.768,244.601,244.601,244.716,244.716
"1993-04",453.5,453.5,453.5,453.3,451.5,451.9,452.8,452.8,452.8,452.4,452.6,452.8,453.1,453.2,453,460.2,235.3,235.4,235.4,235.3,234.99,235.07,235.05,,,,,235.11,235.11,234.82,234.82,234.82,234.82,234.87,234.87,234.87,234.87,234.87,234.87,234.87,243.12,243.1,243.1,243.1,243.1,243.14,243.14,243.14,243.14,243.24,243.24,243.24,243.24,243.85,243.85,243.78,243.78,243.87,243.87,243.87,243.87,243.8,243.8,243.8,243.8,244.8,244.8,244.85,244.85,244.43,244.43,244.43,244.43,244.6,244.6,244.6,244.6,247.352,247.514,247.514,247.485,248.079,248.079,248.079,248.079,248.079,248.079,248.079,248.079,248.116,248.116,248.116,248.123,248.087,248.087,248.086,248.115,246.038,246.038,246.099,246.099,246.092,246.092,246.092,246.092,245.881,245.881,245.881,245.881,245.934,245.919,245.981,246.045,246.006,246.006,245.976,245.976,245.976,245.555,245.555,245.547,245.547
"1993-07",464.1,464.1,464.1,464.1,462.1,461.6,462,462,461.2,461.3,460.4,460.2,460.3,460.3,460,466.7,238.7,238.6,238.5,238.2,238.44,238.63,238.64,,,,,238.65,238.65,238.62,238.62,238.62,238.62,238.67,238.67,238.67,238.67,238.66,238.66,238.66,247.56,247.57,247.57,247.57,247.57,247.58,247.58,247.58,247.58,247.49,247.49,247.49,247.49,247.45,247.45,247.48,247.48,247.29,247.29,247.29,247.29,247.43,247.4,247.4,247.4,249.44,249.44,249.44,249.44,249.62,249.62,249.62,249.62,249.59,249.59,249.59,249.59,250.349,250.689,250.689,250.66,251.053,251.053,251.053,251.053,250.994,250.994,250.994,250.994,251.002,251.002,251.002,251.01,251.062,251.062,251.062,251.121,248.894,248.894,248.894,248.894,248.888,248.888,248.888,248.888,248.989,248.989,248.989,248.989,248.982,248.967,249.029,249.062,249.054,249.054,249.023,249.023,249.023,247.701,247.701,247.663,247.663
"1993-10",466.5,466.5,466.5,466.8,466.9,467,468.1,468.1,467.4,467.4,468.5,468.1,468.1,468.1,468.4,472.8,241.7,241.5,241.5,242.1,242.21,242.56,242.57,,,,,242.5,242.5,242.39,242.39,242.39,242.39,242.44,242.44,242.44,242.44,242.44,242.44,242.44,253.02,253.03,253.03,253.03,253.03,253.07,253.07,253.07,253.07,252.97,252.97,252.97,252.97,253.02,253.02,253.08,253.08,253.68,253.68,253.68,253.68,253.68,253.71,253.71,253.74,252.47,252.47,252.42,252.42,252.43,252.43,252.43,252.43,252.46,252.46,252.46,252.46,255.288,254.859,254.859,254.829,255.351,255.351,255.351,255.351,255.38,255.38,255.38,255.38,255.328,255.328,255.328,255.335,255.357,255.357,255.386,255.416,253.437,253.437,253.406,253.406,253.363,253.363,253.363,253.363,253.34,253.34,253.34,253.34,253.363,253.379,253.194,253.129,253.334,253.334,253.304,253.304,253.304,251.6,251.6,251.53,251.53
"1994-01",470.9,470.9,470.9,470.5,470.9,470.7,470.5,470.5,471.2,471.5,471,471.3,471,471,471,475.4,243,243.2,243.2,243.1,243.13,243.26,243.24,,,,,243.46,243.46,243.51,243.51,243.51,243.51,243.31,243.3,243.3,243.3,243.27,243.27,243.27,255.25,255.28,255.28,255.28,255.28,255.33,255.33,255.33,255.33,255.39,255.39,255.39,255.39,254.86,254.86,254.87,254.87,254.88,254.88,254.88,254.88,254.8,254.8,254.8,254.77,256.66,256.66,256.65,256.65,256.9,256.9,256.9,256.9,256.85,256.85,256.85,256.85,257.99,257.991,257.991,258.072,258.336,258.336,258.336,258.336,258.343,258.343,258.343,258.343,258.329,258.329,258.329,258.329,258.508,258.568,258.568,258.448,255.279,255.279,255.287,255.287,255.322,255.322,255.322,255.322,255.448,255.448,255.448,255.448,255.471,255.471,255.511,255.478,255.502,255.502,255.557,255.557,255.557,254.192,254.192,254.326,254.326
"1994-04",470.7,470.7,470.7,470.6,470.1,470.5,471.6,471.6,472.4,471.9,472.1,472.4,472.6,472.8,472.7,477,243.8,244,244,243.9,243.65,243.8,243.78,243.79,,,,243.83,243.83,243.5,243.5,243.5,243.5,243.77,243.77,243.77,243.77,243.76,243.76,243.76,255.28,255.21,255.21,255.21,255.21,255.11,255.11,255.11,255.11,255.29,255.29,255.29,255.29,255.28,255.28,255.2,255.2,255.24,255.24,255.24,255.24,255.15,255.15,255.15,255.15,255.23,255.23,255.28,255.28,255.03,255.03,255.03,255.03,255.15,255.15,255.15,255.15,257.017,257.227,257.227,257.189,257.805,257.805,257.805,257.805,257.872,257.872,257.872,257.872,257.917,257.917,257.917,257.917,257.707,257.677,257.647,257.707,253.355,253.355,253.394,253.394,253.362,253.362,253.362,253.362,253.203,253.203,253.203,253.203,253.195,253.195,253.203,253.236,253.198,253.198,253.159,253.159,253.159,254.955,254.955,254.932,254.932
"1994-07",478.4,478.4,478.4,478.6,478.5,478,478.4,478.4,480.4,480.5,479.6,479.4,479.5,479.3,479,483.2,247.1,247,247,246.7,246.89,247.27,247.29,247.27,,,,247.3,247.3,247.29,247.29,247.29,247.29,247.35,247.36,247.36,247.36,247.36,247.36,247.36,258.13,258.14,258.14,258.14,258.14,258.16,258.16,258.16,258.16,258.07,258.07,258.07,258.07,258.26,258.26,258.3,258.3,258.17,258.17,258.17,258.17,258.31,258.28,258.28,258.28,257.37,257.37,257.36,257.36,257.5,257.5,257.5,257.5,257.41,257.41,257.41,257.41,260.499,260.68,260.68,260.673,261.022,261.022,261.022,261.022,260.939,260.939,260.939,260.939,260.985,260.985,260.985,260.985,260.985,260.985,261.016,261.046,257.715,257.715,257.691,257.691,257.693,257.693,257.693,257.693,257.788,257.788,257.788,257.788,257.781,257.781,257.851,257.884,257.813,257.813,257.805,257.805,257.805,257.47,257.47,257.383,257.383
