"","2005-05-24","2005-08-23","2005-11-22","2006-02-22","2006-05-23","2006-08-24","2006-11-23","2007-02-22","2007-05-24","2007-08-23","2007-11-22","2008-02-26","2008-05-27","2008-08-26","2008-11-25","2009-02-25","2009-05-26","2009-08-25","2009-11-24","2010-02-24","2010-05-21","2010-08-24","2010-11-23","2011-02-24","2011-05-24","2011-09-01","2011-11-24","2012-02-24","2012-05-24","2012-08-23","2012-11-23","2013-02-22","2013-05-24","2013-08-23","2013-11-22","2014-02-25","2014-05-23","2014-09-01","2014-11-25","2015-02-24","2015-05-22","2015-08-25","2015-11-24","2016-02-23","2016-05-24","2016-08-24","2016-11-24","2017-02-23","2017-05-23","2017-08-25","2017-11-23","2018-02-23","2018-05-24","2018-08-24","2018-11-23","2019-02-22","2019-05-23","2019-08-27","2019-11-22","2020-02-25","2020-05-25","2020-08-25","2020-11-24","2021-02-24","2021-05-25","2021-08-24","2021-11-25","2022-02-25","2022-05-25","2022-08-25","2022-11-25","2023-02-24","2023-05-25","2023-08-25","2023-10-12","2023-11-24","2024-02-23","2024-05-24","2024-08-30","2024-11-22","2025-02-25","2025-05-23","2025-08-22","2025-11-25"
"1991-01",81.65,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.73,81.73,81.73,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,80.14,80.14,80.14,80.14,80.14,80.14,80.14,80.14,80.07,80.07,80.07,80.05,71.52,71.52,71.52,71.52,71.77,71.77,71.77,71.74,71.74,71.74,71.74,71.74,71.74,71.74,71.74,71.74,71.74,71.74,71.74,71.74,64.1,64.1,64.1,64.1,64.03,64.03,64.03,64.02,64.02,64.02,64.02,64.02,64.01,64.02,64.02,64.02,64.02,64.02,64.03,64.03,64.03,52.92,52.92,52.92,52.92,52.92,52.92
"1991-04",84.01,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.95,83.95,83.95,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,81.42,81.42,81.42,81.42,81.42,81.42,81.42,81.42,81.42,81.42,81.42,81.4,72.54,72.54,72.54,72.54,72.77,72.77,72.77,72.74,72.74,72.74,72.74,72.74,72.74,72.74,72.74,72.74,72.74,72.74,72.74,72.74,64.98,64.98,64.98,64.98,64.92,64.92,64.92,64.9,64.91,64.9,64.9,64.9,64.92,64.91,64.91,64.91,64.92,64.92,64.92,64.92,64.92,53.76,53.76,53.76,53.75,53.75,53.75
"1991-07",85.74,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.75,85.75,85.75,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.32,83.32,83.32,83.32,74.35,74.35,74.35,74.35,74.6,74.6,74.6,74.71,74.71,74.71,74.71,74.72,74.72,74.72,74.72,74.72,74.73,74.73,74.73,74.73,66.83,66.83,66.83,66.83,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.71,66.78,66.78,66.78,66.76,66.76,66.75,66.75,66.75,55.25,55.25,55.25,55.25,55.25,55.25
"1991-10",87.19,87.16,87.16,87.16,87.16,87.16,87.16,87.16,87.16,87.16,87.16,87.16,87.16,87.16,87.16,87.16,87.16,87.16,87.16,87.16,87.17,87.16,87.16,87.16,87.16,84.51,84.51,84.51,84.51,84.51,84.51,84.51,84.51,84.6,84.6,84.6,84.63,74.82,74.82,74.82,74.82,75.08,75.08,75.08,75.03,75.03,75.03,75.02,75.03,75.03,75.03,75.03,75.03,75.02,75.02,75.02,75.02,67.15,67.15,67.15,67.15,67.05,67.05,67.05,67.09,67.08,67.08,67.08,67.08,67.12,67.05,67.05,67.05,67.06,67.06,67.06,67.06,67.06,55.78,55.78,55.78,55.78,55.78,55.78
"1992-01",87.89,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.98,87.98,87.98,87.99,87.99,87.99,87.99,87.98,87.99,87.99,87.99,87.99,85.45,85.45,85.45,85.45,85.46,85.46,85.46,85.46,85.35,85.35,85.35,85.32,76.38,76.38,76.38,76.38,76.6,76.6,76.6,76.57,76.58,76.58,76.57,76.57,76.57,76.57,76.57,76.57,76.57,76.57,76.57,76.57,68.51,68.51,68.51,68.51,68.43,68.43,68.43,68.43,68.42,68.43,68.43,68.43,68.41,68.42,68.42,68.42,68.43,68.43,68.44,68.44,68.44,56.83,56.83,56.83,56.84,56.84,56.84
"1992-04",88.45,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.38,88.38,88.38,88.4,88.4,88.4,88.4,88.39,88.4,88.4,88.4,88.4,86.42,86.42,86.42,86.42,86.41,86.41,86.41,86.41,86.41,86.41,86.41,86.38,77.1,77.1,77.1,77.1,77.33,77.33,77.33,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,69.17,69.17,69.17,69.17,69.11,69.11,69.11,69.09,69.09,69.09,69.09,69.09,69.11,69.1,69.1,69.1,69.11,69.11,69.11,69.11,69.11,57.42,57.42,57.42,57.42,57.42,57.42
"1992-07",89.89,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.82,89.85,89.85,89.85,89.82,89.85,89.85,89.85,89.82,87.23,87.23,87.23,87.23,87.22,87.22,87.22,87.22,87.22,87.22,87.22,87.2,77.93,77.93,77.93,77.93,78.14,78.14,78.14,78.25,78.24,78.24,78.25,78.25,78.25,78.25,78.25,78.25,78.26,78.26,78.26,78.26,70.11,70.11,70.11,70.11,70.04,70.04,70.04,70.02,70.03,70.02,70.02,70.02,69.98,70.05,70.05,70.05,70.03,70.03,70.02,70.02,70.02,58.27,58.27,58.27,58.27,58.27,58.27
"1992-10",90.4,90.38,90.38,90.38,90.38,90.38,90.38,90.38,90.38,90.38,90.38,90.38,90.38,90.4,90.4,90.4,90.41,90.38,90.38,90.38,90.43,90.38,90.38,90.38,90.41,87.73,87.73,87.73,87.73,87.73,87.73,87.73,87.73,87.85,87.85,87.85,87.93,77.9,77.9,77.9,77.9,78.11,78.11,78.11,78.07,78.06,78.06,78.06,78.06,78.06,78.06,78.06,78.06,78.06,78.06,78.06,78.06,70.02,70.02,70.02,70.02,69.9,69.9,69.9,69.94,69.93,69.93,69.93,69.93,69.97,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,58.39,58.39,58.39,58.39,58.39,58.39
"1993-01",90.01,90.03,90.03,90.03,90.03,90.03,90.03,90.03,90.03,90.03,90.03,90.03,90.03,90,90,90,90.01,90.03,90.03,90.03,90,90.03,90.03,90.03,90.01,87.54,87.54,87.54,87.54,87.55,87.55,87.55,87.55,87.42,87.42,87.42,87.38,78.28,78.28,78.28,78.28,78.47,78.47,78.47,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,70.35,70.35,70.35,70.35,70.27,70.27,70.27,70.27,70.26,70.27,70.27,70.27,70.25,70.26,70.26,70.26,70.26,70.26,70.28,70.28,70.28,58.62,58.62,58.62,58.62,58.63,58.63
"1993-04",89.46,89.43,89.43,89.43,89.43,89.43,89.43,89.43,89.43,89.43,89.43,89.43,89.43,89.41,89.41,89.41,89.4,89.43,89.43,89.43,89.39,89.43,89.43,89.43,89.4,87.07,87.07,87.07,87.07,87.07,87.07,87.07,87.07,87.07,87.07,87.07,87.03,77.96,77.96,77.96,77.96,78.16,78.16,78.16,78.14,78.14,78.14,78.14,78.14,78.14,78.14,78.14,78.14,78.14,78.14,78.14,78.14,70.1,70.1,70.11,70.11,70.04,70.04,70.04,70.03,70.03,70.03,70.03,70.03,70.04,70.04,70.04,70.04,70.04,70.04,70.05,70.05,70.05,58.37,58.37,58.37,58.36,58.36,58.36
