"","2005-05-24","2005-08-23","2005-11-22","2006-02-22","2006-05-23","2006-08-24","2006-11-23","2007-02-22","2007-05-24","2007-08-23","2007-11-22","2008-02-26","2008-05-27","2008-08-26","2008-11-25","2009-02-25","2009-05-26","2009-08-25","2009-11-24","2010-02-24","2010-05-21","2010-08-24","2010-11-23","2011-02-24","2011-05-24","2011-09-01","2011-11-24","2012-02-24","2012-05-24","2012-08-23","2012-11-23","2013-02-22","2013-05-24","2013-08-23","2013-11-22","2014-02-25","2014-05-23","2014-09-01","2014-11-25","2015-02-24","2015-05-22","2015-08-25","2015-11-24","2016-02-23","2016-05-24","2016-08-24","2016-11-24","2017-02-23","2017-05-23","2017-08-25","2017-11-23","2018-02-23","2018-05-24","2018-08-24","2018-11-23","2019-02-22","2019-05-23","2019-08-27","2019-11-22","2020-02-25","2020-05-25","2020-08-25","2020-11-24","2021-02-24","2021-05-25","2021-08-24","2021-11-25","2022-02-25","2022-05-25","2022-08-25","2022-11-25","2023-02-24","2023-05-25","2023-08-25","2023-10-12","2023-11-24","2024-02-23","2024-05-24","2024-08-30","2024-11-22","2025-02-25","2025-05-23"
"1991-01",85.31,85.12,85.12,85.12,85.14,84.08,84.07,84.18,84.18,84.2,84.2,84.2,84.2,84.38,84.38,84.38,84.38,84.29,84.29,84.29,84.29,84.3,84.3,84.3,84.3,94.85,94.44,94.44,94.44,94.43,94.43,94.43,94.43,94.47,94.47,94.47,94.47,88.62,88.48,88.48,88.48,87.33,87.33,87.33,87.33,87.35,87.35,87.35,87.35,87.4,87.4,87.4,87.4,87.41,87.41,87.41,87.41,79.87,79.87,79.87,79.87,79.91,79.91,79.91,79.9,79.97,79.97,79.97,79.97,80.05,80.05,80.05,80.05,80.07,80.07,80.07,80.12,80.12,72.97,72.97,72.97,73.02
"1991-04",84.94,84.91,84.91,84.91,84.93,84.64,84.64,84.63,84.63,84.56,84.56,84.56,84.56,84.76,84.76,84.76,84.76,84.78,84.78,84.78,84.78,84.77,84.77,84.77,84.77,95.25,94.83,94.83,94.83,94.85,94.85,94.85,94.85,94.82,94.82,94.82,94.82,89.13,88.99,88.99,88.99,87.8,87.8,87.8,87.8,87.8,87.8,87.8,87.79,87.8,87.8,87.8,87.8,87.79,87.79,87.79,87.79,80.75,80.75,80.75,80.75,80.74,80.74,80.74,80.74,80.74,80.75,80.75,80.75,80.76,80.76,80.76,80.76,80.78,80.78,80.78,80.83,80.83,73.7,73.7,73.7,73.76
"1991-07",85.06,84.97,84.97,84.97,84.93,84.95,84.95,84.9,84.9,85.32,85.32,85.32,85.32,85.41,85.41,85.41,85.41,85.47,85.47,85.47,85.48,85.47,85.47,85.47,85.47,95.92,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.5,95.5,95.5,95.5,90.03,89.88,89.88,89.88,88.78,88.78,88.78,88.78,88.77,88.77,88.77,88.77,88.79,88.79,88.79,88.79,88.78,88.78,88.78,88.78,81.22,81.22,81.22,81.22,81.23,81.23,81.23,81.26,81.2,81.2,81.2,81.2,81.23,81.23,81.23,81.23,81.23,81.23,81.23,81.06,81.06,73.91,73.91,73.91,73.74
"1991-10",88.11,88.42,88.42,88.42,88.44,87.71,87.71,87.68,87.68,87.09,87.09,87.09,87.09,87.61,87.61,87.61,87.61,87.55,87.55,87.55,87.55,87.57,87.57,87.57,87.57,98.44,98.01,98.01,98.01,98.05,98.05,98.05,98.05,98.11,98.11,98.11,98.11,92.36,92.21,92.21,92.21,91.17,91.17,91.17,91.17,91.19,91.19,91.19,91.19,91.24,91.24,91.24,91.24,91.24,91.24,91.24,91.24,83.36,83.36,83.36,83.36,83.42,83.42,83.42,83.39,83.43,83.44,83.44,83.44,83.39,83.39,83.39,83.39,83.4,83.4,83.4,83.46,83.46,75.59,75.59,75.59,75.65
"1992-01",90.65,90.5,90.5,90.5,90.52,90.17,90.17,90.3,90.3,90.39,90.38,90.38,90.38,90.47,90.47,90.47,90.47,90.41,90.41,90.41,90.4,90.42,90.42,90.42,90.42,101.5,101.06,101.06,101.06,101.07,101.07,101.07,101.07,101.04,101.04,101.04,101.04,94.24,94.08,94.08,94.08,93.18,93.18,93.18,93.18,93.17,93.18,93.18,93.18,93.19,93.19,93.19,93.19,93.18,93.18,93.18,93.18,85.9,85.9,85.9,85.9,85.89,85.89,85.89,85.88,85.97,85.97,85.97,85.97,85.99,85.99,85.99,85.99,86,86,86,86.06,86.06,77.94,77.94,77.94,77.98
"1992-04",90,89.98,89.98,89.98,89.98,89.73,89.73,89.69,89.69,89.67,89.67,89.67,89.67,89.67,89.67,89.67,89.67,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66,100.6,100.16,100.16,100.16,100.17,100.17,100.17,100.17,100.18,100.18,100.18,100.18,93.52,93.37,93.37,93.37,92.44,92.44,92.44,92.44,92.44,92.44,92.44,92.44,92.47,92.47,92.47,92.47,92.46,92.45,92.45,92.45,85.15,85.15,85.15,85.15,85.15,85.15,85.15,85.15,85.15,85.15,85.15,85.15,85.17,85.17,85.17,85.17,85.19,85.19,85.19,85.24,85.24,77.09,77.09,77.09,77.15
"1992-07",87,86.9,86.9,86.9,86.87,86.86,86.87,86.83,86.83,87.2,87.2,87.2,87.2,87.39,87.39,87.39,87.39,87.47,87.47,87.47,87.47,87.44,87.44,87.44,87.44,98.19,97.76,97.76,97.76,97.77,97.77,97.77,97.77,97.76,97.76,97.76,97.76,91.57,91.43,91.43,91.43,90.54,90.54,90.54,90.54,90.54,90.54,90.54,90.54,90.55,90.55,90.55,90.55,90.54,90.54,90.54,90.54,82.97,82.97,82.97,82.97,82.98,82.98,82.98,83.01,82.95,82.94,82.94,82.94,82.97,82.97,82.97,82.97,82.98,82.98,82.98,82.82,82.82,75.07,75.07,75.07,74.92
"1992-10",88.12,88.4,88.4,88.4,88.42,87.91,87.91,87.86,87.86,87.31,87.3,87.3,87.3,87.57,87.57,87.57,87.57,87.62,87.62,87.62,87.62,87.64,87.64,87.64,87.64,98.34,97.91,97.91,97.91,97.89,97.89,97.89,97.89,97.85,97.85,97.85,97.85,91.42,91.27,91.27,91.27,90.45,90.45,90.45,90.45,90.44,90.44,90.44,90.44,90.44,90.44,90.44,90.44,90.44,90.44,90.44,90.44,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.78,82.8,82.8,82.8,82.8,82.84,82.84,82.84,82.84,82.85,82.85,82.85,82.9,82.9,75.12,75.12,75.12,75.18
"1993-01",85.79,85.68,85.68,85.68,85.69,85.21,85.2,85.34,85.34,85.46,85.46,85.46,85.46,85.7,85.7,85.7,85.7,85.6,85.6,85.6,85.6,85.61,85.61,85.61,85.61,96.21,95.79,95.79,95.79,95.82,95.82,95.82,95.82,95.82,95.82,95.82,95.82,89.64,89.49,89.49,89.49,88.57,88.57,88.57,88.57,88.58,88.58,88.58,88.58,88.6,88.6,88.6,88.6,88.59,88.59,88.59,88.59,80.85,80.85,80.85,80.85,80.86,80.86,80.86,80.85,80.94,80.94,80.94,80.94,80.97,80.97,80.97,80.97,80.99,80.99,80.99,81.03,81.03,73.47,73.47,73.47,73.48
"1993-04",84.8,84.76,84.76,84.76,84.76,84.5,84.5,84.46,84.46,84.38,84.38,84.38,84.38,84.59,84.59,84.59,84.59,84.64,84.64,84.64,84.63,84.64,84.64,84.64,84.64,95.07,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.64,94.64,94.64,94.64,88.49,88.34,88.34,88.34,87.44,87.44,87.44,87.44,87.44,87.44,87.44,87.44,87.45,87.45,87.45,87.45,87.44,87.44,87.44,87.44,80.22,80.22,80.22,80.22,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.22,80.22,80.22,80.22,80.23,80.23,80.23,80.27,80.27,72.86,72.86,72.86,72.91
