"","2005-05-24","2005-08-23","2005-11-22","2006-02-22","2006-05-23","2006-08-24","2006-11-23","2007-02-22","2007-05-24","2007-08-23","2007-11-22","2008-02-26","2008-05-27","2008-08-26","2008-11-25","2009-02-25","2009-05-26","2009-08-25","2009-11-24","2010-02-24","2010-05-21","2010-08-24","2010-11-23","2011-02-24","2011-05-24","2011-09-01","2011-11-24","2012-02-24","2012-05-24","2012-08-23","2012-11-23","2013-02-22","2013-05-24","2013-08-23","2013-11-22","2014-02-25","2014-05-23","2014-09-01","2014-11-25","2015-02-24","2015-05-22","2015-08-25","2015-11-24","2016-02-23","2016-05-24","2016-08-24","2016-11-24","2017-02-23","2017-05-23","2017-08-25","2017-11-23","2018-02-23","2018-05-24","2018-08-24","2018-11-23","2019-02-22","2019-05-23","2019-08-27","2019-11-22","2020-02-25","2020-05-25","2020-08-25","2020-11-24","2021-02-24","2021-05-25","2021-08-24","2021-11-25","2022-02-25","2022-05-25","2022-08-25","2022-11-25","2023-02-24","2023-05-25","2023-08-25","2023-10-12","2023-11-24","2024-02-23","2024-05-24","2024-08-30","2024-11-22","2025-02-25","2025-05-23","2025-08-22","2025-11-25"
"1991-01",87.57,87.38,87.38,87.38,87.4,86.56,86.56,86.66,86.66,86.71,86.71,86.71,86.71,86.74,86.74,86.74,86.74,86.67,86.67,86.67,86.67,86.68,86.68,86.68,86.69,86.84,86.84,86.84,86.84,86.83,86.83,86.83,86.83,86.87,86.87,86.87,86.87,95.763,95.767,95.767,95.767,95.611,95.607,95.607,95.607,95.639,95.639,95.639,95.641,95.683,95.683,95.683,95.683,95.7,95.697,95.697,95.697,95.95,95.95,95.95,95.95,95.973,95.973,95.973,95.964,96.05,96.053,96.053,96.053,96.144,96.144,96.144,96.145,96.148,96.148,96.148,96.214,96.214,96.35,96.35,96.35,96.42,96.416,96.416
"1991-04",88.56,88.47,88.47,88.47,88.48,88.52,88.52,88.51,88.51,88.45,88.45,88.45,88.45,88.54,88.54,88.54,88.54,88.56,88.56,88.56,88.56,88.55,88.55,88.55,88.55,88.67,88.67,88.67,88.67,88.68,88.68,88.68,88.68,88.65,88.65,88.65,88.65,97.645,97.644,97.644,97.644,97.381,97.403,97.403,97.403,97.425,97.425,97.425,97.421,97.435,97.435,97.435,97.435,97.427,97.43,97.43,97.43,98.354,98.354,98.354,98.354,98.33,98.33,98.33,98.333,98.326,98.329,98.329,98.329,98.354,98.354,98.354,98.351,98.369,98.369,98.369,98.442,98.442,98.712,98.712,98.712,98.79,98.804,98.804
"1991-07",89.61,89.53,89.53,89.53,89.48,89.76,89.76,89.71,89.71,90.18,90.18,90.18,90.18,90.15,90.15,90.15,90.15,90.22,90.22,90.22,90.23,90.26,90.26,90.26,90.25,90.21,90.21,90.21,90.21,90.21,90.21,90.21,90.21,90.21,90.21,90.21,90.21,99.455,99.458,99.458,99.458,99.353,99.342,99.342,99.342,99.326,99.326,99.326,99.328,99.344,99.344,99.344,99.344,99.327,99.331,99.331,99.331,99.793,99.793,99.793,99.793,99.782,99.782,99.782,99.823,99.762,99.754,99.754,99.754,99.793,99.793,99.793,99.794,99.793,99.793,99.793,99.579,99.579,99.966,99.966,99.966,99.732,99.733,99.733
"1991-10",93.71,94.04,94.04,94.04,94.06,93.58,93.58,93.54,93.54,92.88,92.88,92.88,92.88,93.31,93.31,93.31,93.31,93.27,93.27,93.27,93.26,93.3,93.3,93.3,93.31,93.42,93.42,93.42,93.42,93.46,93.46,93.46,93.46,93.52,93.52,93.52,93.52,102.79,102.794,102.794,102.794,102.801,102.794,102.794,102.794,102.791,102.791,102.791,102.792,102.852,102.852,102.852,102.852,102.855,102.851,102.851,102.851,103.199,103.199,103.199,103.199,103.253,103.253,103.253,103.218,103.275,103.277,103.277,103.277,103.216,103.216,103.216,103.217,103.254,103.254,103.254,103.329,103.329,103.198,103.198,103.198,103.283,103.222,103.222
"1992-01",97.18,97.02,97.02,97.02,97.04,96.96,96.95,97.09,97.09,97.2,97.2,97.2,97.2,97.11,97.11,97.11,97.11,97.08,97.08,97.08,97.07,97.09,97.09,97.09,97.09,97.13,97.13,97.13,97.13,97.12,97.12,97.12,97.12,97.11,97.11,97.11,97.11,106.168,106.167,106.167,106.167,106.291,106.288,106.288,106.288,106.297,106.301,106.301,106.302,106.307,106.307,106.307,106.307,106.292,106.29,106.29,106.29,107.633,107.633,107.633,107.633,107.602,107.602,107.602,107.59,107.696,107.701,107.701,107.701,107.723,107.723,107.723,107.727,107.723,107.723,107.723,107.795,107.795,107.521,107.521,107.521,107.572,107.585,107.585
"1992-04",97.5,97.42,97.42,97.42,97.43,97.5,97.49,97.46,97.46,97.47,97.47,97.47,97.47,97.32,97.32,97.32,97.32,97.32,97.32,97.32,97.31,97.31,97.31,97.31,97.32,97.31,97.31,97.31,97.31,97.31,97.31,97.31,97.31,97.32,97.32,97.32,97.32,106.353,106.353,106.353,106.353,106.442,106.468,106.468,106.468,106.482,106.48,106.48,106.482,106.528,106.528,106.528,106.528,106.51,106.508,106.508,106.508,107.781,107.781,107.781,107.781,107.757,107.757,107.757,107.763,107.748,107.75,107.75,107.75,107.786,107.786,107.786,107.781,107.808,107.808,107.808,107.871,107.871,107.398,107.398,107.398,107.473,107.479,107.479
"1992-07",95.19,95.09,95.09,95.09,95.05,95.32,95.33,95.28,95.28,95.72,95.72,95.72,95.72,95.79,95.79,95.79,95.79,95.88,95.88,95.88,95.89,95.89,95.89,95.89,95.87,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.95,95.95,95.95,95.95,105.154,105.159,105.159,105.159,105.367,105.358,105.358,105.358,105.352,105.35,105.35,105.347,105.361,105.361,105.361,105.361,105.344,105.349,105.349,105.349,106.039,106.039,106.039,106.039,106.032,106.032,106.032,106.071,106.006,105.997,105.997,105.997,106.036,106.036,106.036,106.038,106.037,106.037,106.037,105.832,105.832,105.546,105.546,105.546,105.33,105.338,105.338
"1992-10",97.02,97.34,97.34,97.34,97.35,97.09,97.09,97.03,97.03,96.38,96.38,96.38,96.38,96.54,96.54,96.54,96.54,96.61,96.61,96.61,96.6,96.66,96.66,96.66,96.66,96.68,96.68,96.68,96.68,96.67,96.67,96.67,96.67,96.63,96.63,96.63,96.63,105.655,105.649,105.649,105.649,105.925,105.912,105.912,105.912,105.891,105.89,105.89,105.891,105.898,105.898,105.898,105.898,105.893,105.891,105.891,105.891,106.547,106.547,106.547,106.547,106.522,106.522,106.522,106.488,106.514,106.516,106.516,106.516,106.571,106.571,106.571,106.571,106.602,106.602,106.602,106.671,106.671,106.372,106.372,106.372,106.461,106.443,106.443
"1993-01",95.12,95,95,95,95.01,94.77,94.77,94.93,94.93,95.08,95.08,95.08,95.08,95.19,95.19,95.19,95.19,95.1,95.1,95.1,95.1,95.09,95.09,95.09,95.09,95.21,95.21,95.21,95.21,95.25,95.25,95.25,95.25,95.24,95.24,95.24,95.24,104.468,104.465,104.465,104.465,104.593,104.596,104.596,104.596,104.611,104.611,104.611,104.616,104.632,104.632,104.632,104.632,104.629,104.624,104.624,104.624,104.944,104.944,104.944,104.944,104.929,104.929,104.929,104.921,105.029,105.031,105.031,105.031,105.067,105.067,105.067,105.067,105.076,105.076,105.076,105.133,105.133,104.956,104.956,104.956,104.969,104.981,104.981
"1993-04",94.57,94.51,94.51,94.51,94.51,94.52,94.53,94.48,94.48,94.43,94.43,94.43,94.43,94.52,94.52,94.52,94.52,94.58,94.58,94.58,94.58,94.58,94.58,94.58,94.59,94.62,94.62,94.62,94.62,94.64,94.64,94.64,94.64,94.6,94.6,94.6,94.6,103.701,103.698,103.698,103.698,103.809,103.823,103.823,103.823,103.841,103.841,103.841,103.841,103.851,103.851,103.851,103.851,103.835,103.836,103.836,103.836,104.66,104.66,104.66,104.66,104.621,104.621,104.621,104.626,104.611,104.613,104.613,104.613,104.641,104.641,104.641,104.641,104.651,104.651,104.651,104.71,104.71,104.614,104.614,104.614,104.694,104.718,104.718
