"","2005-05-24","2005-08-23","2005-11-22","2006-02-22","2006-05-23","2006-08-24","2006-11-23","2007-02-22","2007-05-24","2007-08-23","2007-11-22","2008-02-26","2008-05-27","2008-08-26","2008-11-25","2009-02-25","2009-05-26","2009-08-25","2009-11-24","2010-02-24","2010-05-21","2010-08-24","2010-11-23","2011-02-24","2011-05-24","2011-09-01","2011-11-24","2012-02-24","2012-05-24","2012-08-23","2012-11-23","2013-02-22","2013-05-24","2013-08-23","2013-11-22","2014-02-25","2014-05-23","2014-09-01","2014-11-25","2015-02-24","2015-05-22","2015-08-25","2015-11-24","2016-02-23","2016-05-24","2016-08-24","2016-11-24","2017-02-23","2017-05-23","2017-08-25","2017-11-23","2018-02-23","2018-05-24","2018-08-24","2018-11-23","2019-02-22","2019-05-23","2019-08-27","2019-11-22","2020-02-25","2020-05-25","2020-08-25","2020-11-24","2021-02-24","2021-05-25","2021-08-24","2021-11-25","2022-02-25","2022-05-25","2022-08-25","2022-11-25","2023-02-24","2023-05-25","2023-08-25","2023-10-12","2023-11-24","2024-02-23","2024-05-24","2024-08-30","2024-11-22","2025-02-25","2025-05-23"
"1991-01",60.92,60.85,60.85,60.85,60.85,60.81,60.81,60.81,60.81,60.88,60.88,60.88,60.88,60.88,60.88,60.88,60.88,60.86,60.86,60.86,60.86,60.84,60.84,60.84,60.85,49.7,49.58,49.58,49.58,49.58,49.58,49.58,49.58,49.58,49.58,49.58,49.58,40.68,40.68,40.68,40.68,40.69,40.69,40.69,40.69,40.68,40.68,40.68,40.69,40.69,40.69,40.69,40.69,40.69,40.69,40.69,40.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.7,33.69,33.69,33.69,33.69,33.69,34.52,34.52,34.52,34.52
"1991-04",60.75,60.76,60.76,60.76,60.76,60.75,60.75,60.75,60.75,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.76,60.76,60.76,60.76,60.75,60.75,60.75,60.75,49.77,49.65,49.65,49.65,49.64,49.64,49.64,49.64,49.65,49.65,49.65,49.65,41.04,41.04,41.04,41.04,41.03,41.03,41.03,41.03,41.02,41.02,41.02,41.02,41.02,41.02,41.02,41.02,41.02,41.02,41.02,41.02,33.87,33.87,33.87,33.87,33.88,33.88,33.88,33.88,33.88,33.88,33.88,33.88,33.88,33.88,33.87,33.88,33.87,33.87,33.87,33.87,33.87,34.75,34.75,34.75,34.75
"1991-07",60.76,60.83,60.83,60.83,60.83,60.82,60.82,60.82,60.82,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,50.12,50,50,50,50.01,50.01,50.01,50.01,50,50,50,50,41.35,41.35,41.35,41.35,41.36,41.36,41.36,41.36,41.35,41.35,41.35,41.35,41.36,41.36,41.36,41.36,41.36,41.35,41.35,41.35,34.22,34.22,34.22,34.22,34.23,34.23,34.23,34.23,34.23,34.23,34.23,34.23,34.24,34.24,34.24,34.23,34.24,34.24,34.23,34.23,34.23,35.2,35.2,35.2,35.2
"1991-10",60.63,60.64,60.64,60.64,60.64,60.67,60.67,60.67,60.67,60.65,60.65,60.65,60.65,60.65,60.65,60.65,60.65,60.66,60.66,60.66,60.66,60.67,60.67,60.67,60.67,50.55,50.43,50.43,50.43,50.44,50.44,50.44,50.44,50.44,50.44,50.44,50.44,41.39,41.39,41.39,41.39,41.36,41.36,41.36,41.36,41.36,41.36,41.36,41.36,41.36,41.36,41.36,41.36,41.36,41.36,41.36,41.36,34.23,34.23,34.23,34.23,34.24,34.24,34.24,34.24,34.24,34.24,34.24,34.24,34.24,34.24,34.24,34.24,34.24,34.24,34.24,34.24,34.24,35.12,35.12,35.12,35.12
"1992-01",63.36,63.29,63.29,63.29,63.29,63.32,63.32,63.32,63.32,63.38,63.38,63.38,63.38,63.36,63.36,63.36,63.36,63.34,63.34,63.34,63.34,63.32,63.32,63.32,63.33,51.91,51.78,51.78,51.78,51.78,51.78,51.78,51.78,51.79,51.79,51.79,51.79,42.85,42.85,42.85,42.85,42.87,42.87,42.87,42.87,42.86,42.86,42.86,42.86,42.87,42.87,42.87,42.87,42.87,42.87,42.87,42.87,35.43,35.43,35.43,35.43,35.44,35.44,35.44,35.44,35.44,35.44,35.44,35.44,35.44,35.44,35.44,35.44,35.44,35.44,35.44,35.44,35.44,36.34,36.34,36.34,36.34
"1992-04",61.38,61.38,61.38,61.38,61.38,61.37,61.37,61.37,61.37,61.38,61.38,61.38,61.38,61.38,61.38,61.38,61.38,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,50.56,50.44,50.44,50.44,50.44,50.44,50.44,50.44,50.44,50.44,50.44,50.44,41.71,41.71,41.71,41.71,41.73,41.73,41.73,41.73,41.74,41.74,41.74,41.73,41.73,41.73,41.73,41.73,41.73,41.73,41.73,41.73,34.47,34.47,34.47,34.47,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,35.33,35.33,35.33,35.33
"1992-07",60.91,60.98,60.98,60.98,60.98,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.97,60.97,60.97,60.97,60.97,60.97,60.97,60.97,50.3,50.18,50.18,50.18,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,41.7,41.7,41.7,41.7,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.7,41.7,41.7,34.37,34.37,34.37,34.37,34.38,34.38,34.38,34.38,34.38,34.38,34.38,34.38,34.38,34.38,34.38,34.38,34.38,34.38,34.38,34.38,34.38,35.16,35.16,35.16,35.16
"1992-10",61.61,61.62,61.62,61.62,61.62,61.57,61.57,61.57,61.57,61.53,61.53,61.53,61.53,61.52,61.52,61.52,61.52,61.53,61.53,61.53,61.53,61.53,61.53,61.53,61.53,50.86,50.74,50.74,50.74,50.75,50.75,50.75,50.75,50.75,50.75,50.75,50.75,42.2,42.2,42.2,42.2,42.24,42.24,42.24,42.24,42.24,42.24,42.24,42.24,42.23,42.23,42.23,42.23,42.23,42.24,42.24,42.24,34.83,34.83,34.83,34.83,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,35.66,35.66,35.66,35.66
"1993-01",58.28,58.21,58.21,58.21,58.21,58.21,58.21,58.21,58.21,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.25,58.25,58.25,58.25,58.24,58.24,58.24,58.24,46.78,46.66,46.66,46.66,46.67,46.67,46.67,46.67,46.67,46.67,46.67,46.67,38.79,38.79,38.79,38.79,38.78,38.78,38.78,38.78,38.78,38.78,38.78,38.78,38.78,38.78,38.78,38.78,38.78,38.78,38.78,38.78,32.01,32.01,32.01,32.01,32.02,32.02,32.02,32.02,32.02,32.02,32.02,32.02,32.02,32.02,32.02,32.02,32.02,32.02,32.02,32.02,32.02,32.25,32.25,32.25,32.25
"1993-04",58.73,58.73,58.73,58.73,58.73,58.73,58.73,58.73,58.73,58.71,58.71,58.71,58.71,58.7,58.7,58.7,58.7,58.72,58.72,58.72,58.72,58.71,58.71,58.71,58.71,47.38,47.27,47.27,47.27,47.27,47.27,47.27,47.27,47.27,47.27,47.27,47.27,39.12,39.12,39.12,39.12,39.13,39.13,39.13,39.13,39.13,39.13,39.13,39.13,39.12,39.12,39.12,39.12,39.12,39.12,39.12,39.12,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.52,32.52,32.52,32.52
"1993-07",59.41,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.51,59.51,59.51,59.51,59.5,59.5,59.5,59.5,48.18,48.06,48.06,48.06,48.06,48.06,48.06,48.06,48.05,48.05,48.05,48.05,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,32.72,32.72,32.72,32.72,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.98,32.98,32.98,32.98
"1993-10",59.55,59.55,59.55,59.55,59.55,59.55,59.55,59.55,59.55,59.49,59.49,59.49,59.49,59.48,59.48,59.48,59.48,59.5,59.5,59.5,59.5,59.49,59.49,59.49,59.49,48.29,48.17,48.17,48.17,48.17,48.17,48.17,48.17,48.17,48.17,48.17,48.17,39.77,39.77,39.77,39.77,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,32.78,32.78,32.78,32.78,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,33.04,33.04,33.04,33.04
"1994-01",61.17,61.09,61.09,61.09,61.09,61.1,61.1,61.1,61.1,61.16,61.16,61.16,61.16,61.15,61.15,61.15,61.15,61.14,61.14,61.14,61.14,61.12,61.12,61.12,61.12,49.18,49.06,49.06,49.06,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,40.54,40.54,40.54,40.54,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,33.44,33.44,33.44,33.44,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.72,33.72,33.72,33.72
"1994-04",63.36,63.37,63.37,63.37,63.37,63.37,63.37,63.37,63.37,63.35,63.35,63.35,63.35,63.36,63.36,63.36,63.36,63.36,63.36,63.36,63.36,63.35,63.35,63.35,63.35,51.31,51.18,51.18,51.18,51.19,51.19,51.19,51.19,51.18,51.18,51.18,51.18,42.36,42.36,42.36,42.36,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,34.94,34.94,34.94,34.94,34.96,34.96,34.96,34.96,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,35.18,35.18,35.18,35.18
"1994-07",64.96,65.04,65.04,65.04,65.04,65.03,65.03,65.03,65.03,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.06,65.06,65.06,65.06,52.72,52.59,52.59,52.59,52.6,52.6,52.6,52.6,52.59,52.59,52.59,52.59,43.39,43.39,43.39,43.39,43.4,43.4,43.4,43.4,43.41,43.41,43.41,43.41,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,35.73,35.73,35.73,35.73,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.88,35.88,35.88,35.88
"1994-10",66.05,66.04,66.04,66.04,66.04,66.04,66.04,66.04,66.04,65.98,65.98,65.98,65.98,65.98,65.98,65.98,65.98,65.99,65.99,65.99,65.99,66,66,66,66,53.67,53.54,53.54,53.54,53.56,53.56,53.56,53.56,53.55,53.55,53.55,53.55,44.14,44.14,44.14,44.14,44.16,44.16,44.16,44.16,44.15,44.15,44.15,44.16,44.15,44.15,44.15,44.15,44.15,44.15,44.15,44.15,36.38,36.38,36.38,36.38,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.56,36.56,36.56,36.56
"1995-01",66.66,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.64,66.64,66.64,66.64,66.62,66.62,66.62,66.62,66.62,66.62,66.62,66.62,66.59,66.59,66.59,66.59,53.82,53.69,53.69,53.69,53.68,53.68,53.68,53.68,53.67,53.67,53.67,53.67,44.4,44.4,44.4,44.4,44.43,44.43,44.43,44.43,44.44,44.44,44.44,44.43,44.44,44.44,44.44,44.44,44.45,44.45,44.45,44.45,36.6,36.6,36.6,36.6,36.61,36.61,36.61,36.61,36.61,36.61,36.61,36.61,36.61,36.6,36.6,36.61,36.61,36.61,36.61,36.61,36.61,36.72,36.72,36.72,36.72
