"","2005-05-24","2005-08-23","2005-11-22","2006-02-22","2006-05-23","2006-08-24","2006-11-23","2007-02-22","2007-05-24","2007-08-23","2007-11-22","2008-02-26","2008-05-27","2008-08-26","2008-11-25","2009-02-25","2009-05-26","2009-08-25","2009-11-24","2010-02-24","2010-05-21","2010-08-24","2010-11-23","2011-02-24","2011-05-24","2011-09-01","2011-11-24","2012-02-24","2012-05-24","2012-08-23","2012-11-23","2013-02-22","2013-05-24","2013-08-23","2013-11-22","2014-02-25","2014-05-23","2014-09-01","2014-11-25","2015-02-24","2015-05-22","2015-08-25","2015-11-24","2016-02-23","2016-05-24","2016-08-24","2016-11-24","2017-02-23","2017-05-23","2017-08-25","2017-11-23","2018-02-23","2018-05-24","2018-08-24","2018-11-23","2019-02-22","2019-05-23","2019-08-27","2019-11-22","2020-02-25","2020-05-25","2020-08-25","2020-11-24","2021-02-24","2021-05-25","2021-08-24","2021-11-25","2022-02-25","2022-05-25","2022-08-25","2022-11-25","2023-02-24","2023-05-25","2023-08-25","2023-10-12","2023-11-24","2024-02-23","2024-05-24","2024-08-30","2024-11-22","2025-02-25","2025-05-23","2025-08-22"
"1991-01",63.7,63.71,63.71,63.71,63.71,63.77,63.77,63.77,63.77,63.79,63.79,63.79,63.79,63.7,63.7,63.7,63.7,63.69,63.69,63.69,63.69,63.73,63.73,63.73,63.73,46.64,46.5,46.5,46.5,46.49,46.49,46.49,46.49,46.49,46.49,46.49,46.49,37.87,37.87,37.87,37.83,37.85,37.85,37.85,37.85,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.89,37.89,37.89,37.89,30.57,30.57,30.57,30.57,30.58,30.58,30.58,30.58,30.61,30.61,30.61,30.61,30.58,30.58,30.58,30.58,30.58,30.58,30.58,30.58,30.58,32.93,32.93,32.93,32.93,32.95
"1991-04",57.78,57.84,57.84,57.84,57.84,57.65,57.65,57.65,57.65,57.66,57.66,57.66,57.66,57.71,57.71,57.71,57.71,57.76,57.76,57.76,57.76,57.73,57.73,57.73,57.72,43.75,43.62,43.62,43.62,43.59,43.59,43.59,43.59,43.61,43.61,43.61,43.61,35.88,35.88,35.88,35.87,35.87,35.87,35.87,35.87,35.69,35.69,35.69,35.69,35.71,35.71,35.71,35.71,35.71,35.71,35.71,35.71,28.79,28.78,28.78,28.78,28.79,28.79,28.79,28.79,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.81,28.81,28.81,28.81,28.81,31.02,31.02,31.02,31.02,31.02
"1991-07",60,59.88,59.88,59.88,59.88,59.94,59.94,59.94,59.94,59.94,59.94,59.94,59.94,60.07,60.07,60.07,60.07,60.03,60.03,60.03,60.03,60.03,60.03,60.03,60.03,45.42,45.28,45.28,45.28,45.26,45.26,45.26,45.26,45.27,45.27,45.27,45.27,37.29,37.29,37.29,37.3,37.3,37.3,37.3,37.3,37.41,37.41,37.41,37.41,37.41,37.41,37.41,37.41,37.41,37.41,37.41,37.41,30.21,30.21,30.21,30.21,30.2,30.2,30.2,30.2,30.16,30.16,30.16,30.16,30.21,30.21,30.21,30.21,30.21,30.21,30.21,30.21,30.21,32.53,32.53,32.53,32.53,32.52
"1991-10",60.16,60.22,60.22,60.22,60.22,60.34,60.34,60.34,60.34,60.32,60.32,60.32,60.32,60.22,60.22,60.22,60.22,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.25,45.63,45.49,45.49,45.49,45.55,45.55,45.55,45.55,45.55,45.55,45.55,45.55,37.39,37.39,37.39,37.45,37.45,37.45,37.45,37.45,37.48,37.48,37.48,37.48,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,30.29,30.29,30.29,30.29,30.28,30.28,30.28,30.28,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.31,30.31,30.31,30.31,30.31,32.58,32.58,32.58,32.58,32.59
"1992-01",61.39,61.4,61.4,61.4,61.4,61.5,61.5,61.5,61.5,61.51,61.51,61.51,61.51,61.46,61.46,61.46,61.46,61.43,61.43,61.43,61.43,61.46,61.46,61.46,61.46,46.19,46.05,46.05,46.05,46.03,46.03,46.03,46.03,46.02,46.02,46.02,46.02,37.85,37.85,37.85,37.82,37.82,37.82,37.82,37.82,37.84,37.84,37.84,37.84,37.85,37.85,37.85,37.85,37.85,37.85,37.85,37.85,30.58,30.58,30.58,30.58,30.59,30.59,30.59,30.59,30.62,30.62,30.62,30.62,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,32.99,32.99,32.99,32.99,32.99
"1992-04",58.46,58.51,58.51,58.51,58.51,58.36,58.36,58.36,58.36,58.37,58.37,58.37,58.37,58.41,58.41,58.41,58.41,58.46,58.46,58.46,58.46,58.43,58.43,58.43,58.43,44.01,43.88,43.88,43.88,43.86,43.86,43.86,43.86,43.89,43.89,43.89,43.89,36.26,36.26,36.26,36.25,36.25,36.25,36.25,36.25,36.1,36.1,36.1,36.1,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,29.15,29.15,29.15,29.15,29.15,29.15,29.15,29.15,29.17,29.17,29.17,29.17,29.18,29.18,29.18,29.18,29.19,29.19,29.19,29.19,29.18,31.39,31.39,31.39,31.39,31.4
"1992-07",59.81,59.67,59.67,59.67,59.67,59.73,59.73,59.73,59.73,59.74,59.74,59.74,59.74,59.82,59.82,59.82,59.82,59.8,59.8,59.8,59.8,59.78,59.78,59.78,59.79,44.97,44.83,44.83,44.83,44.82,44.82,44.82,44.82,44.81,44.81,44.81,44.81,37.06,37.06,37.06,37.07,37.06,37.06,37.06,37.06,37.17,37.17,37.17,37.17,37.17,37.17,37.17,37.17,37.17,37.17,37.17,37.17,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.96,29.96,29.96,29.96,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,30,32.28,32.28,32.28,32.28,32.27
"1992-10",57.35,57.42,57.42,57.42,57.42,57.4,57.4,57.4,57.4,57.38,57.38,57.38,57.38,57.29,57.29,57.29,57.29,57.28,57.28,57.28,57.28,57.29,57.29,57.29,57.29,42.98,42.85,42.85,42.85,42.9,42.9,42.9,42.9,42.86,42.86,42.86,42.86,35.46,35.46,35.46,35.49,35.5,35.5,35.5,35.5,35.52,35.52,35.52,35.52,35.52,35.52,35.52,35.52,35.51,35.51,35.51,35.51,28.66,28.65,28.65,28.65,28.64,28.64,28.64,28.64,28.66,28.66,28.66,28.66,28.64,28.64,28.64,28.64,28.65,28.65,28.65,28.65,28.64,30.78,30.78,30.78,30.78,30.78
"1993-01",56.32,56.34,56.34,56.34,56.34,56.41,56.41,56.41,56.41,56.43,56.43,56.43,56.43,56.43,56.43,56.43,56.43,56.41,56.41,56.41,56.41,56.42,56.42,56.42,56.43,42.02,41.88,41.88,41.88,41.87,41.87,41.87,41.87,41.87,41.87,41.87,41.87,34.73,34.73,34.73,34.69,34.69,34.69,34.69,34.69,34.71,34.71,34.71,34.71,34.73,34.73,34.73,34.73,34.72,34.72,34.72,34.72,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.08,28.08,28.08,28.08,28.06,28.06,28.06,28.06,28.06,28.06,28.06,28.06,28.07,29.72,29.72,29.72,29.72,29.74
"1993-04",55.82,55.87,55.87,55.87,55.87,55.72,55.72,55.72,55.72,55.75,55.75,55.75,55.75,55.79,55.79,55.79,55.79,55.82,55.82,55.82,55.82,55.78,55.78,55.78,55.78,41.49,41.36,41.36,41.36,41.35,41.35,41.35,41.35,41.36,41.36,41.36,41.36,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.03,34.03,34.03,34.03,34.04,34.04,34.04,34.04,34.03,34.03,34.03,34.03,27.47,27.47,27.47,27.47,27.46,27.46,27.46,27.46,27.47,27.47,27.47,27.47,27.49,27.49,27.49,27.49,27.5,27.5,27.5,27.5,27.5,29.06,29.06,29.06,29.06,29.06
