"","1995-09-06","1995-12-07","1996-03-07","1996-06-05","1996-09-05","1996-12-04","1997-03-04","1997-06-05","1997-09-10","1997-12-04","1998-02-27","1998-06-04","1998-09-09","1998-12-03","1999-03-04","1999-05-28","1999-06-08","1999-09-09","1999-12-07","2000-03-28","2000-05-30","2000-08-29","2000-11-28","2001-03-01","2001-05-23","2001-08-23","2001-11-22","2002-02-27","2002-05-23","2002-08-22","2002-11-21","2003-02-26","2003-05-22","2003-08-21","2003-11-20","2004-02-19","2004-05-25","2004-08-24","2004-11-23","2005-02-22","2005-05-24","2005-08-23","2005-11-22","2006-02-22","2006-05-23","2006-08-24","2006-11-23","2007-02-22","2007-05-24","2007-08-23","2007-11-22","2008-02-26","2008-05-27","2008-08-26","2008-11-25","2009-02-25","2009-05-26","2009-08-25","2009-11-24","2010-02-24","2010-05-21","2010-08-24","2010-11-23","2011-02-24","2011-05-24","2011-09-01","2011-11-24","2012-02-24","2012-05-24","2012-08-23","2012-11-23","2013-02-22","2013-05-24","2013-08-23","2013-11-22","2014-02-25","2014-05-23","2014-09-01","2014-11-25","2015-02-24","2015-05-22","2015-08-25","2015-11-24","2016-02-23","2016-05-24","2016-08-24","2016-11-24","2017-02-23","2017-05-23","2017-08-25","2017-11-23","2018-02-23","2018-05-24","2018-08-24","2018-11-23","2019-02-22","2019-05-23","2019-08-27","2019-11-22","2020-02-25","2020-05-25","2020-08-25","2020-11-24","2021-02-24","2021-05-25","2021-08-24","2021-11-25","2022-02-25","2022-05-25","2022-08-25","2022-11-25","2023-02-24","2023-05-25","2023-08-25","2023-10-12","2023-11-24","2024-02-23","2024-05-24","2024-08-30","2024-11-22","2025-02-25","2025-05-23","2025-08-22","2025-11-25"
"1991-01",181.8,181.8,181.8,181,182.3,181.6,183.2,183.2,,182.5,182.4,182.4,182.4,182.4,182.4,193.4,98.9,,,,,,,,,,,99.81,99.81,99.78,99.78,99.78,99.78,99.72,,99.72,99.68,99.79,99.79,99.79,99.99,100,100,100,100,100.13,100.13,100.13,100.13,100.17,100.17,100.17,100.17,100.02,100.02,100.02,100.02,100.02,100.02,100.02,100.02,100.07,100.07,100.07,100.05,100.07,100.07,100.07,100.07,100.04,100.04,100.04,100.04,100.05,100.05,100.05,100.05,94.206,94.206,94.206,94.101,94.164,94.164,94.164,94.164,94.254,94.254,94.254,94.25,94.242,94.242,94.242,94.242,94.268,94.268,94.268,94.268,94.509,94.516,94.516,94.516,94.472,94.472,94.472,94.472,94.604,94.604,94.604,94.604,94.5,94.5,94.5,94.5,94.536,94.536,94.536,94.536,94.536,94.539,94.539,94.539,94.538,94.615,94.615
"1991-04",176,176,176,176.3,177.2,178.3,177,177,177.8,177.5,177.5,177.5,177.6,177.5,177.5,190.9,97.6,,,,,,,,,,,96.6,96.6,96.55,96.55,96.55,96.54,96.4,,96.4,96.43,96.16,96.16,96.17,96.7,96.79,96.79,96.79,96.79,96.51,96.51,96.51,96.51,96.53,96.53,96.53,96.53,96.59,96.59,96.59,96.59,96.68,96.68,96.68,96.68,96.64,96.64,96.64,96.62,96.34,96.34,96.34,96.34,96.28,96.28,96.28,96.28,96.32,96.32,96.32,96.32,91.661,91.661,91.661,91.619,91.576,91.576,91.576,91.576,91.117,91.117,91.117,91.117,91.157,91.157,91.157,91.157,91.14,91.14,91.14,91.14,91.164,91.144,91.144,91.144,91.195,91.195,91.195,91.195,91.2,91.2,91.2,91.2,91.224,91.224,91.224,91.224,91.239,91.239,91.239,91.239,91.239,91.26,91.26,91.26,91.255,91.215,91.215
"1991-07",184.7,184.7,184.7,185.5,185.5,185.2,184.8,184.8,184.6,184.9,184.7,184.7,184.9,184.7,184.7,195.9,100.1,,,,,,,,,,,100.53,100.53,100.45,100.45,100.45,100.44,100.42,100.42,100.42,100.37,100.44,100.44,100.43,100.51,100.3,100.3,100.3,100.3,100.43,100.43,100.43,100.43,100.47,100.47,100.47,100.47,100.68,100.68,100.68,100.68,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.63,100.35,100.35,100.35,100.35,100.31,100.31,100.31,100.31,100.34,100.34,100.34,100.34,95.482,95.482,95.482,95.503,95.502,95.502,95.502,95.502,95.796,95.796,95.796,95.8,95.805,95.805,95.805,95.805,95.79,95.79,95.79,95.79,95.818,95.825,95.825,95.825,95.805,95.805,95.805,95.805,95.672,95.672,95.672,95.672,95.837,95.837,95.837,95.832,95.817,95.817,95.817,95.817,95.817,95.791,95.791,95.791,95.797,95.785,95.785
"1991-10",186.1,186.1,186.1,185.8,186.7,186.6,187.7,187.7,187.4,187,187.3,187.3,187.1,187.3,187.3,197,100.7,,,,,,,,,,,101.69,101.69,101.45,101.45,101.45,101.45,101.48,101.48,101.48,101.54,101.51,101.51,101.52,101.19,101.29,101.29,101.29,101.29,101.54,101.54,101.54,101.54,101.41,101.41,101.41,101.41,101.26,101.26,101.26,101.26,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.32,100.81,100.81,100.81,100.81,100.95,100.95,100.95,100.95,100.94,100.94,100.94,100.94,95.906,95.906,95.906,96.033,96.057,96.057,96.057,96.057,96.133,96.133,96.133,96.133,96.164,96.164,96.164,96.164,96.165,96.165,96.165,96.165,96.184,96.191,96.191,96.191,96.175,96.175,96.175,96.175,96.223,96.223,96.223,96.223,96.218,96.218,96.218,96.223,96.24,96.24,96.24,96.24,96.24,96.088,96.088,96.088,96.088,96.125,96.125
"1992-01",185.3,185.3,185.3,184.9,186.4,185.7,187,187,186.4,186.7,186.5,186.5,186.5,186.5,186.5,198.2,101.4,101.4,101.3,101.4,101.29,101.26,,,,,,101.46,101.46,101.46,101.46,101.46,101.47,101.41,101.41,101.41,101.39,101.45,101.45,101.45,101.69,101.71,101.71,101.71,101.71,101.9,101.9,101.9,101.9,101.95,101.95,101.95,101.95,101.86,101.86,101.86,101.86,101.82,101.82,101.82,101.82,101.87,101.87,101.87,101.85,101.78,101.78,101.78,101.78,101.73,101.73,101.73,101.73,101.71,101.71,101.71,101.71,96.789,96.789,96.789,96.702,96.712,96.712,96.712,96.712,96.784,96.784,96.784,96.784,96.797,96.797,96.797,96.797,96.805,96.805,96.805,96.805,96.866,96.873,96.873,96.873,96.825,96.825,96.825,96.825,96.954,96.954,96.954,96.954,96.859,96.859,96.859,96.86,96.891,96.891,96.891,96.891,96.898,97.071,97.071,97.071,97.066,97.092,97.092
"1992-04",179.9,179.9,179.9,180.1,180.7,181.9,180.5,180.5,181.2,181,181.1,181.1,181.1,181,181,192.1,98.2,98.2,98.2,98.2,97.9,97.9,,,,,,97.67,97.67,97.58,97.58,97.58,97.57,97.49,97.49,97.49,97.5,97.25,97.25,97.26,97.57,97.66,97.66,97.66,97.66,97.43,97.43,97.43,97.43,97.46,97.46,97.46,97.46,97.5,97.5,97.5,97.5,97.6,97.6,97.6,97.6,97.55,97.55,97.55,97.55,97.54,97.54,97.54,97.54,97.51,97.51,97.51,97.51,97.57,97.57,97.57,97.57,93.29,93.29,93.29,93.249,93.209,93.209,93.209,93.209,92.794,92.794,92.794,92.794,92.838,92.838,92.838,92.838,92.82,92.82,92.82,92.82,92.95,92.956,92.956,92.956,92.95,92.95,92.95,92.95,93.005,93.005,93.005,93.005,93.037,93.037,93.037,93.038,93.05,93.05,93.05,93.05,93.03,93.036,93.036,93.036,93.036,93.04,93.04
"1992-07",183.3,183.3,183.3,184,184.4,184.1,183.7,183.7,183.8,183.8,183.7,183.6,183.8,183.7,183.7,193.9,99.1,99.1,99.2,99.2,99.28,99.29,,,,,,99.36,99.36,99.27,99.27,99.27,99.26,99.27,99.27,99.27,99.21,99.29,99.29,99.26,99.71,99.48,99.48,99.48,99.48,99.6,99.6,99.6,99.6,99.64,99.64,99.64,99.64,99.8,99.8,99.8,99.8,99.76,99.76,99.76,99.76,99.75,99.75,99.75,99.75,99.62,99.62,99.62,99.62,99.57,99.57,99.57,99.57,99.56,99.56,99.56,99.56,95.26,95.26,95.26,95.302,95.255,95.255,95.255,95.255,95.555,95.555,95.555,95.555,95.57,95.57,95.57,95.57,95.555,95.555,95.555,95.555,95.584,95.591,95.591,95.591,95.577,95.577,95.577,95.577,95.486,95.486,95.486,95.486,95.6,95.6,95.6,95.597,95.58,95.58,95.58,95.58,95.614,95.555,95.555,95.555,95.56,95.525,95.525
"1992-10",176.4,176.4,176.4,175.8,176.6,176.4,177.7,177.7,177.7,177.6,177.9,177.8,177.6,177.8,177.8,187.8,96,96.1,96,96,95.85,95.96,,,,,,95.93,95.93,95.73,95.73,95.73,95.74,95.77,95.77,95.77,95.84,95.86,95.86,95.86,95.74,95.86,95.86,95.86,95.86,95.86,95.86,95.86,95.86,95.74,95.74,95.74,95.74,95.59,95.59,95.59,95.59,95.58,95.58,95.58,95.58,95.59,95.59,95.59,95.63,95.32,95.32,95.32,95.32,95.46,95.46,95.46,95.46,95.36,95.36,95.36,95.36,91.261,91.261,91.261,91.346,91.35,91.35,91.35,91.35,91.416,91.416,91.416,91.416,91.41,91.41,91.41,91.41,91.392,91.392,91.392,91.392,91.429,91.409,91.409,91.409,91.396,91.396,91.396,91.396,91.41,91.41,91.41,91.41,91.387,91.387,91.387,91.388,91.413,91.413,91.413,91.413,91.393,91.223,91.223,91.223,91.223,91.215,91.215
"1993-01",174.1,174.1,174.1,174.4,174.7,174.2,174.7,174.7,173.7,173.9,173.7,173.8,173.8,173.8,173.8,182.7,93.4,93.5,93.4,93.4,93.57,93.53,,,,,,93.65,93.65,93.67,93.67,93.67,93.69,93.61,93.61,93.61,93.59,93.62,93.62,93.64,93.77,93.81,93.81,93.81,93.81,93.95,93.95,93.95,93.95,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.98,93.98,93.98,93.98,94,94,94,93.98,92.99,92.99,92.99,92.99,92.95,92.95,92.95,92.95,92.94,92.94,92.94,92.94,89.279,89.279,89.279,89.158,89.188,89.188,89.188,89.188,89.227,89.227,89.227,89.223,89.262,89.262,89.262,89.262,89.267,89.267,89.267,89.267,89.24,89.247,89.247,89.247,89.206,89.206,89.206,89.206,89.335,89.335,89.335,89.335,89.261,89.261,89.261,89.26,89.275,89.275,89.275,89.275,89.302,87.849,87.849,87.849,87.845,87.918,87.918
"1993-04",169.8,169.8,169.8,169.7,170.2,171,170.2,170.2,171.1,171,171.1,171.1,171.1,171,171,182.5,93.3,93.3,93.2,93.3,92.81,92.82,92.82,,,,,92.72,92.72,92.8,92.8,92.8,92.8,92.72,92.72,92.72,92.73,92.55,92.55,92.56,93.04,93.13,93.13,93.13,93.13,92.91,92.91,92.91,92.91,92.96,92.96,92.96,92.96,92.99,92.99,92.99,92.99,93.06,93.06,93.06,93.06,93.01,93.01,93.01,93,91.98,91.98,91.98,91.98,91.94,91.94,91.94,91.94,91.99,91.99,91.99,91.99,87.855,87.855,87.855,87.843,87.796,87.796,87.796,87.796,87.479,87.479,87.479,87.479,87.516,87.516,87.516,87.516,87.486,87.486,87.486,87.486,87.47,87.477,87.477,87.477,87.454,87.454,87.454,87.454,87.489,87.489,87.489,87.489,87.528,87.528,87.528,87.532,87.548,87.548,87.548,87.548,87.548,86.018,86.018,86.018,86.019,85.988,85.988
