"","2005-11-22","2005-12-22","2006-01-24","2006-02-20","2006-03-20","2006-04-24","2006-05-29","2006-06-21","2006-07-21","2006-08-22","2006-09-20","2006-10-20","2006-11-22","2006-12-20","2007-01-22","2007-02-23","2007-03-23","2007-04-23","2007-05-23","2007-06-21","2007-07-20","2007-08-21","2007-09-21","2007-10-23","2007-11-21","2007-12-19","2008-01-21","2008-02-20","2008-03-25","2008-04-21","2008-05-21","2008-06-25","2008-07-21","2008-08-22","2008-09-24","2008-10-21","2008-11-25","2008-12-19","2009-01-23","2009-02-25","2009-03-25","2009-04-24","2009-05-25","2009-06-25","2009-07-24","2009-08-25","2009-09-25","2009-10-23","2009-11-25","2009-12-21","2010-01-25","2010-02-25","2010-03-24","2010-04-23","2010-05-25","2010-06-25","2010-07-23","2010-08-25","2010-09-23","2010-10-22","2010-11-25","2010-12-21","2011-01-25","2011-02-24","2011-03-24","2011-04-21","2011-05-24","2011-06-21","2011-07-21","2011-08-25","2011-09-21","2011-10-25","2011-11-23","2011-12-20","2012-01-24","2012-02-22","2012-03-23","2012-04-23","2012-05-25","2012-06-25","2012-07-25","2012-08-24","2012-09-25","2012-10-25","2012-11-23","2012-12-21","2013-01-25","2013-02-25","2013-03-25","2013-04-25","2013-05-23","2013-06-25","2013-07-25","2013-08-23","2013-09-26","2013-10-25","2013-11-25","2013-12-20","2014-01-23","2014-02-24","2014-03-24","2014-04-25","2014-05-22","2014-06-25","2014-07-25","2014-08-25","2014-09-25","2014-10-23","2014-11-24","2014-12-19","2015-01-23","2015-02-25","2015-03-25","2015-04-24","2015-05-22","2015-06-24","2015-07-24","2015-08-25","2015-09-25","2015-10-23","2015-11-25","2015-12-22","2016-01-25","2016-02-25","2016-03-24","2016-04-25","2016-05-25","2016-06-24","2016-07-25","2016-08-25","2016-09-23","2016-10-25","2016-11-25","2016-12-22","2017-01-25","2017-02-24","2017-03-24","2017-04-25","2017-05-24","2017-06-23","2017-07-25","2017-08-25","2017-09-25","2017-10-25","2017-11-24","2017-12-22","2018-01-25","2018-02-23","2018-03-23","2018-04-25","2018-05-25","2018-06-22","2018-07-25","2018-08-24","2018-09-25","2018-10-25","2018-11-23","2018-12-21","2019-01-25","2019-02-25","2019-03-22","2019-04-25","2019-05-24","2019-06-25","2019-07-25","2019-08-23","2019-09-25","2019-10-25","2019-11-25","2019-12-20","2020-01-24","2020-02-25","2020-03-25","2020-04-24","2020-05-25","2020-06-25","2020-07-24","2020-08-25","2020-09-25","2020-10-23","2020-11-25","2020-12-23","2021-01-25","2021-02-25","2021-03-25","2021-04-23","2021-05-25","2021-06-25","2021-07-23","2021-08-25","2021-09-24","2021-10-25","2021-11-25","2021-12-23","2022-01-25","2022-02-25","2022-03-25","2022-04-25","2022-05-25","2022-06-24","2022-07-25","2022-08-25","2022-09-23","2022-10-25","2022-11-25","2022-12-22","2023-01-25","2023-02-24","2023-03-24","2023-04-25","2023-05-25","2023-06-23","2023-07-25","2023-08-25","2023-09-25","2023-10-25","2023-11-24","2023-12-22","2024-01-25","2024-02-23","2024-03-25","2024-04-25","2024-05-24","2024-06-25","2024-07-25","2024-08-23","2024-09-25","2024-10-25","2024-11-25","2024-12-23","2025-01-24","2025-02-25","2025-03-25","2025-04-25","2025-05-23","2025-06-25","2025-07-25","2025-08-25","2025-09-25","2025-10-24"
"1991-01",90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,154.1,154.1,154.1,154.1,154.1,154.1,154.1,154.1,154.1,154.1,154.1,154.1,156.9,156.9,156.9,157,157,157,154.4,154.4,154.4,154.4,154.4,154.4,154.4,154.3,154.3,154.3,154.3,154.3,154.3,154.3,155.3,155.3,155.3,155.3,155.3,155.3,155.3,155.3,155.3,155.4,155,155,155,155,155,155,154.9,154.9,154.9,154.9,154.9,154.9,153.9,166.9,166.6,166.6,166.6,166.6,166.6,166.6,166.5,166.5,166.5,166.5,166.5,166.5,166.5,166.5,166.5,166.5,165.3,165.3,165.3,165.3,165.3,165.3,165.3,165.3,165.3,165.3,165.3,165.3,167.4,167.4,167.4,167.4,167.4,167.4,167.4,167.4,167.4,167.4,167.4,167.4,167.4,167.4,167.4,167.3,167.3,167.3,167.3,167.4,167.4,167.4,167.4,167.4,167.4,167.4,167.4,167.4,167.4,167.4,167.4,167.4,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7
"1991-02",92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,154.5,154.5,154.5,154.5,154.5,154.5,154.5,154.5,154.5,154.5,154.5,154.5,155.7,155.7,155.7,155.5,155.5,155.5,154.2,154.2,154.2,154.2,154.2,154.2,154.2,154.3,154.3,154.3,154.3,154.3,154.3,154.3,155.3,155.3,155.3,155.3,155.3,155.3,155.3,155.3,155.3,155.2,155,155,155,155,155,155,155,155,155,155,155,155,154.4,166.6,166.6,166.6,166.6,166.6,166.6,166.6,166.6,166.6,166.6,166.6,166.6,166.6,166.5,166.5,166.5,166.5,169.6,169.6,169.6,169.6,169.6,169.7,169.7,169.7,169.7,169.7,169.7,169.7,167,167,167,167,167,167,167,167,167,167,167,167,167.2,167.2,167.2,167.2,167.2,167.2,167.2,167.2,167.2,167.2,167.2,167.2,167.2,167.2,167.2,167.2,167.2,167.2,167.2,167.2,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4
"1991-03",89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,157.2,157.2,157.2,157.2,157.2,157.2,157.2,157.2,157.2,157.2,157.2,157.2,157.9,157.9,158.1,157.3,157.3,157.3,159.4,159.4,159.4,159.4,159.4,159.4,159.4,159.7,159.7,159.7,159.7,159.7,159.7,159.7,159,159,159,159,159,159,159,159,159,159,159,159,159.1,159.1,159.1,159.1,159.2,159.2,159.2,159.2,159.2,159.2,159.1,171.4,171.4,171.4,171.4,171.4,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.8,171.8,171.8,171.8,171.8,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.7,172.9,172.9,172.9,173.1,173.1,173.1,173.1,172.9,172.9,172.9,172.9,172.9,173.1,173.1,173.1,173.1,173.1,173.1,173.1,173.1,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3
"1991-04",90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,158.7,158.7,158.4,158,158,158,159.7,159.7,159.7,159.7,159.7,159.7,159.7,159.7,159.7,159.7,159.7,159.7,159.7,159.7,159.2,159.2,159.2,159.2,159.2,159.2,159.2,159.2,159.2,159.2,158.9,158.9,158.8,158.8,158.8,158.8,158.7,158.7,158.7,158.7,158.7,158.7,159.1,171.1,171.1,171.1,171.1,171.1,171.1,171.1,171.1,171.1,171.1,171.1,171.1,171,171,171,171,171,171.3,171.3,171.3,171.3,171.3,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.3,171.3,171.3,171.1,171.1,171.1,171.1,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5
"1991-05",90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,158.1,158.1,158.1,158.1,158.1,158.1,158.1,158.1,158.1,158.1,158.1,158.1,157,157,156.9,156,156,156,158.5,158.5,158.5,158.5,158.5,158.5,158.6,158.8,158.8,158.8,158.8,158.8,158.8,158.8,158.5,158.5,158.5,158.4,158.4,158.4,158.4,158.4,158.4,158.5,158.3,158.3,158.3,158.3,158.3,158.3,158.3,158.3,158.3,158.3,158.3,158.3,159.1,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.8,171.8,171.8,171.8,171.8,171.8,171.8,171.8,171.8,171.8,171.8,171.8,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,171.6,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,114.3,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6
"1991-06",96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,165.2,165,165,165,165,165,165,165,165,165,165,165,164,164,163.9,163.6,163.6,163.6,165.8,165.8,165.8,165.8,165.8,165.8,165.8,165.5,165.5,165.5,165.5,165.5,165.5,165.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.4,163.2,163.2,163.3,163.3,163.3,163.3,163.3,163.3,163.3,163.3,163.3,163.3,164.2,177,177,177,177,177,177,177,177,177,177,177,177,177.1,177.1,177.1,177.1,177.1,176.3,176.3,176.3,176.3,176.3,176.3,176.3,176.3,176.3,176.3,176.3,176.3,175.8,175.8,175.8,175.8,175.8,175.8,175.8,175.8,175.8,175.8,175.8,175.8,175.9,175.9,175.9,175.9,175.9,175.9,175.9,175.9,175.9,175.9,175.9,175.9,175.9,175.9,175.9,175.9,175.9,175.9,175.9,175.9,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7
"1991-07",95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,164.7,164.7,164.7,164.7,164.7,164.7,164.7,164.7,164.7,164.7,164.7,164.7,163.4,163.4,163.1,163.1,163.1,163.1,165.6,165.6,165.6,165.6,165.6,165.6,165.6,165.4,165.4,165.4,165.4,165.4,165.4,165.4,164.4,164.4,164.4,164.4,164.4,164.4,164.4,164.4,164.4,164.4,164,164,164,164,164,164,163.9,163.9,163.9,163.9,163.9,163.9,165.1,177.6,177.6,177.6,177.6,177.6,177.6,177.6,177.6,177.6,177.6,177.6,177.6,177.4,177.4,177.4,177.4,177.4,180.6,180.6,180.6,180.6,180.6,180.6,180.6,180.6,180.6,180.6,180.6,180.6,177.2,177.2,177.2,177.2,177.2,177.2,177.2,177.2,177.2,177.2,177.2,177.2,177.2,177.2,177.2,177.1,177.1,177.1,177.1,177.1,177.1,177.1,177.1,177.1,177.1,177.1,177.1,177.1,177.1,177.1,177.1,177.1,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4
"1991-08",98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,174.9,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,172.9,172.9,172.9,173.3,173.3,173.3,173.1,173.1,173.1,173.1,173.1,173.1,173.1,174.3,174.3,174.3,174.3,174.3,174.3,174.3,173,173,173,173,173,173,173,173,173,173,172.9,172.9,172.9,172.9,172.9,172.9,172.9,172.9,172.9,172.9,172.9,172.9,173.4,186.7,186.7,186.7,186.7,186.7,186.7,186.7,186.7,186.7,186.7,186.7,186.7,186.4,186.4,186.6,186.6,186.6,183.9,183.9,183.9,183.9,183.9,183.9,183.9,183.9,183.9,183.9,183.9,183.9,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,187.8,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,125.1,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4
"1991-09",100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,174.1,174,174,174,174,174,174,174,174,174,174,174,174.4,174.4,174.4,175.2,175.2,175.2,174.9,174.9,174.9,174.9,174.9,174.9,174.9,174.6,174.6,174.6,174.6,174.6,174.6,174.6,175.6,175.6,175.6,175.6,175.6,175.6,175.6,175.6,175.6,175.6,177.2,177.2,177.2,177.2,177.2,177.2,177.2,177.2,177.2,177.2,177.2,177.2,177.3,190.9,190.9,190.9,190.9,190.9,190.9,190.9,190.9,190.9,190.9,190.9,190.9,191,191,191,191,191,189.5,189.5,189.5,189.5,189.5,189.5,189.5,189.5,189.5,189.5,189.5,189.5,190.9,190.9,190.9,190.9,190.9,190.9,190.9,190.9,190.9,190.9,190.9,190.9,191,191,191,191.1,191.1,191.1,191.1,191,191,191,191,191,191,191,191,191,191,191,191,191,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2
"1991-10",102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,175.5,175.5,175.5,175.5,175.5,175.5,175.5,175.5,175.5,175.5,175.5,175.5,176.7,176.7,176.9,177.8,177.8,177.8,175.7,175.7,175.7,175.7,175.7,175.7,175.6,175.3,175.3,175.3,175.3,175.3,175.3,175.3,176.3,176.3,176.3,176.3,176.3,176.3,176.3,176.3,176.3,176.3,176,176,176,176,176,176,175.9,175.9,175.9,175.9,175.9,175.9,175.3,188.9,188.9,188.9,188.9,188.9,188.9,188.9,188.9,188.9,188.9,188.9,188.9,188.7,188.7,188.7,188.7,188.7,188.4,188.4,188.4,188.4,188.4,188.4,188.4,188.4,188.4,188.4,188.4,188.4,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188,188,188,188,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,125.3,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6
