"","2005-11-22","2005-12-22","2006-01-24","2006-02-20","2006-03-20","2006-04-24","2006-05-29","2006-06-21","2006-07-21","2006-08-22","2006-09-20","2006-10-20","2006-11-22","2006-12-20","2007-01-22","2007-02-23","2007-03-23","2007-04-23","2007-05-23","2007-06-21","2007-07-20","2007-08-21","2007-09-21","2007-10-23","2007-11-21","2007-12-19","2008-01-21","2008-02-20","2008-03-25","2008-04-21","2008-05-21","2008-06-25","2008-07-21","2008-08-22","2008-09-24","2008-10-21","2008-11-25","2008-12-19","2009-01-23","2009-02-25","2009-03-25","2009-04-24","2009-05-25","2009-06-25","2009-07-24","2009-08-25","2009-09-25","2009-10-23","2009-11-25","2009-12-21","2010-01-25","2010-02-25","2010-03-24","2010-04-23","2010-05-25","2010-06-25","2010-07-23","2010-08-25","2010-09-23","2010-10-22","2010-11-25","2010-12-21","2011-01-25","2011-02-24","2011-03-24","2011-04-21","2011-05-24","2011-06-21","2011-07-21","2011-08-25","2011-09-21","2011-10-25","2011-11-23","2011-12-20","2012-01-24","2012-02-22","2012-03-23","2012-04-23","2012-05-25","2012-06-25","2012-07-25","2012-08-24","2012-09-25","2012-10-25","2012-11-23","2012-12-21","2013-01-25","2013-02-25","2013-03-25","2013-04-25","2013-05-23","2013-06-25","2013-07-25","2013-08-23","2013-09-26","2013-10-25","2013-11-25","2013-12-20","2014-01-23","2014-02-24","2014-03-24","2014-04-25","2014-05-22","2014-06-25","2014-07-25","2014-08-25","2014-09-25","2014-10-23","2014-11-24","2014-12-19","2015-01-23","2015-02-25","2015-03-25","2015-04-24","2015-05-22","2015-06-24","2015-07-24","2015-08-25","2015-09-25","2015-10-23","2015-11-25","2015-12-22","2016-01-25","2016-02-25","2016-03-24","2016-04-25","2016-05-25","2016-06-24","2016-07-25","2016-08-25","2016-09-23","2016-10-25","2016-11-25","2016-12-22","2017-01-25","2017-02-24","2017-03-24","2017-04-25","2017-05-24","2017-06-23","2017-07-25","2017-08-25","2017-09-25","2017-10-25","2017-11-24","2017-12-22","2018-01-25","2018-02-23","2018-03-23","2018-04-25","2018-05-25","2018-06-22","2018-07-25","2018-08-24","2018-09-25","2018-10-25","2018-11-23","2018-12-21","2019-01-25","2019-02-25","2019-03-22","2019-04-25","2019-05-24","2019-06-25","2019-07-25","2019-08-23","2019-09-25","2019-10-25","2019-11-25","2019-12-20","2020-01-24","2020-02-25","2020-03-25","2020-04-24","2020-05-25","2020-06-25","2020-07-24","2020-08-25","2020-09-25","2020-10-23","2020-11-25","2020-12-23","2021-01-25","2021-02-25","2021-03-25","2021-04-23","2021-05-25","2021-06-25","2021-07-23","2021-08-25","2021-09-24","2021-10-25","2021-11-25","2021-12-23","2022-01-25","2022-02-25","2022-03-25","2022-04-25","2022-05-25","2022-06-24","2022-07-25","2022-08-25","2022-09-23","2022-10-25","2022-11-25","2022-12-22","2023-01-25","2023-02-24","2023-03-24","2023-04-25","2023-05-25","2023-06-23","2023-07-25","2023-08-25","2023-09-25","2023-10-25","2023-11-24","2023-12-22","2024-01-25","2024-02-23","2024-03-25","2024-04-25","2024-05-24","2024-06-25","2024-07-25","2024-08-23","2024-09-25","2024-10-25","2024-11-25","2024-12-23","2025-01-24","2025-02-25","2025-03-25","2025-04-25","2025-05-23","2025-06-25","2025-07-25","2025-08-25"
"1991-01",108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,,,,125.3,125.3,125.3,125.3,125.3,124.8,124.8,124.2,124.2,124.5,124.5,124.5,124.5,124.5,124.5,124.6,124.6,124.6,124.4,124.4,124.4,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.6,124.6,124.6,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-02",119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,135.2,135.2,135.2,135.2,135.2,135.2,135.2,135.2,134.6,134.6,135.1,135.1,135,135,135,135,135,135,135.1,135.1,135.1,135,135,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.2,135.2,135.2,135.2,135.2,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.3,135.3,135.3,141.2,141.1,141.1,141.1,141.1,141.1,141.1,141.1,141.1,141.1,141.1,141.1,141.1,141.1,141.3,141.3,141.3,140.9,140.9,140.9,140.9,140.9,140.9,140.8,140.8,140.8,140.8,140.8,140.8,140.1,140.2,140.2,140.2,140.2,140.2,140.2,140.2,140.2,140.2,140.2,140.2,140.1,140.1,140.1,140.1,140.1,140.1,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.1,140.1,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,140.3,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5
"1991-03",107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.1,135.1,134,134,133.8,133.8,133.8,133.8,133.8,133.8,133.9,133.9,133.9,134.1,134.1,134.2,134.2,134.2,134.2,134.2,134.2,134.2,134.3,134.3,134.1,134.1,134.1,134.2,134.2,134.2,134.2,134.2,134.2,134.1,134.1,134.1,134.7,134.7,134.7,134.8,134.9,134.9,134.9,134.9,135,135,135,141.2,141,140.4,140.4,140.4,140.4,140.4,140.5,140.5,140.5,140.5,140.5,140.7,140.6,141.2,141.2,141.2,140.7,140.7,140.7,140.7,140.7,140.7,140.6,140.6,140.5,140.5,140.5,140.5,140.3,140.6,140.6,140.6,140.6,140.6,140.9,140.9,140.9,140.9,140.9,140.9,140.7,140.7,140.7,140.7,140.7,140.7,140.6,140.6,140.6,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.7,140.6,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,140.7,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9
"1991-04",105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,136.6,136.6,136.6,136.6,136.6,136.6,136.6,136.6,135.7,135.7,134.9,134.9,135,135,135,135,135,135,135.2,135.2,135.2,135.4,135.4,135.3,135.3,135.3,135.3,135.3,135.3,135.3,135.6,135.6,135.9,135.9,135.9,135.8,135.8,135.8,135.8,135.8,135.8,135.7,135.7,135.7,135.3,135.3,135.3,135.2,135.1,135.1,135.1,135.1,135.2,135.2,135.2,139.7,140.9,141.5,141.5,141.5,141.5,141.5,141.5,141.4,141.4,141.4,141.4,141.3,141.4,139.9,139.9,139.9,141.3,141.3,141.3,141.3,141.3,141.3,141.2,141.2,141.1,141.1,141.1,141.1,141.2,141.1,141.1,141.1,141.1,141.1,141.1,141.1,141.1,141.1,141.1,141.1,141.2,141.2,141.2,141.2,141.2,141.2,140,140,140,140,140,140,139.9,139.9,139.9,139.9,139.9,139.9,141.1,141.2,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4
"1991-05",102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,123.7,123.7,124.7,124.7,124.6,124.6,124.6,124.6,124.6,124.6,124.7,124.7,124.7,124.7,124.7,124.8,124.7,124.7,124.7,124.7,124.7,124.7,124.9,124.9,124.9,124.9,124.9,124.9,124.9,124.9,124.9,124.9,124.9,124.9,124.9,124.9,125.9,125.9,125.9,126,126,126,126,126,126,126,126,131.7,131.6,130.6,130.6,130.6,130.6,130.6,130.6,130.6,130.6,130.6,130.6,130.8,130.8,130.8,130.8,130.8,131.4,131.4,131.4,131.4,131.4,131.4,131.5,131.5,131.4,131.4,131.4,131.4,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.3,131.3,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,131.6,113,113,113,113,113,113,113,113,113,113,113,113,113,113
"1991-06",118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,142.8,142.8,142.8,142.8,142.8,142.8,142.8,142.8,143.1,143.1,143.9,143.9,144.3,144.3,144.3,144.3,144.3,144.3,144.4,144.4,144.4,144.6,144.6,144.6,144.6,144.6,144.6,144.6,144.6,144.6,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.8,144.8,144.8,144.9,144.9,144.9,144.9,144.9,144.9,144.9,144.9,151.4,151.3,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.3,151.3,151.5,151.5,151.5,152.2,152.2,152.2,152.2,152.2,152.2,152.4,152.4,152.3,152.3,152.3,152.3,152.2,152.2,152.2,152.2,152.2,152.2,152.2,152.2,152.2,152.2,152.2,152.2,152.2,152.2,152.2,152.2,152.2,152.2,152.3,152.3,152.3,152.3,152.3,152.3,152.2,152.2,152.2,152.2,152.2,152.2,152.1,152,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,130.9,130.9,130.9,130.9,130.9,130.9,130.9,130.9,130.9,130.9,130.9,130.9,130.9,130.9
"1991-07",112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,112.1,137,137.1,137.1,137.1,137.1,137.1,137.1,137.1,138.1,138.1,138.3,138.3,138.2,138.2,138.2,138.2,138.2,138.2,138.2,138.2,138.2,138.3,138.3,138.4,138.3,138.3,138.3,138.3,138.3,138.3,138.3,138.3,138.5,138.5,138.5,138.4,138.4,138.4,138.4,138.4,138.4,138.8,138.8,138.8,138.3,138.3,138.3,138.1,138.1,138.1,138.1,138.1,138.2,138.2,138.2,144.4,144.2,144.3,144.3,144.3,144.3,144.3,144.3,144.3,144.3,144.3,144.3,144.3,144.3,144.2,144.2,144.2,145.4,145.4,145.4,145.4,145.4,145.4,145.3,145.3,145.3,145.3,145.3,145.3,145.4,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.5,145.5,145.5,145.5,145.5,145.5,145.4,145.4,145.4,145.4,145.4,145.4,145.3,145.3,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,124.8,124.8,124.8,124.8,124.8,124.8,124.8,124.8,124.8,124.8,124.8,124.8,124.8,124.8
"1991-08",114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,139.7,139.7,139.7,139.7,139.7,139.7,139.7,139.7,140.2,140.2,139.8,139.8,139.6,139.6,139.6,139.6,139.6,139.6,139.5,139.5,139.5,139.5,139.5,139.5,139.6,139.6,139.6,139.6,139.6,139.6,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.6,139.6,139.6,139.7,139.7,139.7,139.7,139.7,139.7,139.7,139.7,146,145.8,145.9,145.9,145.9,145.9,145.9,145.8,145.8,145.8,145.8,145.8,145.9,145.8,146,146,146,145.9,145.9,145.9,145.9,145.9,145.9,146,146,145.9,145.9,145.9,145.9,145.9,146,146,146,146,146,146,146,145.9,145.9,145.9,145.9,145.9,145.9,145.9,145.9,145.9,145.9,146,146,146,146,146,146,146.7,146.7,146.7,146.7,146.7,146.7,146.6,146.6,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,146.9,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1
"1991-09",118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,143.7,143.7,143.7,143.7,143.7,143.7,143.7,143.7,143.3,143.3,143,143,143,143,143,143,143,143,142.9,142.9,142.9,142.8,142.8,142.9,142.9,142.9,142.9,142.9,142.9,142.9,142.7,142.7,142.5,142.5,142.5,142.5,142.5,142.5,142.5,142.5,142.5,142.4,142.4,142.4,142.1,142.1,142.1,142.2,142.2,142.2,142.2,142.2,142.3,142.3,142.3,148.7,149.1,149,149,149,149,149,149,148.9,148.9,148.9,148.9,148.6,148.6,149.4,149.4,149.4,148.7,148.7,148.7,148.7,148.7,148.7,148.8,148.8,149.2,149.2,149.2,149.2,149.2,149.3,149.3,149.3,149.3,149.3,149.2,149.2,149.2,149.2,149.2,149.2,149.1,149.1,149.1,149.1,149.1,149.1,149.3,149.3,149.3,149.3,149.3,149.3,149.2,149.2,149.2,149.2,149.2,149.2,149.1,149.1,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,128.3,128.3,128.3,128.3,128.3,128.3,128.3,128.3,128.3,128.3,128.3,128.3,128.3,128.3
"1991-10",116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,140.1,140.1,140.1,140.1,140.1,140.1,140.1,140.1,139.5,139.5,140.1,140.1,140,140,140,140,140,140,139.9,139.9,139.9,139.7,139.7,139.7,139.7,139.7,139.7,139.7,139.7,139.7,139.5,139.5,139.5,139.5,139.5,139.4,139.4,139.4,139.4,139.4,139.4,139.4,139.4,139.4,139.3,139.3,139.3,139.2,139.2,139.2,139.2,139.2,139.2,139.2,139.2,145.3,145.1,145.5,145.5,145.5,145.5,145.5,145.5,145.5,145.5,145.5,145.5,145.5,145.5,145.4,145.4,145.4,144.5,144.5,144.5,144.5,144.5,144.5,144.4,144.4,144.4,144.4,144.4,144.4,144.5,144.4,144.4,144.4,144.4,144.4,144.3,144.3,144.3,144.3,144.3,144.3,144.4,144.4,144.4,144.4,144.4,144.4,144.5,144.5,144.5,144.5,144.5,144.5,144.5,144.5,144.5,144.5,144.5,144.5,144.3,144.3,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,144.7,124.1,124.1,124.1,124.1,124.1,124.1,124.1,124.1,124.1,124.1,124.1,124.1,124.1,124.1
