"","2005-11-07","2005-12-12","2006-01-09","2006-02-17","2006-03-21","2006-04-05","2006-05-16","2006-06-28","2006-07-13","2006-08-15","2006-09-27","2006-10-23","2006-11-09","2006-12-19","2007-02-09","2007-02-23","2007-04-17","2007-05-11","2007-06-04","2007-06-21","2007-07-06","2007-08-10","2007-09-05","2007-10-05","2007-11-08","2007-12-10","2008-01-11","2008-02-07","2008-03-07","2008-04-10","2008-05-14","2008-06-03","2008-07-04","2008-08-13","2008-09-05","2008-10-07","2008-10-31","2008-12-02","2009-01-02","2009-02-10","2009-03-20","2009-04-15","2009-05-14","2009-06-17","2009-07-09","2009-08-14","2009-09-14","2009-10-08","2009-11-04","2009-12-04","2010-01-11","2010-02-09","2010-03-19","2010-04-07","2010-05-11","2010-06-10","2010-07-01","2010-07-29","2010-09-17","2010-10-22","2010-12-15","2011-01-10","2011-02-09","2011-04-20","2011-05-18","2011-06-14","2011-08-01","2011-08-11","2011-09-09","2011-10-10","2011-11-04","2011-11-30","2012-01-06","2012-02-03","2012-03-09","2012-04-03","2012-06-11","2012-06-29","2012-08-06","2012-09-11","2012-10-04","2012-12-07","2013-01-11","2013-01-31","2013-03-20","2013-04-11","2013-05-07","2013-06-05","2013-07-11","2013-08-13","2013-09-12","2013-10-16","2013-11-11","2014-01-13","2014-02-12","2014-03-13","2014-05-12","2014-06-11","2014-07-11","2014-08-13","2014-09-05","2014-10-10","2014-11-12","2014-12-11","2015-01-08","2015-02-06","2015-03-12","2015-05-06","2015-06-08","2015-07-14","2015-08-13","2015-09-10","2015-10-13","2015-11-13","2015-12-11","2016-01-13","2016-02-12","2016-03-11","2016-04-13","2016-05-13","2016-06-13","2016-07-13","2016-08-12","2016-09-13","2016-10-13","2016-12-13","2017-01-13","2017-02-14","2017-03-13","2017-04-13","2017-05-12","2017-06-13","2017-07-13","2017-08-11","2017-09-13","2017-10-13","2017-11-14","2017-12-13","2018-01-15","2018-02-13","2018-03-13","2018-04-13","2018-05-14","2018-06-13","2018-07-13","2018-08-13","2018-09-13","2018-10-15","2018-11-13","2018-12-13","2019-01-14","2019-02-13","2019-03-13","2019-04-12","2019-05-14","2019-06-17","2019-07-12","2019-08-13","2019-09-13","2019-10-11","2019-11-13","2019-12-13","2020-01-13","2020-02-13","2020-03-13","2020-04-14","2020-05-13","2020-06-12","2020-07-10","2020-08-12","2020-09-11","2020-10-13","2020-11-12","2020-12-10","2021-01-13","2021-02-16","2021-03-15","2021-04-14","2021-05-17","2021-06-14","2021-07-14","2021-08-16","2021-09-13","2021-10-14","2021-11-15","2021-12-13","2022-01-13","2022-02-14","2022-03-11","2022-04-13","2022-05-12","2022-06-14","2022-07-13","2022-08-15","2022-09-14","2022-10-14","2022-11-14","2022-12-12","2023-01-13","2023-02-13","2023-03-13","2023-04-14","2023-05-12","2023-06-15","2023-07-14","2023-08-14","2023-09-14","2023-10-16","2023-11-14","2023-12-14","2024-01-16","2024-02-14","2024-03-13","2024-04-11","2024-05-14","2024-06-13","2024-07-11","2024-08-15","2024-09-12","2024-10-14","2024-11-14","2024-12-12","2025-01-13","2025-02-13","2025-03-14","2025-04-14","2025-05-14","2025-06-13","2025-07-14","2025-08-15","2025-09-11","2025-10-13"
"1968-01",82.9,82.9,82.9,82.9,82.9,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,,,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1968-02",82.3,82.3,82.3,82.3,82.3,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.3,82.3,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,,,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1968-03",82,82,82,82,82,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.3,82.3,82.3,82.3,82.3,82.3,82.3,82.3,82.3,82.3,82.3,82,82,82,82,82,82,82,82,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,,,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1968-04",81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,,,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1968-05",82.3,82.3,82.3,82.3,82.3,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,,,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1968-06",82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,,,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1968-07",83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,,,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1968-08",85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,,,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1968-09",85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.4,85.4,85.4,85.4,85.4,85.4,85.4,85.4,85.4,85.4,85.4,85.4,85.4,85.4,85.4,85.4,85.4,,,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1968-10",86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86.1,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,,,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
