"","2005-11-22","2005-12-22","2006-01-24","2006-02-20","2006-03-20","2006-04-24","2006-05-24","2006-06-21","2006-07-21","2006-08-22","2006-09-20","2006-10-20","2006-11-22","2006-12-20","2007-01-22","2007-02-23","2007-03-23","2007-04-23","2007-05-23","2007-06-21","2007-07-20","2007-08-21","2007-09-21","2007-10-23","2007-11-21","2007-12-19","2008-01-21","2008-02-20","2008-03-25","2008-04-21","2008-05-21","2008-06-25","2008-07-21","2008-08-22","2008-09-24","2008-10-21","2008-11-25","2008-12-19","2009-01-23","2009-02-25","2009-03-31","2009-04-24","2009-05-25","2009-06-25","2009-07-24","2009-08-25","2009-09-25","2009-10-23","2009-11-25","2009-12-21","2010-01-25","2010-02-25","2010-03-24","2010-04-23","2010-05-25","2010-06-25","2010-07-23","2010-08-25","2010-09-23","2010-10-22","2010-11-25","2010-12-21","2011-01-25","2011-02-24","2011-03-24","2011-04-21","2011-05-24","2011-06-21","2011-07-21","2011-08-25","2011-09-21","2011-10-25","2011-11-23","2011-12-20","2012-01-24","2012-02-22","2012-03-23","2012-04-23","2012-05-25","2012-06-25","2012-07-25","2012-08-24","2012-09-25","2012-10-25","2012-11-23","2012-12-21","2013-01-25","2013-02-25","2013-03-25","2013-04-25","2013-05-23","2013-06-25","2013-07-25","2013-08-23","2013-09-26","2013-10-25","2013-11-25","2013-12-20","2014-01-23","2014-02-24","2014-03-24","2014-04-25","2014-05-22","2014-06-25","2014-07-25","2014-08-25","2014-09-25","2014-10-23","2014-11-24","2014-12-19","2015-01-23","2015-02-25","2015-03-25","2015-04-24","2015-05-22","2015-06-24","2015-07-24","2015-08-25","2015-09-25","2015-10-23","2015-11-25","2015-12-22","2016-01-25","2016-03-24","2016-04-25","2016-05-25","2016-06-24","2016-07-25","2016-08-25","2016-09-23","2016-10-25","2016-11-25","2016-12-22","2017-01-25","2017-02-24","2017-03-24","2017-04-25","2017-05-24","2017-06-23","2017-07-25","2017-08-25","2017-09-25","2017-10-25","2017-11-24","2017-12-22","2018-01-25","2018-02-23","2018-03-23","2018-04-25","2018-05-25","2018-06-22","2018-07-25","2018-08-24","2018-09-25","2018-10-25","2018-11-23","2018-12-21","2019-01-25","2019-02-25","2019-03-22","2019-04-25","2019-05-24","2019-06-25","2019-07-25","2019-08-23","2019-09-25","2019-10-25","2019-11-25","2019-12-20","2020-01-24","2020-02-25","2020-03-25","2020-04-24","2020-05-25","2020-06-25","2020-07-24","2020-08-25","2020-09-25","2020-10-23","2020-11-25","2020-12-23","2021-01-25","2021-02-25","2021-03-25","2021-04-23","2021-05-25","2021-06-25","2021-07-23","2021-08-25","2021-09-24","2021-10-25","2021-11-25","2021-12-23","2022-01-25","2022-02-25","2022-03-25","2022-04-25","2022-05-25","2022-06-24","2022-07-25","2022-08-25","2022-09-23","2022-10-25","2022-11-25","2022-12-22","2023-01-25","2023-02-24","2023-03-24","2023-04-25","2023-05-25","2023-06-23","2023-07-25","2023-08-25","2023-09-25","2023-10-25","2023-11-24","2023-12-22","2024-01-25","2024-02-23","2024-05-24","2024-06-25","2024-07-25","2024-08-23","2024-09-25","2024-10-25","2024-11-25","2024-12-23","2025-01-24","2025-02-25","2025-03-25","2025-04-25","2025-05-23","2025-06-25"
"1991-01",13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,6846119,13389845,13389845,13389845,13389845,13389845,13389845,13389845,13389845,13430421,13430421,13430421,13430421,13430421,13430421,13430421,13430421,13430421,13430421,13430421,13430421,13366760,13366760,13366760,13366760,13366760,13366760,13366760,13366760,13366760,13366760,13366760,13352228,13373130,13373130,13373130,13373130,13373130,13373130,13373130,13373130,13373130,13273959,13273959,13273959,13273959,13273959,13273959,13283515,13283515,13283515,13283515,13333478,13331707,13331707,13331707,13331707,13331180,13331180,13331180,13331180,13331180,13331180,13331180,13331180,13331180,13335319,13335319,13280279,13280841,13280841,13280841,13280919,13280919,13280919,13280919,13280919,13280919,13280919,13289590,13289590,13277812,13277812,13274136,13274136,13269031,13269031,13269031,13269031,13269031,13269031,13269031,13350968,13350968,13350968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-02",12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,6387920,12493687,12493687,12493687,12493687,12493687,12493687,12493687,12493687,12482593,12482593,12482593,12482593,12482593,12482593,12482593,12482593,12482593,12482593,12482593,12482593,12509595,12509595,12509595,12509595,12509595,12509595,12509595,12509595,12509595,12509595,12509595,12476056,12501542,12501542,12501542,12501542,12501542,12501542,12501542,12501542,12501542,12509873,12509873,12509873,12509873,12509873,12509873,12478929,12478929,12478929,12478929,12492076,12511694,12511694,12511694,12511694,12511540,12511540,12511540,12511540,12511540,12511540,12511540,12511540,12511540,12518988,12518988,12484207,12484634,12484634,12484634,12484507,12484507,12484507,12484507,12484507,12484507,12484507,12493071,12493071,12482908,12482908,12490379,12490379,12481921,12481921,12481921,12481921,12481921,12481921,12481921,12548152,12548152,12548152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-03",13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,6617909,12943503,12943503,12943503,12943503,12943503,12943503,12943503,12943503,12942138,12942138,12942138,12942138,12942138,12942138,12942138,12942138,12942138,12942138,12942138,12942138,12965443,12965443,12965443,12965443,12965443,12965443,12965443,12965443,12965443,12965443,12965443,12963451,12997468,12997468,12997468,12997468,12997468,12997468,12997468,12997468,12997468,12985876,12985876,12985876,12985876,12985876,12985876,12980407,12980407,12980407,12980407,13049134,13045770,13045770,13045770,13045770,13044050,13044050,13044050,13044050,13044050,13044050,13044050,13044050,13044050,13045209,13045209,12989760,12990388,12990388,12990388,12989827,12989827,12989827,12989827,12989827,12989827,12989827,13000258,13000258,12989146,12989146,12997911,12997911,12980928,12980928,12980928,12980928,12980928,12980928,12980928,13037909,13037909,13037909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-04",13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,6936243,13566113,13566113,13566113,13566113,13566113,13566113,13566113,13566113,13538742,13538742,13538742,13538742,13538742,13538742,13538742,13538742,13538742,13538742,13538742,13538742,13507584,13507584,13507584,13507584,13507584,13507584,13507584,13507584,13507584,13507584,13507584,13468491,13509153,13509153,13509153,13509153,13509153,13509153,13509153,13509153,13509153,13452101,13452101,13452101,13452101,13452101,13452101,13489662,13489662,13489662,13489662,13486852,13488455,13488455,13488455,13488455,13488312,13488312,13488312,13488312,13488312,13488312,13488312,13488312,13488312,13491873,13491873,13488182,13488730,13488730,13488730,13488781,13488781,13488781,13488781,13488781,13488781,13488781,13497631,13497631,13487381,13487381,13496855,13496855,13496012,13496012,13496012,13496012,13496012,13496012,13496012,13530070,13530070,13530070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-05",13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,7078836,13844998,13844998,13844998,13844998,13844998,13844998,13844998,13844998,13843433,13843433,13843433,13843433,13843433,13843433,13843433,13843433,13843433,13843433,13843433,13843433,13833422,13833422,13833422,13833422,13833422,13833422,13833422,13833422,13833422,13833422,13833422,13803780,13849038,13849038,13849038,13849038,13849038,13849038,13849038,13849038,13849038,13811658,13811658,13811658,13811658,13811658,13811658,13808807,13808807,13808807,13808807,13848535,13850032,13850032,13850032,13850032,13849363,13849363,13849363,13849363,13849363,13849363,13849363,13849363,13849363,13850574,13850574,13812164,13812791,13812791,13812791,13812591,13812591,13812591,13812591,13812591,13812591,13812591,13822307,13822307,13811988,13811988,13822186,13822186,13823413,13823413,13823413,13823413,13823413,13823413,13823413,13842405,13842405,13842405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-06",13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,7135836,13956483,13956483,13956483,13956483,13956483,13956483,13956483,13956483,13957085,13957085,13957085,13957085,13957085,13957085,13957085,13957085,13957085,13957085,13957085,13957085,13937060,13937060,13937060,13937060,13937060,13937060,13937060,13937060,13937060,13937060,13937060,13909996,13958564,13958564,13958564,13958564,13958564,13958564,13958564,13958564,13958564,13941833,13941833,13941833,13941833,13941833,13941833,13936538,13936538,13936538,13936538,13972696,13965010,13965010,13965010,13965010,13962162,13962162,13962162,13962162,13962162,13962162,13962162,13962162,13962162,13961687,13961687,13938728,13939979,13939979,13939979,13939294,13939294,13939294,13939294,13939294,13939294,13939294,13949422,13949422,13939151,13939151,13949138,13949138,13953244,13953244,13953244,13953244,13953244,13953244,13953244,13958112,13958112,13958112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-07",14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,14099845,7311220,14299505,14299505,14299505,14299505,14299505,14299505,14299505,14299505,14297679,14297679,14297679,14297679,14297679,14297679,14297679,14297679,14297679,14297679,14297679,14297679,14252495,14252495,14252495,14252495,14252495,14252495,14252495,14252495,14252495,14252495,14252495,14146431,14224354,14224354,14224354,14224354,14224354,14224354,14224354,14224354,14224354,14156498,14156498,14156498,14156498,14156498,14156498,14189610,14189610,14189610,14189610,14158265,14161755,14161755,14161755,14161755,14171612,14171612,14171612,14171612,14171612,14171612,14171612,14171612,14171612,14167117,14167117,14190604,14186827,14186827,14186827,14188505,14188505,14188505,14188505,14188505,14188505,14188505,14197331,14197331,14186930,14186930,14204100,14204100,14206678,14206678,14206678,14206678,14206678,14206678,14206678,14225659,14225659,14225659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-08",13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,13879901,7138547,13961782,13961782,13961782,13961782,13961782,13961782,13961782,13961782,13950952,13950952,13950952,13950952,13950952,13950952,13950952,13950952,13950952,13950952,13950952,13950952,13966834,13966834,13966834,13966834,13966834,13966834,13966834,13966834,13966834,13966834,13966834,13953417,13996124,13996124,13996124,13996124,13996124,13996124,13996124,13996124,13996124,13987031,13987031,13987031,13987031,13987031,13987031,13980907,13980907,13980907,13980907,14000134,13990874,13990874,13990874,13990874,13989973,13989973,13989973,13989973,13989973,13989973,13989973,13989973,13989973,13989689,13989689,13980816,13981011,13981011,13981011,13980856,13980856,13980856,13980856,13980856,13980856,13980856,13989700,13989700,13979811,13979811,13944005,13944005,13949005,13949005,13949005,13949005,13949005,13949005,13949005,13924715,13924715,13924715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-09",14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,14138415,7229146,14138981,14138981,14138981,14138981,14138981,14138981,14138981,14138981,14138974,14138974,14138974,14138974,14138974,14138974,14138974,14138974,14138974,14138974,14138974,14138974,14137414,14137414,14137414,14137414,14137414,14137414,14137414,14137414,14137414,14137414,14137414,14128748,14159441,14159441,14159441,14159441,14159441,14159441,14159441,14159441,14159441,14162897,14162897,14162897,14162897,14162897,14162897,14162193,14162193,14162193,14162193,14183699,14178924,14178924,14178924,14178924,14173661,14173661,14173661,14173661,14173661,14173661,14173661,14173661,14173661,14174935,14174935,14163030,14166913,14166913,14166913,14166593,14166593,14166593,14166593,14166593,14166593,14166593,14177034,14177034,14162845,14162845,14178097,14178097,14180824,14180824,14180824,14180824,14180824,14180824,14180824,14143566,14143566,14143566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-10",14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,14179917,7313831,14304609,14304609,14304609,14304609,14304609,14304609,14304609,14304609,14306070,14306070,14306070,14306070,14306070,14306070,14306070,14306070,14306070,14306070,14306070,14306070,14277047,14277047,14277047,14277047,14277047,14277047,14277047,14277047,14277047,14277047,14277047,14271359,14285035,14285035,14285035,14285035,14285035,14285035,14285035,14285035,14285035,14262483,14262483,14262483,14262483,14262483,14262483,14265883,14265883,14265883,14265883,14245951,14247194,14247194,14247194,14247194,14247643,14247643,14247643,14247643,14247643,14247643,14247643,14247643,14247643,14251157,14251157,14263629,14261048,14261048,14261048,14261061,14261061,14261061,14261061,14261061,14261061,14261061,14270700,14270700,14263567,14263567,14276184,14276184,14280128,14280128,14280128,14280128,14280128,14280128,14280128,14221408,14221408,14221408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
