"","2005-11-22","2005-12-22","2006-01-24","2006-02-20","2006-03-20","2006-04-24","2006-05-24","2006-06-21","2006-07-21","2006-08-22","2006-09-20","2006-10-20","2006-11-22","2006-12-20","2007-01-22","2007-02-23","2007-03-23","2007-04-23","2007-05-23","2007-06-21","2007-07-20","2007-08-21","2007-09-21","2007-10-23","2007-11-21","2007-12-19","2008-01-21","2008-02-20","2008-03-25","2008-04-21","2008-05-21","2008-06-25","2008-07-21","2008-08-22","2008-09-24","2008-10-21","2008-11-25","2008-12-19","2009-01-23","2009-02-25","2009-03-31","2009-04-24","2009-05-25","2009-06-25","2009-07-24","2009-08-25","2009-09-25","2009-10-23","2009-11-25","2009-12-21","2010-01-25","2010-02-25","2010-03-24","2010-04-23","2010-05-25","2010-06-25","2010-07-23","2010-08-25","2010-09-23","2010-10-22","2010-11-25","2010-12-21","2011-01-25","2011-02-24","2011-03-24","2011-04-21","2011-05-24","2011-06-21","2011-07-21","2011-08-25","2011-09-21","2011-10-25","2011-11-23","2011-12-20","2012-01-24","2012-02-22","2012-03-23","2012-04-23","2012-05-25","2012-06-25","2012-07-25","2012-08-24","2012-09-25","2012-10-25","2012-11-23","2012-12-21","2013-01-25","2013-02-25","2013-03-25","2013-04-25","2013-05-23","2013-06-25","2013-07-25","2013-08-23","2013-09-26","2013-10-25","2013-11-25","2013-12-20","2014-01-23","2014-02-24","2014-03-24","2014-04-25","2014-05-22","2014-06-25","2014-07-25","2014-08-25","2014-09-25","2014-10-23","2014-11-24","2014-12-19","2015-01-23","2015-02-25","2015-03-25","2015-04-24","2015-05-22","2015-06-24","2015-07-24","2015-08-25","2015-09-25","2015-10-23","2015-11-25","2015-12-22","2016-01-25","2016-03-24","2016-04-25","2016-05-25","2016-06-24","2016-07-25","2016-08-25","2016-09-23","2016-10-25","2016-11-25","2016-12-22","2017-01-25","2017-02-24","2017-03-24","2017-04-25","2017-05-24","2017-06-23","2017-07-25","2017-08-25","2017-09-25","2017-10-25","2017-11-24","2017-12-22","2018-01-25","2018-02-23","2018-03-23","2018-04-25","2018-05-25","2018-06-22","2018-07-25","2018-08-24","2018-09-25","2018-10-25","2018-11-23","2018-12-21","2019-01-25","2019-02-25","2019-03-22","2019-04-25","2019-05-24","2019-06-25","2019-07-25","2019-08-23","2019-09-25","2019-10-25","2019-11-25","2019-12-20","2020-01-24","2020-02-25","2020-03-25","2020-04-24","2020-05-25","2020-06-25","2020-07-24","2020-08-25","2020-09-25","2020-10-23","2020-11-25","2020-12-23","2021-01-25","2021-02-25","2021-03-25","2021-04-23","2021-05-25","2021-06-25","2021-07-23","2021-08-25","2021-09-24","2021-10-25","2021-11-25","2021-12-23","2022-01-25","2022-02-25","2022-03-25","2022-04-25","2022-05-25","2022-06-24","2022-07-25","2022-08-25","2022-09-23","2022-10-25","2022-11-25","2022-12-22","2023-01-25","2023-02-24","2023-03-24","2023-04-25","2023-05-25","2023-06-23","2023-07-25","2023-08-25","2023-09-25","2023-10-25","2023-11-24","2023-12-22","2024-01-25","2024-02-23","2024-05-24","2024-06-25","2024-07-25","2024-08-23","2024-09-25","2024-10-25","2024-11-25","2024-12-23","2025-01-24","2025-02-25","2025-03-25","2025-04-25","2025-05-23","2025-06-25","2025-07-25","2025-08-25","2025-09-25","2025-10-24"
"1991-01",4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,2059987,4028985,4028985,4028985,4028985,4028985,4028985,4028985,4028985,4029420,4029420,4029420,4029420,4029420,4029420,4029420,4029420,4029420,4029420,4029420,4029420,4025394,4025394,4025394,4025394,4025394,4025394,4025394,4025394,4025394,4025394,4025394,3999879,4020781,4020781,4020781,4020781,4020781,4020781,4020781,4020781,4020781,3992056,3992056,3992056,3992056,3992056,3992056,3992056,3992056,3992056,3992056,3992056,3990444,3990444,3990444,3990444,3990988,3990988,3990988,3990988,3990988,3990988,3990988,3990988,3990988,3992038,3992038,3992038,3992223,3992223,3992223,3992301,3992301,3992301,3992301,3992301,3992301,3992301,4000972,4000972,3992108,3992108,4001140,4001140,4001140,4001140,4001140,4001140,4001140,4001140,4001140,4083077,4083077,4083077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-02",3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,1893189,3702756,3702756,3702756,3702756,3702756,3702756,3702756,3702756,3703523,3703523,3703523,3703523,3703523,3703523,3703523,3703523,3703523,3703523,3703523,3703523,3705621,3705621,3705621,3705621,3705621,3705621,3705621,3705621,3705621,3705621,3705621,3680276,3705762,3705762,3705762,3705762,3705762,3705762,3705762,3705762,3705762,3684617,3684617,3684617,3684617,3684617,3684617,3684617,3684617,3684617,3684617,3684617,3683748,3683748,3683748,3683748,3683935,3683935,3683935,3683935,3683935,3683935,3683935,3683935,3683935,3684926,3684926,3684926,3685313,3685313,3685313,3685186,3685186,3685186,3685186,3685186,3685186,3685186,3693750,3693750,3685331,3685331,3693535,3693535,3693535,3693535,3693535,3693535,3693535,3693535,3693535,3759766,3759766,3759766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-03",3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,1989186,3890509,3890509,3890509,3890509,3890509,3890509,3890509,3890509,3892251,3892251,3892251,3892251,3892251,3892251,3892251,3892251,3892251,3892251,3892251,3892251,3902526,3902526,3902526,3902526,3902526,3902526,3902526,3902526,3902526,3902526,3902526,3876636,3910653,3910653,3910653,3910653,3910653,3910653,3910653,3910653,3910653,3900011,3900011,3900011,3900011,3900011,3900011,3900011,3900011,3900011,3900011,3900011,3901250,3901250,3901250,3901250,3900627,3900627,3900627,3900627,3900627,3900627,3900627,3900627,3900627,3900456,3900456,3900456,3901259,3901259,3901259,3900698,3900698,3900698,3900698,3900698,3900698,3900698,3911129,3911129,3901445,3901445,3910222,3910222,3910222,3910222,3910222,3910222,3910222,3910222,3910222,3967203,3967203,3967203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-04",4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,2060827,4030627,4030627,4030627,4030627,4030627,4030627,4030627,4030627,4031196,4031196,4031196,4031196,4031196,4031196,4031196,4031196,4031196,4031196,4031196,4031196,4027938,4027938,4027938,4027938,4027938,4027938,4027938,4027938,4027938,4027938,4027938,3983367,4024029,4024029,4024029,4024029,4024029,4024029,4024029,4024029,4024029,4007986,4007986,4007986,4007986,4007986,4007986,4007986,4007986,4007986,4007986,4007986,4006865,4006865,4006865,4006865,4007197,4007197,4007197,4007197,4007197,4007197,4007197,4007197,4007197,4008035,4008035,4008035,4008263,4008263,4008263,4008314,4008314,4008314,4008314,4008314,4008314,4008314,4017164,4017164,4008173,4008173,4017286,4017286,4017286,4017286,4017286,4017286,4017286,4017286,4017286,4051344,4051344,4051344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-05",4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,2096698,4100784,4100784,4100784,4100784,4100784,4100784,4100784,4100784,4101761,4101761,4101761,4101761,4101761,4101761,4101761,4101761,4101761,4101761,4101761,4101761,4102366,4102366,4102366,4102366,4102366,4102366,4102366,4102366,4102366,4102366,4102366,4056627,4101885,4101885,4101885,4101885,4101885,4101885,4101885,4101885,4101885,4089199,4089199,4089199,4089199,4089199,4089199,4089199,4089199,4089199,4089199,4089199,4088896,4088896,4088896,4088896,4088509,4088509,4088509,4088509,4088509,4088509,4088509,4088509,4088509,4089214,4089214,4089214,4089791,4089791,4089791,4089591,4089591,4089591,4089591,4089591,4089591,4089591,4099307,4099307,4089754,4089754,4099025,4099025,4099025,4099025,4099025,4099025,4099025,4099025,4099025,4118017,4118017,4118017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-06",4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,2125446,4157011,4157011,4157011,4157011,4157011,4157011,4157011,4157011,4158185,4158185,4158185,4158185,4158185,4158185,4158185,4158185,4158185,4158185,4158185,4158185,4161605,4161605,4161605,4161605,4161605,4161605,4161605,4161605,4161605,4161605,4161605,4115001,4163569,4163569,4163569,4163569,4163569,4163569,4163569,4163569,4163569,4150851,4150851,4150851,4150851,4150851,4150851,4150851,4150851,4150851,4150851,4150851,4150161,4150161,4150161,4150161,4147610,4147610,4147610,4147610,4147610,4147610,4147610,4147610,4147610,4149565,4149565,4149565,4150752,4150752,4150752,4150067,4150067,4150067,4150067,4150067,4150067,4150067,4160195,4160195,4150595,4150595,4159378,4159378,4159378,4159378,4159378,4159378,4159378,4159378,4159378,4164246,4164246,4164246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-07",4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,4117641,2148202,4201518,4201518,4201518,4201518,4201518,4201518,4201518,4201518,4202450,4202450,4202450,4202450,4202450,4202450,4202450,4202450,4202450,4202450,4202450,4202450,4199287,4199287,4199287,4199287,4199287,4199287,4199287,4199287,4199287,4199287,4199287,4118383,4196306,4196306,4196306,4196306,4196306,4196306,4196306,4196306,4196306,4144480,4144480,4144480,4144480,4144480,4144480,4144480,4144480,4144480,4144480,4144480,4146789,4146789,4146789,4146789,4152991,4152991,4152991,4152991,4152991,4152991,4152991,4152991,4152991,4148200,4148200,4148200,4145474,4145474,4145474,4147152,4147152,4147152,4147152,4147152,4147152,4147152,4155978,4155978,4145914,4145914,4157432,4157432,4157432,4157432,4157432,4157432,4157432,4157432,4157432,4176413,4176413,4176413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-08",4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,4026437,2092459,4092493,4092493,4092493,4092493,4092493,4092493,4092493,4092493,4081671,4081671,4081671,4081671,4081671,4081671,4081671,4081671,4081671,4081671,4081671,4081671,4080970,4080970,4080970,4080970,4080970,4080970,4080970,4080970,4080970,4080970,4080970,4049946,4092653,4092653,4092653,4092653,4092653,4092653,4092653,4092653,4092653,4065916,4065916,4065916,4065916,4065916,4065916,4065916,4065916,4065916,4065916,4065916,4065146,4065146,4065146,4065146,4063175,4063175,4063175,4063175,4063175,4063175,4063175,4063175,4063175,4064251,4064251,4064251,4064006,4064006,4064006,4063851,4063851,4063851,4063851,4063851,4063851,4063851,4072695,4072695,4063788,4063788,4072519,4072519,4072519,4072519,4072519,4072519,4072519,4072519,4072519,4048229,4048229,4048229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-09",3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,3996446,2058815,4026693,4026693,4026693,4026693,4026693,4026693,4026693,4026693,4028238,4028238,4028238,4028238,4028238,4028238,4028238,4028238,4028238,4028238,4028238,4028238,4031677,4031677,4031677,4031677,4031677,4031677,4031677,4031677,4031677,4031677,4031677,4003832,4034525,4034525,4034525,4034525,4034525,4034525,4034525,4034525,4034525,4020009,4020009,4020009,4020009,4020009,4020009,4020009,4020009,4020009,4020009,4020009,4021390,4021390,4021390,4021390,4020573,4020573,4020573,4020573,4020573,4020573,4020573,4020573,4020573,4020100,4020100,4020100,4020740,4020740,4020740,4020420,4020420,4020420,4020420,4020420,4020420,4020420,4030861,4030861,4020770,4020770,4030255,4030255,4030255,4030255,4030255,4030255,4030255,4030255,4030255,3992997,3992997,3992997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-10",4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,4038399,2086737,4081303,4081303,4081303,4081303,4081303,4081303,4081303,4081303,4082351,4082351,4082351,4082351,4082351,4082351,4082351,4082351,4082351,4082351,4082351,4082351,4079167,4079167,4079167,4079167,4079167,4079167,4079167,4079167,4079167,4079167,4079167,4062943,4076619,4076619,4076619,4076619,4076619,4076619,4076619,4076619,4076619,4058180,4058180,4058180,4058180,4058180,4058180,4058180,4058180,4058180,4058180,4058180,4058571,4058571,4058571,4058571,4058687,4058687,4058687,4058687,4058687,4058687,4058687,4058687,4058687,4058103,4058103,4058103,4058235,4058235,4058235,4058248,4058248,4058248,4058248,4058248,4058248,4058248,4067887,4067887,4058168,4058168,4067845,4067845,4067845,4067845,4067845,4067845,4067845,4067845,4067845,4009125,4009125,4009125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
