"","2005-11-22","2005-12-22","2006-01-24","2006-02-20","2006-03-20","2006-04-24","2006-05-24","2006-06-21","2006-07-21","2006-08-22","2006-09-20","2006-10-20","2006-11-22","2006-12-20","2007-01-22","2007-02-23","2007-03-23","2007-04-23","2007-05-23","2007-06-21","2007-07-20","2007-08-21","2007-09-21","2007-10-23","2007-11-21","2007-12-19","2008-01-21","2008-02-20","2008-03-25","2008-04-21","2008-05-21","2008-06-25","2008-07-21","2008-08-22","2008-09-24","2008-10-21","2008-11-25","2008-12-19","2009-01-23","2009-02-25","2009-03-31","2009-04-24","2009-05-25","2009-06-25","2009-07-24","2009-08-25","2009-09-25","2009-10-23","2009-11-25","2009-12-21","2010-01-25","2010-02-25","2010-03-24","2010-04-23","2010-05-25","2010-06-25","2010-07-23","2010-08-25","2010-09-23","2010-10-22","2010-11-25","2010-12-21","2011-01-25","2011-02-24","2011-03-24","2011-04-21","2011-05-24","2011-06-21","2011-07-21","2011-08-25","2011-09-21","2011-10-25","2011-11-23","2011-12-20","2012-01-24","2012-02-22","2012-03-23","2012-04-23","2012-05-25","2012-06-25","2012-07-25","2012-08-24","2012-09-25","2012-10-25","2012-11-23","2012-12-21","2013-01-25","2013-02-25","2013-03-25","2013-04-25","2013-05-23","2013-06-25","2013-07-25","2013-08-23","2013-09-26","2013-10-25","2013-11-25","2013-12-20","2014-01-23","2014-02-24","2014-03-24","2014-04-25","2014-05-22","2014-06-25","2014-07-25","2014-08-25","2014-09-25","2014-10-23","2014-11-24","2014-12-19","2015-01-23","2015-02-25","2015-03-25","2015-04-24","2015-05-22","2015-06-24","2015-07-24","2015-08-25","2015-09-25","2015-10-23","2015-11-25","2015-12-22","2016-01-25","2016-03-24","2016-04-25","2016-05-25","2016-06-24","2016-07-25","2016-08-25","2016-09-23","2016-10-25","2016-11-25","2016-12-22","2017-01-25","2017-02-24","2017-03-24","2017-04-25","2017-05-24","2017-06-23","2017-07-25","2017-08-25","2017-09-25","2017-10-25","2017-11-24","2017-12-22","2018-01-25","2018-02-23","2018-03-23","2018-04-25","2018-05-25","2018-06-22","2018-07-25","2018-08-24","2018-09-25","2018-10-25","2018-11-23","2018-12-21","2019-01-25","2019-02-25","2019-03-22","2019-04-25","2019-05-24","2019-06-25","2019-07-25","2019-08-23","2019-09-25","2019-10-25","2019-11-25","2019-12-20","2020-01-24","2020-02-25","2020-03-25","2020-04-24","2020-05-25","2020-06-25","2020-07-24","2020-08-25","2020-09-25","2020-10-23","2020-11-25","2020-12-23","2021-01-25","2021-02-25","2021-03-25","2021-04-23","2021-05-25","2021-06-25","2021-07-23","2021-08-25","2021-09-24","2021-10-25","2021-11-25","2021-12-23","2022-01-25","2022-02-25","2022-03-25","2022-04-25","2022-05-25","2022-06-24","2022-07-25","2022-08-25","2022-09-23","2022-10-25","2022-11-25","2022-12-22","2023-01-25","2023-02-24","2023-03-24","2023-04-25","2023-05-25","2023-06-23","2023-07-25","2023-08-25","2023-09-25","2023-10-25","2023-11-24","2023-12-22","2024-01-25","2024-02-23","2024-05-24","2024-06-25","2024-07-25","2024-08-23","2024-09-25","2024-10-25","2024-11-25","2024-12-23","2025-01-24","2025-02-25","2025-03-25","2025-04-25","2025-05-23","2025-06-25","2025-07-25","2025-08-25"
"1991-01",5281469,5281469,5281469,5281469,5281469,5281469,3716672,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,5281469,2717776,5315509,5315509,5315509,5315509,5315509,5315509,5315509,5315509,5315740,5315740,5315740,5315740,5315740,5315740,5315740,5315740,5315740,5315740,5315740,5315740,5297345,5297345,5297345,5297345,5297345,5297345,5297345,5297345,5297345,5297345,5297345,5301474,5301474,5301474,5301474,5301474,5301474,5301474,5301474,5301474,5301474,5248998,5248998,5248998,5248998,5248998,5248998,5258554,5258554,5258554,5258554,5313095,5312614,5312614,5312614,5312614,5312298,5312298,5312298,5312298,5312298,5312298,5312298,5312298,5312298,5312298,5312298,5257200,5257218,5257218,5257218,5257218,5257218,5257218,5257218,5257218,5257218,5257218,5257218,5257218,5257129,5257129,5260075,5260075,5260075,5260075,5260075,5260075,5260075,5260075,5260075,5260075,5260075,5260075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-02",4957157,4957157,4957157,4957157,4957157,4957157,3345749,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,4957157,2572507,5031386,5031386,5031386,5031386,5031386,5031386,5031386,5031386,5020494,5020494,5020494,5020494,5020494,5020494,5020494,5020494,5020494,5020494,5020494,5020494,5039295,5039295,5039295,5039295,5039295,5039295,5039295,5039295,5039295,5039295,5039295,5020434,5020434,5020434,5020434,5020434,5020434,5020434,5020434,5020434,5020434,5050077,5050077,5050077,5050077,5050077,5050077,5019133,5019133,5019133,5019133,5031000,5050989,5050989,5050989,5050989,5051660,5051660,5051660,5051660,5051660,5051660,5051660,5051660,5051660,5051660,5051660,5016775,5016744,5016744,5016744,5016744,5016744,5016744,5016744,5016744,5016744,5016744,5016744,5016744,5016067,5016067,5019792,5019792,5019792,5019792,5019792,5019792,5019792,5019792,5019792,5019792,5019792,5019792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-03",5141013,5141013,5141013,5141013,5141013,5141013,4306753,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,5141013,2630377,5144570,5144570,5144570,5144570,5144570,5144570,5144570,5144570,5143244,5143244,5143244,5143244,5143244,5143244,5143244,5143244,5143244,5143244,5143244,5143244,5135047,5135047,5135047,5135047,5135047,5135047,5135047,5135047,5135047,5135047,5135047,5148942,5148942,5148942,5148942,5148942,5148942,5148942,5148942,5148942,5148942,5115573,5115573,5115573,5115573,5115573,5115573,5110104,5110104,5110104,5110104,5172389,5166901,5166901,5166901,5166901,5166279,5166279,5166279,5166279,5166279,5166279,5166279,5166279,5166279,5166279,5166279,5110401,5110186,5110186,5110186,5110186,5110186,5110186,5110186,5110186,5110186,5110186,5110186,5110186,5109795,5109795,5113835,5113835,5113835,5113835,5113835,5113835,5113835,5113835,5113835,5113835,5113835,5113835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-04",5428819,5428819,5428819,5428819,5428819,5428819,5122796,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,5428819,2748475,5375550,5375550,5375550,5375550,5375550,5375550,5375550,5375550,5347997,5347997,5347997,5347997,5347997,5347997,5347997,5347997,5347997,5347997,5347997,5347997,5324543,5324543,5324543,5324543,5324543,5324543,5324543,5324543,5324543,5324543,5324543,5329429,5329429,5329429,5329429,5329429,5329429,5329429,5329429,5329429,5329429,5298996,5298996,5298996,5298996,5298996,5298996,5336557,5336557,5336557,5336557,5336898,5339931,5339931,5339931,5339931,5339553,5339553,5339553,5339553,5339553,5339553,5339553,5339553,5339553,5339553,5339553,5335688,5335827,5335827,5335827,5335827,5335827,5335827,5335827,5335827,5335827,5335827,5335827,5335827,5335814,5335814,5339232,5339232,5339232,5339232,5339232,5339232,5339232,5339232,5339232,5339232,5339232,5339232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-05",5520309,5520309,5520309,5520309,5520309,5520309,5292236,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,5520309,2819648,5514752,5514752,5514752,5514752,5514752,5514752,5514752,5514752,5513720,5513720,5513720,5513720,5513720,5513720,5513720,5513720,5513720,5513720,5513720,5513720,5495504,5495504,5495504,5495504,5495504,5495504,5495504,5495504,5495504,5495504,5495504,5510398,5510398,5510398,5510398,5510398,5510398,5510398,5510398,5510398,5510398,5481910,5481910,5481910,5481910,5481910,5481910,5479059,5479059,5479059,5479059,5517078,5519264,5519264,5519264,5519264,5518658,5518658,5518658,5518658,5518658,5518658,5518658,5518658,5518658,5518658,5518658,5478986,5478905,5478905,5478905,5478905,5478905,5478905,5478905,5478905,5478905,5478905,5478905,5478905,5478999,5478999,5482839,5482839,5482839,5482839,5482839,5482839,5482839,5482839,5482839,5482839,5482839,5482839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-06",5515705,5515705,5515705,5515705,5515705,5515705,5813760,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,5515705,2831475,5537884,5537884,5537884,5537884,5537884,5537884,5537884,5537884,5539339,5539339,5539339,5539339,5539339,5539339,5539339,5539339,5539339,5539339,5539339,5539339,5505598,5505598,5505598,5505598,5505598,5505598,5505598,5505598,5505598,5505598,5505598,5524066,5524066,5524066,5524066,5524066,5524066,5524066,5524066,5524066,5524066,5511891,5511891,5511891,5511891,5511891,5511891,5506596,5506596,5506596,5506596,5539409,5533282,5533282,5533282,5533282,5532111,5532111,5532111,5532111,5532111,5532111,5532111,5532111,5532111,5532111,5532111,5506859,5506724,5506724,5506724,5506724,5506724,5506724,5506724,5506724,5506724,5506724,5506724,5506724,5506763,5506763,5510997,5510997,5510997,5510997,5510997,5510997,5510997,5510997,5510997,5510997,5510997,5510997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-07",5665530,5665530,5665530,5665530,5665530,5665530,6266804,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,5665530,2934572,5739524,5739524,5739524,5739524,5739524,5739524,5739524,5739524,5737951,5737951,5737951,5737951,5737951,5737951,5737951,5737951,5737951,5737951,5737951,5737951,5714866,5714866,5714866,5714866,5714866,5714866,5714866,5714866,5714866,5714866,5714866,5693568,5693568,5693568,5693568,5693568,5693568,5693568,5693568,5693568,5693568,5693943,5693943,5693943,5693943,5693943,5693943,5727055,5727055,5727055,5727055,5700664,5702469,5702469,5702469,5702469,5701778,5701778,5701778,5701778,5701778,5701778,5701778,5701778,5701778,5701778,5701778,5726511,5726426,5726426,5726426,5726426,5726426,5726426,5726426,5726426,5726426,5726426,5726426,5726426,5726465,5726465,5731621,5731621,5731621,5731621,5731621,5731621,5731621,5731621,5731621,5731621,5731621,5731621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-08",5482615,5482615,5482615,5482615,5482615,5482615,5797224,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,5482615,2807754,5491489,5491489,5491489,5491489,5491489,5491489,5491489,5491489,5493226,5493226,5493226,5493226,5493226,5493226,5493226,5493226,5493226,5493226,5493226,5493226,5505453,5505453,5505453,5505453,5505453,5505453,5505453,5505453,5505453,5505453,5505453,5523431,5523431,5523431,5523431,5523431,5523431,5523431,5523431,5523431,5523431,5536953,5536953,5536953,5536953,5536953,5536953,5530829,5530829,5530829,5530829,5547874,5539408,5539408,5539408,5539408,5540772,5540772,5540772,5540772,5540772,5540772,5540772,5540772,5540772,5540772,5540772,5530922,5531084,5531084,5531084,5531084,5531084,5531084,5531084,5531084,5531084,5531084,5531084,5531084,5531106,5531106,5488811,5488811,5488811,5488811,5488811,5488811,5488811,5488811,5488811,5488811,5488811,5488811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-09",5692027,5692027,5692027,5692027,5692027,5692027,6200025,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,5692027,2888605,5649620,5649620,5649620,5649620,5649620,5649620,5649620,5649620,5650240,5650240,5650240,5650240,5650240,5650240,5650240,5650240,5650240,5650240,5650240,5650240,5632496,5632496,5632496,5632496,5632496,5632496,5632496,5632496,5632496,5632496,5632496,5650716,5650716,5650716,5650716,5650716,5650716,5650716,5650716,5650716,5650716,5660889,5660889,5660889,5660889,5660889,5660889,5660185,5660185,5660185,5660185,5677635,5671151,5671151,5671151,5671151,5670278,5670278,5670278,5670278,5670278,5670278,5670278,5670278,5670278,5670278,5670278,5660681,5660533,5660533,5660533,5660533,5660533,5660533,5660533,5660533,5660533,5660533,5660533,5660533,5660690,5660690,5665590,5665590,5665590,5665590,5665590,5665590,5665590,5665590,5665590,5665590,5665590,5665590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-10",5641849,5641849,5641849,5641849,5641849,5641849,6368215,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,5641849,2902699,5677185,5677185,5677185,5677185,5677185,5677185,5677185,5677185,5679187,5679187,5679187,5679187,5679187,5679187,5679187,5679187,5679187,5679187,5679187,5679187,5655981,5655981,5655981,5655981,5655981,5655981,5655981,5655981,5655981,5655981,5655981,5667060,5667060,5667060,5667060,5667060,5667060,5667060,5667060,5667060,5667060,5689006,5689006,5689006,5689006,5689006,5689006,5692406,5692406,5692406,5692406,5678817,5679335,5679335,5679335,5679335,5678665,5678665,5678665,5678665,5678665,5678665,5678665,5678665,5678665,5678665,5678665,5692108,5692063,5692063,5692063,5692063,5692063,5692063,5692063,5692063,5692063,5692063,5692063,5692063,5692111,5692111,5695885,5695885,5695885,5695885,5695885,5695885,5695885,5695885,5695885,5695885,5695885,5695885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
