"","2005-11-22","2005-12-22","2006-01-24","2006-02-20","2006-03-20","2006-04-24","2006-05-24","2006-06-21","2006-07-21","2006-08-22","2006-09-20","2006-10-20","2006-11-22","2006-12-20","2007-01-22","2007-02-23","2007-03-23","2007-04-23","2007-05-23","2007-06-21","2007-07-20","2007-08-21","2007-09-21","2007-10-23","2007-11-21","2007-12-19","2008-01-21","2008-02-20","2008-03-25","2008-04-21","2008-05-21","2008-06-25","2008-07-21","2008-08-22","2008-09-24","2008-10-21","2008-11-25","2008-12-19","2009-01-23","2009-02-25","2009-03-31","2009-04-24","2009-05-25","2009-06-25","2009-07-24","2009-08-25","2009-09-25","2009-10-23","2009-11-25","2009-12-21","2010-01-25","2010-02-25","2010-03-24","2010-04-23","2010-05-25","2010-06-25","2010-07-23","2010-08-25","2010-09-23","2010-10-22","2010-11-25","2010-12-21","2011-01-25","2011-02-24","2011-03-24","2011-04-21","2011-05-24","2011-06-21","2011-07-21","2011-08-25","2011-09-21","2011-10-25","2011-11-23","2011-12-20","2012-01-24","2012-02-22","2012-03-23","2012-04-23","2012-05-25","2012-06-25","2012-07-25","2012-08-24","2012-09-25","2012-10-25","2012-11-23","2012-12-21","2013-01-25","2013-02-25","2013-03-25","2013-04-25","2013-05-23","2013-06-25","2013-07-25","2013-08-23","2013-09-26","2013-10-25","2013-11-25","2013-12-20","2014-01-23","2014-02-24","2014-03-24","2014-04-25","2014-05-22","2014-06-25","2014-07-25","2014-08-25","2014-09-25","2014-10-23","2014-11-24","2014-12-19","2015-01-23","2015-02-25","2015-03-25","2015-04-24","2015-05-22","2015-06-24","2015-07-24","2015-08-25","2015-09-25","2015-10-23","2015-11-25","2015-12-22","2016-01-25","2016-03-24","2016-04-25","2016-05-25","2016-06-24","2016-07-25","2016-08-25","2016-09-23","2016-10-25","2016-11-25","2016-12-22","2017-01-25","2017-02-24","2017-03-24","2017-04-25","2017-05-24","2017-06-23","2017-07-25","2017-08-25","2017-09-25","2017-10-25","2017-11-24","2017-12-22","2018-01-25","2018-02-23","2018-03-23","2018-04-25","2018-05-25","2018-06-22","2018-07-25","2018-08-24","2018-09-25","2018-10-25","2018-11-23","2018-12-21","2019-01-25","2019-02-25","2019-03-22","2019-04-25","2019-05-24","2019-06-25","2019-07-25","2019-08-23","2019-09-25","2019-10-25","2019-11-25","2019-12-20","2020-01-24","2020-02-25","2020-03-25","2020-04-24","2020-05-25","2020-06-25","2020-07-24","2020-08-25","2020-09-25","2020-10-23","2020-11-25","2020-12-23","2021-01-25","2021-02-25","2021-03-25","2021-04-23","2021-05-25","2021-06-25","2021-07-23","2021-08-25","2021-09-24","2021-10-25","2021-11-25","2021-12-23","2022-01-25","2022-02-25","2022-03-25","2022-04-25","2022-05-25","2022-06-24","2022-07-25","2022-08-25","2022-09-23","2022-10-25","2022-11-25","2022-12-22","2023-01-25","2023-02-24","2023-03-24","2023-04-25","2023-05-25","2023-06-23","2023-07-25","2023-08-25","2023-09-25","2023-10-25","2023-11-24","2023-12-22","2024-01-25","2024-02-23","2024-05-24","2024-06-25","2024-07-25","2024-08-23","2024-09-25","2024-10-25","2024-11-25","2024-12-23","2025-01-24","2025-02-25","2025-03-25","2025-04-25","2025-05-23","2025-06-25","2025-07-25","2025-08-25","2025-09-25"
"1991-01",4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,4115010,2068356,4045351,4045351,4045351,4045351,4045351,4045351,4045351,4045351,4085261,4085261,4085261,4085261,4085261,4085261,4085261,4085261,4085261,4085261,4085261,4085261,4044021,4044021,4044021,4044021,4044021,4044021,4044021,4044021,4044021,4044021,4044021,4050875,4050875,4050875,4050875,4050875,4050875,4050875,4050875,4050875,4050875,4032905,4032905,4032905,4032905,4032905,4032905,4032905,4032905,4032905,4032905,4028327,4028649,4028649,4028649,4028649,4027894,4027894,4027894,4027894,4027894,4027894,4027894,4027894,4027894,4030983,4030983,4031041,4031400,4031400,4031400,4031400,4031400,4031400,4031400,4031400,4031400,4031400,4031400,4031400,4028575,4028575,4012921,4012921,4007816,4007816,4007816,4007816,4007816,4007816,4007816,4007816,4007816,4007816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-02",3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,3708014,1922224,3759545,3759545,3759545,3759545,3759545,3759545,3759545,3759545,3758576,3758576,3758576,3758576,3758576,3758576,3758576,3758576,3758576,3758576,3758576,3758576,3764679,3764679,3764679,3764679,3764679,3764679,3764679,3764679,3764679,3764679,3764679,3775346,3775346,3775346,3775346,3775346,3775346,3775346,3775346,3775346,3775346,3775179,3775179,3775179,3775179,3775179,3775179,3775179,3775179,3775179,3775179,3776459,3776957,3776957,3776957,3776957,3775945,3775945,3775945,3775945,3775945,3775945,3775945,3775945,3775945,3782402,3782402,3782506,3782577,3782577,3782577,3782577,3782577,3782577,3782577,3782577,3782577,3782577,3782577,3782577,3781510,3781510,3777052,3777052,3768594,3768594,3768594,3768594,3768594,3768594,3768594,3768594,3768594,3768594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-03",3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,3998869,1998346,3908424,3908424,3908424,3908424,3908424,3908424,3908424,3908424,3906643,3906643,3906643,3906643,3906643,3906643,3906643,3906643,3906643,3906643,3906643,3906643,3927870,3927870,3927870,3927870,3927870,3927870,3927870,3927870,3927870,3927870,3927870,3937873,3937873,3937873,3937873,3937873,3937873,3937873,3937873,3937873,3937873,3970292,3970292,3970292,3970292,3970292,3970292,3970292,3970292,3970292,3970292,3976734,3977619,3977619,3977619,3977619,3977144,3977144,3977144,3977144,3977144,3977144,3977144,3977144,3977144,3978474,3978474,3978903,3978943,3978943,3978943,3978943,3978943,3978943,3978943,3978943,3978943,3978943,3978943,3978943,3977906,3977906,3973854,3973854,3956871,3956871,3956871,3956871,3956871,3956871,3956871,3956871,3956871,3956871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-04",4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,4294992,2126941,4159936,4159936,4159936,4159936,4159936,4159936,4159936,4159936,4159549,4159549,4159549,4159549,4159549,4159549,4159549,4159549,4159549,4159549,4159549,4159549,4155103,4155103,4155103,4155103,4155103,4155103,4155103,4155103,4155103,4155103,4155103,4155695,4155695,4155695,4155695,4155695,4155695,4155695,4155695,4155695,4155695,4145119,4145119,4145119,4145119,4145119,4145119,4145119,4145119,4145119,4145119,4141968,4141659,4141659,4141659,4141659,4141562,4141562,4141562,4141562,4141562,4141562,4141562,4141562,4141562,4144285,4144285,4144459,4144640,4144640,4144640,4144640,4144640,4144640,4144640,4144640,4144640,4144640,4144640,4144640,4143394,4143394,4140337,4140337,4139494,4139494,4139494,4139494,4139494,4139494,4139494,4139494,4139494,4139494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-05",4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,4250973,2162490,4229462,4229462,4229462,4229462,4229462,4229462,4229462,4229462,4227952,4227952,4227952,4227952,4227952,4227952,4227952,4227952,4227952,4227952,4227952,4227952,4235552,4235552,4235552,4235552,4235552,4235552,4235552,4235552,4235552,4235552,4235552,4236755,4236755,4236755,4236755,4236755,4236755,4236755,4236755,4236755,4236755,4240549,4240549,4240549,4240549,4240549,4240549,4240549,4240549,4240549,4240549,4242258,4241872,4241872,4241872,4241872,4242196,4242196,4242196,4242196,4242196,4242196,4242196,4242196,4242196,4242702,4242702,4243964,4244095,4244095,4244095,4244095,4244095,4244095,4244095,4244095,4244095,4244095,4244095,4244095,4243235,4243235,4240322,4240322,4241549,4241549,4241549,4241549,4241549,4241549,4241549,4241549,4241549,4241549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-06",4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,4261010,2178915,4261588,4261588,4261588,4261588,4261588,4261588,4261588,4261588,4259561,4259561,4259561,4259561,4259561,4259561,4259561,4259561,4259561,4259561,4259561,4259561,4269857,4269857,4269857,4269857,4269857,4269857,4269857,4269857,4269857,4269857,4269857,4270929,4270929,4270929,4270929,4270929,4270929,4270929,4270929,4270929,4270929,4279091,4279091,4279091,4279091,4279091,4279091,4279091,4279091,4279091,4279091,4282436,4281567,4281567,4281567,4281567,4282441,4282441,4282441,4282441,4282441,4282441,4282441,4282441,4282441,4280011,4280011,4282304,4282503,4282503,4282503,4282503,4282503,4282503,4282503,4282503,4282503,4282503,4282503,4282503,4281793,4281793,4278763,4278763,4282869,4282869,4282869,4282869,4282869,4282869,4282869,4282869,4282869,4282869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-07",4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,4316674,2228446,4358463,4358463,4358463,4358463,4358463,4358463,4358463,4358463,4357278,4357278,4357278,4357278,4357278,4357278,4357278,4357278,4357278,4357278,4357278,4357278,4338342,4338342,4338342,4338342,4338342,4338342,4338342,4338342,4338342,4338342,4338342,4334480,4334480,4334480,4334480,4334480,4334480,4334480,4334480,4334480,4334480,4318075,4318075,4318075,4318075,4318075,4318075,4318075,4318075,4318075,4318075,4313121,4312497,4312497,4312497,4312497,4316843,4316843,4316843,4316843,4316843,4316843,4316843,4316843,4316843,4317139,4317139,4315893,4314927,4314927,4314927,4314927,4314927,4314927,4314927,4314927,4314927,4314927,4314927,4314927,4314551,4314551,4315047,4315047,4317625,4317625,4317625,4317625,4317625,4317625,4317625,4317625,4317625,4317625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-08",4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,4370849,2238334,4377800,4377800,4377800,4377800,4377800,4377800,4377800,4377800,4376055,4376055,4376055,4376055,4376055,4376055,4376055,4376055,4376055,4376055,4376055,4376055,4380411,4380411,4380411,4380411,4380411,4380411,4380411,4380411,4380411,4380411,4380411,4380040,4380040,4380040,4380040,4380040,4380040,4380040,4380040,4380040,4380040,4384162,4384162,4384162,4384162,4384162,4384162,4384162,4384162,4384162,4384162,4386344,4386320,4386320,4386320,4386320,4386026,4386026,4386026,4386026,4386026,4386026,4386026,4386026,4386026,4384666,4384666,4385643,4385921,4385921,4385921,4385921,4385921,4385921,4385921,4385921,4385921,4385921,4385921,4385921,4384917,4384917,4382675,4382675,4387675,4387675,4387675,4387675,4387675,4387675,4387675,4387675,4387675,4387675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-09",4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,4449942,2281726,4462668,4462668,4462668,4462668,4462668,4462668,4462668,4462668,4460496,4460496,4460496,4460496,4460496,4460496,4460496,4460496,4460496,4460496,4460496,4460496,4473241,4473241,4473241,4473241,4473241,4473241,4473241,4473241,4473241,4473241,4473241,4474200,4474200,4474200,4474200,4474200,4474200,4474200,4474200,4474200,4474200,4481999,4481999,4481999,4481999,4481999,4481999,4481999,4481999,4481999,4481999,4486055,4486383,4486383,4486383,4486383,4482810,4482810,4482810,4482810,4482810,4482810,4482810,4482810,4482810,4484557,4484557,4482249,4485640,4485640,4485640,4485640,4485640,4485640,4485640,4485640,4485640,4485640,4485640,4485640,4481385,4481385,4482252,4482252,4484979,4484979,4484979,4484979,4484979,4484979,4484979,4484979,4484979,4484979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-10",4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,4499669,2324395,4546121,4546121,4546121,4546121,4546121,4546121,4546121,4546121,4544532,4544532,4544532,4544532,4544532,4544532,4544532,4544532,4544532,4544532,4544532,4544532,4541899,4541899,4541899,4541899,4541899,4541899,4541899,4541899,4541899,4541899,4541899,4541356,4541356,4541356,4541356,4541356,4541356,4541356,4541356,4541356,4541356,4515297,4515297,4515297,4515297,4515297,4515297,4515297,4515297,4515297,4515297,4508954,4509288,4509288,4509288,4509288,4510291,4510291,4510291,4510291,4510291,4510291,4510291,4510291,4510291,4514389,4514389,4513418,4510750,4510750,4510750,4510750,4510750,4510750,4510750,4510750,4510750,4510750,4510750,4510750,4513288,4513288,4512454,4512454,4516398,4516398,4516398,4516398,4516398,4516398,4516398,4516398,4516398,4516398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
