"","dates","values"
"1",1991-01-01,NaN
"2",1991-02-01,NaN
"3",1991-03-01,NaN
"4",1991-04-01,NaN
"5",1991-05-01,NaN
"6",1991-06-01,NaN
"7",1991-07-01,NaN
"8",1991-08-01,NaN
"9",1991-09-01,NaN
"10",1991-10-01,NaN
"11",1991-11-01,NaN
"12",1991-12-01,NaN
"13",1992-01-01,NaN
"14",1992-02-01,NaN
"15",1992-03-01,NaN
"16",1992-04-01,NaN
"17",1992-05-01,NaN
"18",1992-06-01,NaN
"19",1992-07-01,NaN
"20",1992-08-01,NaN
"21",1992-09-01,NaN
"22",1992-10-01,NaN
"23",1992-11-01,NaN
"24",1992-12-01,NaN
"25",1993-01-01,100.0106
"26",1993-02-01,99.3728
"27",1993-03-01,98.2208
"28",1993-04-01,99.0217
"29",1993-05-01,98.7281
"30",1993-06-01,97.0918
"31",1993-07-01,94.3713
"32",1993-08-01,93.9615
"33",1993-09-01,96.809
"34",1993-10-01,96.4323
"35",1993-11-01,94.6694
"36",1993-12-01,94.4796
"37",1994-01-01,95.0498
"38",1994-02-01,95.2292
"39",1994-03-01,96.7574
"40",1994-04-01,96.928
"41",1994-05-01,98.2902
"42",1994-06-01,99.0056
"43",1994-07-01,100.8866
"44",1994-08-01,101.1887
"45",1994-09-01,101.3756
"46",1994-10-01,102.1667
"47",1994-11-01,101.3578
"48",1994-12-01,100.3103
"49",1995-01-01,101.6519
"50",1995-02-01,102.723
"51",1995-03-01,104.4191
"52",1995-04-01,104.7941
"53",1995-05-01,104.4214
"54",1995-06-01,104.8996
"55",1995-07-01,106.2784
"56",1995-08-01,105.2827
"57",1995-09-01,104.8866
"58",1995-10-01,106.2836
"59",1995-11-01,106.8019
"60",1995-12-01,106.2184
"61",1996-01-01,106.1775
"62",1996-02-01,106.0635
"63",1996-03-01,105.7587
"64",1996-04-01,105.0272
"65",1996-05-01,104.2178
"66",1996-06-01,104.6222
"67",1996-07-01,105.7662
"68",1996-08-01,106.6124
"69",1996-09-01,105.8579
"70",1996-10-01,104.9701
"71",1996-11-01,105.0634
"72",1996-12-01,103.954
"73",1997-01-01,102.4568
"74",1997-02-01,100.6083
"75",1997-03-01,99.9369
"76",1997-04-01,99.4326
"77",1997-05-01,99.0511
"78",1997-06-01,97.722
"79",1997-07-01,95.0459
"80",1997-08-01,94.2522
"81",1997-09-01,96.6411
"82",1997-10-01,97.5993
"83",1997-11-01,98.6988
"84",1997-12-01,98.6875
"85",1998-01-01,97.8766
"86",1998-02-01,97.2841
"87",1998-03-01,96.4
"88",1998-04-01,96.8955
"89",1998-05-01,99.3484
"90",1998-06-01,99.1376
"91",1998-07-01,98.8528
"92",1998-08-01,100.097
"93",1998-09-01,102.775
"94",1998-10-01,104.379
"95",1998-11-01,102.554
"96",1998-12-01,102.7588
"97",1999-01-01,101.8167
"98",1999-02-01,99.9685
"99",1999-03-01,98.4477
