"","dates","values"
"420",1991-01-01,9.2
"421",1991-02-01,8.8
"422",1991-03-01,8.7
"423",1991-04-01,8.7
"424",1991-05-01,8.7
"425",1991-06-01,8.7
"426",1991-07-01,9
"427",1991-08-01,9.1
"428",1991-09-01,9
"429",1991-10-01,8.9
"430",1991-11-01,8.9
"431",1991-12-01,8.8
"432",1992-01-01,8.5
"433",1992-02-01,8.3
"434",1992-03-01,8.4
"435",1992-04-01,8.5
"436",1992-05-01,8.6
"437",1992-06-01,8.6
"438",1992-07-01,8.7
"439",1992-08-01,8.8
"440",1992-09-01,8.4
"441",1992-10-01,7.8
"442",1992-11-01,7.6
"443",1992-12-01,7.5
"444",1993-01-01,7.2
"445",1993-02-01,7
"446",1993-03-01,6.6
"447",1993-04-01,6.7
"448",1993-05-01,6.8
"449",1993-06-01,6.8
"450",1993-07-01,6.6
"451",1993-08-01,6.3
"452",1993-09-01,6.1
"453",1993-10-01,6
"454",1993-11-01,5.7
"455",1993-12-01,5.6
"456",1994-01-01,5.6
"457",1994-02-01,5.8
"458",1994-03-01,6.2
"459",1994-04-01,6.4
"460",1994-05-01,6.5
"461",1994-06-01,6.9
"462",1994-07-01,6.8
"463",1994-08-01,7
"464",1994-09-01,7.4
"465",1994-10-01,7.5
"466",1994-11-01,7.5
"467",1994-12-01,7.5
"468",1995-01-01,7.6
"469",1995-02-01,7.3
"470",1995-03-01,7.1
"471",1995-04-01,6.8
"472",1995-05-01,6.6
"473",1995-06-01,6.4
"474",1995-07-01,6.5
"475",1995-08-01,6.4
"476",1995-09-01,6.1
"477",1995-10-01,6
"478",1995-11-01,5.7
"479",1995-12-01,5.5
"480",1996-01-01,5.3
"481",1996-02-01,5.6
"482",1996-03-01,5.8
"483",1996-04-01,5.7
"484",1996-05-01,5.6
"485",1996-06-01,5.8
"486",1996-07-01,5.8
"487",1996-08-01,5.6
"488",1996-09-01,5.4
"489",1996-10-01,5.2
"490",1996-11-01,5.1
"491",1996-12-01,5
"492",1997-01-01,5
"493",1997-02-01,4.8
"494",1997-03-01,4.9
"495",1997-04-01,5
"496",1997-05-01,4.9
"497",1997-06-01,4.9
"498",1997-07-01,4.8
"499",1997-08-01,5
"500",1997-09-01,5
"501",1997-10-01,5.2
"502",1997-11-01,5.3
"503",1997-12-01,5.1
"504",1998-01-01,4.9
"505",1998-02-01,4.7
"506",1998-03-01,4.7
"507",1998-04-01,4.8
"508",1998-05-01,4.8
"509",1998-06-01,4.7
"510",1998-07-01,4.6
"511",1998-08-01,4.4
"512",1998-09-01,4.1
"513",1998-10-01,4
"514",1998-11-01,4.1
"515",1998-12-01,3.8
"516",1999-01-01,3.6
"517",1999-02-01,3.7
"518",1999-03-01,3.8
"519",1999-04-01,3.6
"520",1999-05-01,3.7
"521",1999-06-01,4.1
"522",1999-07-01,4.4
"523",1999-08-01,4.8
"524",1999-09-01,4.9
"525",1999-10-01,5.2
"526",1999-11-01,5
"527",1999-12-01,5.1
"528",2000-01-01,5.4
"529",2000-02-01,5.5
"530",2000-03-01,5.4
"531",2000-04-01,5.3
"532",2000-05-01,5.7
"533",2000-06-01,5.6
"534",2000-07-01,5.7
"535",2000-08-01,5.7
"536",2000-09-01,5.7
"537",2000-10-01,5.6
"538",2000-11-01,5.6
"539",2000-12-01,5.2
"540",2001-01-01,5
"541",2001-02-01,5
"542",2001-03-01,4.9
"543",2001-04-01,5
"544",2001-05-01,5.1
"545",2001-06-01,5
"546",2001-07-01,5.1
"547",2001-08-01,4.8
"548",2001-09-01,4.7
"549",2001-10-01,4.4
"550",2001-11-01,4.3
"551",2001-12-01,4.6
"552",2002-01-01,4.8
"553",2002-02-01,4.9
"554",2002-03-01,5.1
"555",2002-04-01,5.1
"556",2002-05-01,5.1
"557",2002-06-01,5
"558",2002-07-01,4.8
"559",2002-08-01,4.5
"560",2002-09-01,4.2
"561",2002-10-01,4.3
"562",2002-11-01,4.2
"563",2002-12-01,4
"564",2003-01-01,3.8
"565",2003-02-01,3.5
"566",2003-03-01,3.6
"567",2003-04-01,3.7
"568",2003-05-01,3.3
"569",2003-06-01,3.1
"570",2003-07-01,3.4
"571",2003-08-01,3.7
"572",2003-09-01,3.7
"573",2003-10-01,3.8
"574",2003-11-01,3.9
"575",2003-12-01,3.8
"576",2004-01-01,3.6
"577",2004-02-01,3.6
"578",2004-03-01,3.4
"579",2004-04-01,3.6
"580",2004-05-01,3.7
"581",2004-06-01,3.8
"582",2004-07-01,3.7
"583",2004-08-01,3.5
"584",2004-09-01,3.5
"585",2004-10-01,3.4
"586",2004-11-01,3.3
"587",2004-12-01,3.1
"588",2005-01-01,3.1
"589",2005-02-01,3.1
"590",2005-03-01,3.2
"591",2005-04-01,3.1
"592",2005-05-01,2.9
"593",2005-06-01,2.7
"594",2005-07-01,2.8
"595",2005-08-01,2.8
"596",2005-09-01,2.7
"597",2005-10-01,3
"598",2005-11-01,3.2
"599",2005-12-01,3.2
"600",2006-01-01,3.2
"601",2006-02-01,3.4
"602",2006-03-01,3.6
"603",2006-04-01,3.8
"604",2006-05-01,3.9
"605",2006-06-01,3.9
"606",2006-07-01,4
"607",2006-08-01,3.9
"608",2006-09-01,3.8
"609",2006-10-01,3.9
"610",2006-11-01,3.9
"611",2006-12-01,3.9
"612",2007-01-01,4.1
"613",2007-02-01,4.2
"614",2007-03-01,4.1
"615",2007-04-01,4.3
"616",2007-05-01,4.4
"617",2007-06-01,4.7
"618",2007-07-01,4.7
"619",2007-08-01,4.5
"620",2007-09-01,4.5
"621",2007-10-01,4.5
"622",2007-11-01,4.4
"623",2007-12-01,4.5
"624",2008-01-01,4.2
"625",2008-02-01,4
"626",2008-03-01,4
"627",2008-04-01,4.3
"628",2008-05-01,4.5
"629",2008-06-01,5
"630",2008-07-01,5
"631",2008-08-01,4.7
"632",2008-09-01,4.8
"633",2008-10-01,4.8
"634",2008-11-01,4.2
"635",2008-12-01,3.9
"636",2009-01-01,3.7
"637",2009-02-01,3.8
"638",2009-03-01,3.8
"639",2009-04-01,3.8
"640",2009-05-01,3.6
"641",2009-06-01,3.6
"642",2009-07-01,3.3
"643",2009-08-01,3.2
"644",2009-09-01,3.1
"645",2009-10-01,3
"646",2009-11-01,3
"647",2009-12-01,2.9
"648",2010-01-01,3
"649",2010-02-01,2.9
"650",2010-03-01,2.8
"651",2010-04-01,2.7
"652",2010-05-01,2.5
"653",2010-06-01,2.4
"654",2010-07-01,2.4
"655",2010-08-01,2.2
"656",2010-09-01,2.2
"657",2010-10-01,2.3
"658",2010-11-01,2.5
"659",2010-12-01,2.8
"660",2011-01-01,2.9
"661",2011-02-01,3.2
"662",2011-03-01,3.3
"663",2011-04-01,3.4
"664",2011-05-01,3.2
"665",2011-06-01,3.1
"666",2011-07-01,3
"667",2011-08-01,2.6
"668",2011-09-01,2.4
"669",2011-10-01,2.5
"670",2011-11-01,2.4
"671",2011-12-01,2.3
"672",2012-01-01,2.1
"673",2012-02-01,2
"674",2012-03-01,1.9
"675",2012-04-01,1.9
"676",2012-05-01,1.7
"677",2012-06-01,1.6
"678",2012-07-01,1.4
"679",2012-08-01,1.3
"680",2012-09-01,1.3
"681",2012-10-01,1.2
"682",2012-11-01,1.1
"683",2012-12-01,1
"684",2013-01-01,1.1
"685",2013-02-01,1.2
"686",2013-03-01,1
"687",2013-04-01,0.9
"688",2013-05-01,0.9
"689",2013-06-01,1.2
"690",2013-07-01,1.3
"691",2013-08-01,1.4
"692",2013-09-01,1.5
"693",2013-10-01,1.4
"694",2013-11-01,1.3
"695",2013-12-01,1.3
"696",2014-01-01,1.4
"697",2014-02-01,1.2
"698",2014-03-01,1.2
"699",2014-04-01,1.2
"700",2014-05-01,1
"701",2014-06-01,0.9
"702",2014-07-01,0.8
"703",2014-08-01,0.7
"704",2014-09-01,0.7
"705",2014-10-01,0.6
"706",2014-11-01,0.5
"707",2014-12-01,0.5
"708",2015-01-01,0.4
"709",2015-02-01,0.3
"710",2015-03-01,0.3
"711",2015-04-01,0.2
"712",2015-05-01,0.4
"713",2015-06-01,0.5
"714",2015-07-01,0.5
"715",2015-08-01,0.4
"716",2015-09-01,0.4
"717",2015-10-01,0.4
"718",2015-11-01,0.4
"719",2015-12-01,0.4
"720",2016-01-01,0.4
"721",2016-02-01,0.2
"722",2016-03-01,0.2
"723",2016-04-01,0.2
