"","dates","values"
"54",1991-01-01,9.2
"55",1991-02-01,8.7
"56",1991-03-01,8.6
"57",1991-04-01,8.6
"58",1991-05-01,8.6
"59",1991-06-01,8.6
"60",1991-07-01,8.9
"61",1991-08-01,9
"62",1991-09-01,8.9
"63",1991-10-01,8.8
"64",1991-11-01,8.8
"65",1991-12-01,8.7
"66",1992-01-01,8.3
"67",1992-02-01,8.2
"68",1992-03-01,8.3
"69",1992-04-01,8.4
"70",1992-05-01,8.5
"71",1992-06-01,8.5
"72",1992-07-01,8.6
"73",1992-08-01,8.7
"74",1992-09-01,8.3
"75",1992-10-01,7.5
"76",1992-11-01,7.3
"77",1992-12-01,7.2
"78",1993-01-01,7
"79",1993-02-01,6.7
"80",1993-03-01,6.4
"81",1993-04-01,6.4
"82",1993-05-01,6.5
"83",1993-06-01,6.6
"84",1993-07-01,6.4
"85",1993-08-01,6.1
"86",1993-09-01,5.8
"87",1993-10-01,5.7
"88",1993-11-01,5.4
"89",1993-12-01,5.4
"90",1994-01-01,5.4
"91",1994-02-01,5.8
"92",1994-03-01,6.2
"93",1994-04-01,6.4
"94",1994-05-01,6.6
"95",1994-06-01,6.9
"96",1994-07-01,6.9
"97",1994-08-01,7
"98",1994-09-01,7.4
"99",1994-10-01,7.5
"100",1994-11-01,7.5
"101",1994-12-01,7.5
"102",1995-01-01,7.6
"103",1995-02-01,7.4
"104",1995-03-01,7.2
"105",1995-04-01,7
"106",1995-05-01,6.8
"107",1995-06-01,6.7
"108",1995-07-01,6.7
"109",1995-08-01,6.6
"110",1995-09-01,6.4
"111",1995-10-01,6.4
"112",1995-11-01,6.1
"113",1995-12-01,5.9
"114",1996-01-01,5.7
"115",1996-02-01,5.9
"116",1996-03-01,6.1
"117",1996-04-01,6
"118",1996-05-01,6
"119",1996-06-01,6.1
"120",1996-07-01,6.1
"121",1996-08-01,6
"122",1996-09-01,5.8
"123",1996-10-01,5.6
"124",1996-11-01,5.6
"125",1996-12-01,5.5
"126",1997-01-01,5.5
"127",1997-02-01,5.3
"128",1997-03-01,5.4
"129",1997-04-01,5.6
"130",1997-05-01,5.4
"131",1997-06-01,5.4
"132",1997-07-01,5.3
"133",1997-08-01,5.4
"134",1997-09-01,5.4
"135",1997-10-01,5.5
"136",1997-11-01,5.5
"137",1997-12-01,5.4
"138",1998-01-01,5.2
"139",1998-02-01,5
"140",1998-03-01,5
"141",1998-04-01,5
"142",1998-05-01,5
"143",1998-06-01,4.9
"144",1998-07-01,4.8
"145",1998-08-01,4.7
"146",1998-09-01,4.4
"147",1998-10-01,4.3
"148",1998-11-01,4.4
"149",1998-12-01,4.1
"150",1999-01-01,3.9
"151",1999-02-01,3.9
"152",1999-03-01,4.1
"153",1999-04-01,3.9
"154",1999-05-01,4
"155",1999-06-01,4.3
"156",1999-07-01,4.6
"157",1999-08-01,4.9
"158",1999-09-01,5.1
"159",1999-10-01,5.3
"160",1999-11-01,5.2
"161",1999-12-01,5.2
"162",2000-01-01,5.5
"163",2000-02-01,5.6
"164",2000-03-01,5.5
"165",2000-04-01,5.4
"166",2000-05-01,5.7
"167",2000-06-01,5.6
"168",2000-07-01,5.7
"169",2000-08-01,5.7
"170",2000-09-01,5.7
"171",2000-10-01,5.6
"172",2000-11-01,5.6
"173",2000-12-01,5.3
"174",2001-01-01,5.1
"175",2001-02-01,5.1
"176",2001-03-01,5
"177",2001-04-01,5.1
"178",2001-05-01,5.2
"179",2001-06-01,5.1
"180",2001-07-01,5.1
"181",2001-08-01,4.9
"182",2001-09-01,4.8
"183",2001-10-01,4.6
"184",2001-11-01,4.4
"185",2001-12-01,4.7
"186",2002-01-01,4.8
"187",2002-02-01,4.9
"188",2002-03-01,5.1
"189",2002-04-01,5.1
"190",2002-05-01,5.1
"191",2002-06-01,5
"192",2002-07-01,4.8
"193",2002-08-01,4.5
"194",2002-09-01,4.3
"195",2002-10-01,4.3
"196",2002-11-01,4.2
"197",2002-12-01,4.1
"198",2003-01-01,3.8
"199",2003-02-01,3.6
"200",2003-03-01,3.6
"201",2003-04-01,3.7
"202",2003-05-01,3.4
"203",2003-06-01,3.1
"204",2003-07-01,3.4
"205",2003-08-01,3.7
"206",2003-09-01,3.7
"207",2003-10-01,3.8
"208",2003-11-01,4
"209",2003-12-01,3.9
"210",2004-01-01,3.7
"211",2004-02-01,3.7
"212",2004-03-01,3.5
"213",2004-04-01,3.6
"214",2004-05-01,3.8
"215",2004-06-01,3.9
"216",2004-07-01,3.8
"217",2004-08-01,3.7
"218",2004-09-01,3.6
"219",2004-10-01,3.5
"220",2004-11-01,3.4
"221",2004-12-01,3.2
"222",2005-01-01,3.2
"223",2005-02-01,3.2
"224",2005-03-01,3.4
"225",2005-04-01,3.2
"226",2005-05-01,3
"227",2005-06-01,2.9
