"","dates","values"
"408",1991-01-01,9.35
"409",1991-02-01,9.07
"410",1991-03-01,8.74
"411",1991-04-01,8.71
"412",1991-05-01,8.66
"413",1991-06-01,8.58
"414",1991-07-01,9.28
"415",1991-08-01,9.02
"416",1991-09-01,8.94
"417",1991-10-01,8.91
"418",1991-11-01,8.91
"419",1991-12-01,8.88
"420",1992-01-01,8.84
"421",1992-02-01,8.59
"422",1992-03-01,8.61
"423",1992-04-01,8.71
"424",1992-05-01,8.86
"425",1992-06-01,9.14
"426",1992-07-01,9.25
"427",1992-08-01,9.34
"428",1992-09-01,9.03
"429",1992-10-01,8.5
"430",1992-11-01,8.25
"431",1992-12-01,7.86
"432",1993-01-01,7.47
"433",1993-02-01,7.4
"434",1993-03-01,7.04
"435",1993-04-01,7
"436",1993-05-01,7.06
"437",1993-06-01,7.15
"438",1993-07-01,7.06
"439",1993-08-01,6.73
"440",1993-09-01,6.64
"441",1993-10-01,6.41
"442",1993-11-01,6.32
"443",1993-12-01,6.21
"444",1994-01-01,6.31
"445",1994-02-01,6.41
"446",1994-03-01,6.5
"447",1994-04-01,6.7
"448",1994-05-01,6.86
"449",1994-06-01,7.03
"450",1994-07-01,7.13
"451",1994-08-01,7.17
"452",1994-09-01,7.45
"453",1994-10-01,7.58
"454",1994-11-01,7.49
"455",1994-12-01,7.67
"456",1995-01-01,7.93
"457",1995-02-01,7.69
"458",1995-03-01,7.39
"459",1995-04-01,7.21
"460",1995-05-01,7.05
"461",1995-06-01,6.84
"462",1995-07-01,6.85
"463",1995-08-01,6.72
"464",1995-09-01,6.49
"465",1995-10-01,6.36
"466",1995-11-01,6.03
"467",1995-12-01,5.68
"468",1996-01-01,5.6
"469",1996-02-01,5.78
"470",1996-03-01,6.29
"471",1996-04-01,6.2
"472",1996-05-01,6.17
"473",1996-06-01,6.23
"474",1996-07-01,6.12
"475",1996-08-01,5.98
"476",1996-09-01,5.72
"477",1996-10-01,5.43
"478",1996-11-01,5.38
"479",1996-12-01,5.25
"480",1997-01-01,5.18
"481",1997-02-01,4.99
"482",1997-03-01,5.12
"483",1997-04-01,5.19
"484",1997-05-01,5.07
"485",1997-06-01,5.02
"486",1997-07-01,4.92
"487",1997-08-01,5.13
"488",1997-09-01,5.14
"489",1997-10-01,5.41
"490",1997-11-01,5.56
"491",1997-12-01,5.37
"492",1998-01-01,5.11
"493",1998-02-01,4.96
"494",1998-03-01,4.92
"495",1998-04-01,4.99
"496",1998-05-01,5.45
"497",1998-06-01,5.35
"498",1998-07-01,5.29
"499",1998-08-01,4.96
"500",1998-09-01,4.81
"501",1998-10-01,4.67
"502",1998-11-01,4.73
"503",1998-12-01,4.73
"504",1999-01-01,4.39
"505",1999-02-01,4.42
"506",1999-03-01,4.51
"507",1999-04-01,4.38
"508",1999-05-01,4.4
"509",1999-06-01,4.74
"510",1999-07-01,4.99
"511",1999-08-01,5.33
"512",1999-09-01,5.41
