"","dates","values"
"220",1991-01-01,8.86
"221",1991-02-01,8.73
"222",1991-03-01,8.77
"223",1991-04-01,8.97
"224",1991-05-01,8.7
"225",1991-06-01,8.97
"226",1991-07-01,9.28
"227",1991-08-01,8.87
"228",1991-09-01,9
"229",1991-10-01,9.07
"230",1991-11-01,9.19
"231",1991-12-01,8.91
"232",1992-01-01,9.21
"233",1992-02-01,9.22
"234",1992-03-01,9.04
"235",1992-04-01,9.43
"236",1992-05-01,9.54
"237",1992-06-01,9.38
"238",1992-07-01,9.48
"239",1992-08-01,9.63
"240",1992-09-01,8.39
"241",1992-10-01,7.89
"242",1992-11-01,7.85
"243",1992-12-01,7.97
"244",1993-01-01,7.58
"245",1993-02-01,7.46
"246",1993-03-01,7.24
"247",1993-04-01,7.38
"248",1993-05-01,7
"249",1993-06-01,7.02
"250",1993-07-01,6.77
"251",1993-08-01,6.22
"252",1993-09-01,6.21
"253",1993-10-01,6.02
"254",1993-11-01,5.65
"255",1993-12-01,5.64
"256",1994-01-01,5.5
"257",1994-02-01,5.71
"258",1994-03-01,5.57
"259",1994-04-01,5.36
"260",1994-05-01,5.15
"261",1994-06-01,5.03
"262",1994-07-01,5
"263",1994-08-01,5.08
"264",1994-09-01,5.34
"265",1994-10-01,5.25
"266",1994-11-01,5.34
"267",1994-12-01,5.45
"268",1995-01-01,5.28
"269",1995-02-01,5.31
"270",1995-03-01,4.9
"271",1995-04-01,4.6
"272",1995-05-01,4.48
"273",1995-06-01,4.61
"274",1995-07-01,4.47
"275",1995-08-01,4.24
"276",1995-09-01,4.02
"277",1995-10-01,4.02
"278",1995-11-01,3.82
"279",1995-12-01,3.69
"280",1996-01-01,3.19
"281",1996-02-01,3.29
"282",1996-03-01,3.22
"283",1996-04-01,3.15
"284",1996-05-01,3.26
"285",1996-06-01,3.39
"286",1996-07-01,3.35
"287",1996-08-01,3.19
"288",1996-09-01,3.08
"289",1996-10-01,3.18
"290",1996-11-01,3.19
"291",1996-12-01,3.16
"292",1997-01-01,3.09
"293",1997-02-01,3.23
"294",1997-03-01,3.27
"295",1997-04-01,3.22
"296",1997-05-01,3.18
"297",1997-06-01,3.09
"298",1997-07-01,3.18
"299",1997-08-01,3.31
"300",1997-09-01,3.44
"301",1997-10-01,3.74
"302",1997-11-01,3.81
"303",1997-12-01,3.65
"304",1998-01-01,3.52
"305",1998-02-01,3.51
"306",1998-03-01,3.61
"307",1998-04-01,3.72
"308",1998-05-01,3.59
"309",1998-06-01,3.41
"310",1998-07-01,3.58
"311",1998-08-01,3.43
"312",1998-09-01,3.5
