"","dates","values"
"219",1991-01-01,9.01
"220",1991-02-01,8.6
"221",1991-03-01,8.71
"222",1991-04-01,8.7
"223",1991-05-01,8.53
"224",1991-06-01,8.77
"225",1991-07-01,9.04
"226",1991-08-01,8.83
"227",1991-09-01,8.85
"228",1991-10-01,8.83
"229",1991-11-01,8.81
"230",1991-12-01,8.62
"231",1992-01-01,8.19
"232",1992-02-01,8.19
"233",1992-03-01,8.44
"234",1992-04-01,8.48
"235",1992-05-01,8.4
"236",1992-06-01,8.52
"237",1992-07-01,8.66
"238",1992-08-01,8.51
"239",1992-09-01,7.87
"240",1992-10-01,7.29
"241",1992-11-01,7.23
"242",1992-12-01,6.96
"243",1993-01-01,6.84
"244",1993-02-01,6.26
"245",1993-03-01,6.23
"246",1993-04-01,6.36
"247",1993-05-01,6.41
"248",1993-06-01,6.23
"249",1993-07-01,6.04
"250",1993-08-01,5.8
"251",1993-09-01,5.67
"252",1993-10-01,5.35
"253",1993-11-01,5.2
"254",1993-12-01,5.01
"255",1994-01-01,5.1
"256",1994-02-01,5.7
"257",1994-03-01,5.8
"258",1994-04-01,6.06
"259",1994-05-01,6.26
"260",1994-06-01,6.44
"261",1994-07-01,6.35
"262",1994-08-01,6.69
"263",1994-09-01,7.06
"264",1994-10-01,7.05
"265",1994-11-01,6.98
"266",1994-12-01,7.31
"267",1995-01-01,7.06
"268",1995-02-01,6.89
"269",1995-03-01,6.35
"270",1995-04-01,6.19
"271",1995-05-01,5.67
"272",1995-06-01,6.14
"273",1995-07-01,5.92
"274",1995-08-01,5.73
"275",1995-09-01,5.56
"276",1995-10-01,5.34
"277",1995-11-01,4.95
"278",1995-12-01,4.78
"279",1996-01-01,4.64
"280",1996-02-01,5.13
"281",1996-03-01,5.16
"282",1996-04-01,4.96
"283",1996-05-01,5.06
"284",1996-06-01,5.37
"285",1996-07-01,5.19
"286",1996-08-01,5.03
"287",1996-09-01,4.81
"288",1996-10-01,4.75
"289",1996-11-01,4.49
"290",1996-12-01,4.51
"291",1997-01-01,4.38
"292",1997-02-01,4.29
"293",1997-03-01,4.63
"294",1997-04-01,4.52
"295",1997-05-01,4.62
"296",1997-06-01,4.37
"297",1997-07-01,4.48
"298",1997-08-01,4.7
"299",1997-09-01,4.72
"300",1997-10-01,4.95
"301",1997-11-01,4.88
"302",1997-12-01,4.7
"303",1998-01-01,4.4
"304",1998-02-01,4.36
"305",1998-03-01,4.48
"306",1998-04-01,4.64
"307",1998-05-01,4.44
"308",1998-06-01,4.32
"309",1998-07-01,4.3
"310",1998-08-01,3.78
"311",1998-09-01,3.64
"312",1998-10-01,3.63
"313",1998-11-01,3.51
"314",1998-12-01,3.37
"315",1999-01-01,3.13
"316",1999-02-01,3.45
"317",1999-03-01,3.29
"318",1999-04-01,3.07
"319",1999-05-01,3.27
"320",1999-06-01,3.83
"321",1999-07-01,4.08
"322",1999-08-01,4.25
"323",1999-09-01,4.45
"324",1999-10-01,4.66
"325",1999-11-01,4.68
"326",1999-12-01,4.82
"327",2000-01-01,5.1
"328",2000-02-01,5.05
"329",2000-03-01,4.88
"330",2000-04-01,5.01
"331",2000-05-01,5.15
"332",2000-06-01,5.08
"333",2000-07-01,5.21
"334",2000-08-01,5.33
"335",2000-09-01,5.16
"336",2000-10-01,5.14
"337",2000-11-01,4.89
"338",2000-12-01,4.59
"339",2001-01-01,4.52
"340",2001-02-01,4.45
"341",2001-03-01,4.33
"342",2001-04-01,4.69
"343",2001-05-01,4.66
"344",2001-06-01,4.5
"345",2001-07-01,4.34
"346",2001-08-01,4.17
"347",2001-09-01,3.95
"348",2001-10-01,3.66
"349",2001-11-01,3.96
"350",2001-12-01,4.3
"351",2002-01-01,4.52
"352",2002-02-01,4.42
"353",2002-03-01,4.8
"354",2002-04-01,4.61
"355",2002-05-01,4.68
"356",2002-06-01,4.44
"357",2002-07-01,4.18
"358",2002-08-01,3.94
"359",2002-09-01,3.6
"360",2002-10-01,3.72
"361",2002-11-01,3.69
"362",2002-12-01,3.32
"363",2003-01-01,3.14
"364",2003-02-01,2.9
"365",2003-03-01,3.07
"366",2003-04-01,3.11
"367",2003-05-01,2.64
"368",2003-06-01,2.78
"369",2003-07-01,3.05
"370",2003-08-01,3.31
"371",2003-09-01,2.99
"372",2003-10-01,3.45
"373",2003-11-01,3.54
"374",2003-12-01,3.35
"375",2004-01-01,3.26
"376",2004-02-01,2.95
"377",2004-03-01,2.85
"378",2004-04-01,3.25
"379",2004-05-01,3.34
"380",2004-06-01,3.45
"381",2004-07-01,3.34
"382",2004-08-01,3.16
"383",2004-09-01,3.15
"384",2004-10-01,3.01
"385",2004-11-01,2.88
"386",2004-12-01,2.96
"387",2005-01-01,2.85
"388",2005-02-01,3
"389",2005-03-01,2.98
"390",2005-04-01,2.66
"391",2005-05-01,2.55
"392",2005-06-01,2.38
"393",2005-07-01,2.57
"394",2005-08-01,2.52
"395",2005-09-01,2.67
"396",2005-10-01,2.93
"397",2005-11-01,3.02
"398",2005-12-01,3.02
"399",2006-01-01,3.2
"400",2006-02-01,3.24
"401",2006-03-01,3.51
"402",2006-04-01,3.7
"403",2006-05-01,3.61
"404",2006-06-01,3.8
"405",2006-07-01,3.68
"406",2006-08-01,3.59
"407",2006-09-01,3.56
"408",2006-10-01,3.72
"409",2006-11-01,3.65
"410",2006-12-01,3.9
"411",2007-01-01,4.02
"412",2007-02-01,3.88
"413",2007-03-01,4
"414",2007-04-01,4.17
"415",2007-05-01,4.39
"416",2007-06-01,4.51
"417",2007-07-01,4.31
"418",2007-08-01,4.12
"419",2007-09-01,4.17
"420",2007-10-01,4.08
"421",2007-11-01,3.84
"422",2007-12-01,4.15
"423",2008-01-01,3.53
"424",2008-02-01,3.32
"425",2008-03-01,3.62
"426",2008-04-01,3.9
"427",2008-05-01,4.3
"428",2008-06-01,4.56
"429",2008-07-01,4.35
"430",2008-08-01,4.02
"431",2008-09-01,3.61
"432",2008-10-01,2.98
"433",2008-11-01,2.51
"434",2008-12-01,2.26
"435",2009-01-01,2.27
"436",2009-02-01,2.02
"437",2009-03-01,1.99
"438",2009-04-01,2.16
"439",2009-05-01,2.36
"440",2009-06-01,2.27
"441",2009-07-01,2.3
"442",2009-08-01,2.27
"443",2009-09-01,2.21
"444",2009-10-01,2.22
"445",2009-11-01,2.02
"446",2009-12-01,2.18
"447",2010-01-01,2
"448",2010-02-01,1.8
"449",2010-03-01,1.83
"450",2010-04-01,1.69
"451",2010-05-01,1.24
"452",2010-06-01,1.19
"453",2010-07-01,1.46
"454",2010-08-01,1.07
"455",2010-09-01,1.24
"456",2010-10-01,1.52
"457",2010-11-01,1.49
"458",2010-12-01,1.63
"459",2011-01-01,2.15
"460",2011-02-01,2.13
"461",2011-03-01,2.46
"462",2011-04-01,2.44
"463",2011-05-01,2.15
"464",2011-06-01,2.06
"465",2011-07-01,1.66
"466",2011-08-01,1.11
"467",2011-09-01,1.03
"468",2011-10-01,1.03
"469",2011-11-01,1.02
"470",2011-12-01,0.61
"471",2012-01-01,0.59
"472",2012-02-01,0.61
"473",2012-03-01,0.62
"474",2012-04-01,0.43
"475",2012-05-01,0.26
"476",2012-06-01,0.47
"477",2012-07-01,0.2
"478",2012-08-01,0.24
"479",2012-09-01,0.32
"480",2012-10-01,0.34
"481",2012-11-01,0.25
"482",2012-12-01,0.2
"483",2013-01-01,0.58
"484",2013-02-01,0.29
"485",2013-03-01,0.14
"486",2013-04-01,0.19
"487",2013-05-01,0.3
"488",2013-06-01,0.53
"489",2013-07-01,0.5
"490",2013-08-01,0.61
"491",2013-09-01,0.46
"492",2013-10-01,0.44
"493",2013-11-01,0.44
"494",2013-12-01,0.69
"495",2014-01-01,0.39
"496",2014-02-01,0.4
"497",2014-03-01,0.41
"498",2014-04-01,0.41
"499",2014-05-01,0.27
"500",2014-06-01,0.22
"501",2014-07-01,0.19
"502",2014-08-01,0.11
"503",2014-09-01,0.05
"504",2014-10-01,0.03
"505",2014-11-01,0.01
"506",2014-12-01,-0.06
"507",2015-01-01,-0.12
"508",2015-02-01,-0.18
"509",2015-03-01,-0.17
"510",2015-04-01,-0.09
"511",2015-05-01,-0.09
"512",2015-06-01,-0.03
"513",2015-07-01,-0.1
"514",2015-08-01,-0.05
"515",2015-09-01,-0.11
"516",2015-10-01,-0.2
"517",2015-11-01,-0.29
"518",2015-12-01,-0.14
"519",2016-01-01,-0.36
"520",2016-02-01,-0.49
"521",2016-03-01,-0.43
"522",2016-04-01,-0.42
"523",2016-05-01,-0.46
"524",2016-06-01,-0.61
"525",2016-07-01,-0.61
"526",2016-08-01,-0.62
"527",2016-09-01,-0.69
"528",2016-10-01,-0.52
"529",2016-11-01,-0.58
"530",2016-12-01,-0.65
"531",2017-01-01,-0.48
"532",2017-02-01,-0.74
"533",2017-03-01,-0.54
"534",2017-04-01,-0.52
"535",2017-05-01,-0.56
"536",2017-06-01,-0.38
"537",2017-07-01,-0.4
"538",2017-08-01,-0.53
"539",2017-09-01,-0.47
"540",2017-10-01,-0.52
"541",2017-11-01,-0.45
"542",2017-12-01,-0.34
"543",2018-01-01,-0.16
"544",2018-02-01,-0.17
"545",2018-03-01,-0.28
"546",2018-04-01,-0.23
"547",2018-05-01,-0.39
"548",2018-06-01,-0.4
"549",2018-07-01,-0.34
"550",2018-08-01,-0.38
"551",2018-09-01,-0.25
"552",2018-10-01,-0.35
"553",2018-11-01,-0.4
"554",2018-12-01,-0.44
"555",2019-01-01,-0.43
"556",2019-02-01,-0.42
"557",2019-03-01,-0.54
"558",2019-04-01,-0.49
"559",2019-05-01,-0.65
"560",2019-06-01,-0.71
"561",2019-07-01,-0.77
"562",2019-08-01,-0.95
"563",2019-09-01,-0.8
"564",2019-10-01,-0.67
"565",2019-11-01,-0.64
"566",2019-12-01,-0.54
"567",2020-01-01,-0.67
"568",2020-02-01,-0.79
"569",2020-03-01,-0.7
