"Monat";"Lkw-Maut-Fahrleistungsindex"
"2015-01-01 01:00:00";98,4
"2015-02-01 01:00:00";98,2
"2015-03-01 01:00:00";98,5
"2015-04-01 02:00:00";98,3
"2015-05-01 02:00:00";100,1
"2015-06-01 02:00:00";99,4
"2015-07-01 02:00:00";100,4
"2015-08-01 02:00:00";100,1
"2015-09-01 02:00:00";100,6
"2015-10-01 02:00:00";100,1
"2015-11-01 01:00:00";100,4
"2015-12-01 01:00:00";102,2
"2016-01-01 01:00:00";102,8
"2016-02-01 01:00:00";103,7
"2016-03-01 01:00:00";103,2
"2016-04-01 02:00:00";104
"2016-05-01 02:00:00";103,1
"2016-06-01 02:00:00";103
"2016-07-01 02:00:00";103,3
"2016-08-01 02:00:00";104,4
"2016-09-01 02:00:00";104,3
"2016-10-01 02:00:00";105,8
"2016-11-01 01:00:00";106,2
"2016-12-01 01:00:00";104,5
"2017-01-01 01:00:00";103,8
"2017-02-01 01:00:00";107,2
"2017-03-01 01:00:00";106,6
"2017-04-01 02:00:00";108,1
"2017-05-01 02:00:00";108,6
"2017-06-01 02:00:00";108,4
"2017-07-01 02:00:00";108,8
"2017-08-01 02:00:00";110,3
"2017-09-01 02:00:00";110,7
"2017-10-01 02:00:00";110,3
"2017-11-01 01:00:00";112,7
"2017-12-01 01:00:00";110,2
"2018-01-01 01:00:00";111,8
"2018-02-01 01:00:00";111
"2018-03-01 01:00:00";110,1
"2018-04-01 02:00:00";109,9
"2018-05-01 02:00:00";113,1
"2018-06-01 02:00:00";111,9
"2018-07-01 02:00:00";111,3
"2018-08-01 02:00:00";111,9
"2018-09-01 02:00:00";112,9
"2018-10-01 02:00:00";113,4
"2018-11-01 01:00:00";113,2
"2018-12-01 01:00:00";114,7
"2019-01-01 01:00:00";114,4
"2019-02-01 01:00:00";113,4
"2019-03-01 01:00:00";113,7
"2019-04-01 02:00:00";112,9
"2019-05-01 02:00:00";111,6
"2019-06-01 02:00:00";112,5
"2019-07-01 02:00:00";112,8
"2019-08-01 02:00:00";111,9
"2019-09-01 02:00:00";111,6
"2019-10-01 02:00:00";112,1
"2019-11-01 01:00:00";112,3
"2019-12-01 01:00:00";111,3
"2020-01-01 01:00:00";113,8
"2020-02-01 01:00:00";115,7
"2020-03-01 01:00:00";108,6
"2020-04-01 02:00:00";97,3
"2020-05-01 02:00:00";103,6
"2020-06-01 02:00:00";108,3
"2020-07-01 02:00:00";110,7
"2020-08-01 02:00:00";112,2
"2020-09-01 02:00:00";113,3
"2020-10-01 02:00:00";113,3
"2020-11-01 01:00:00";114
"2020-12-01 01:00:00";118
"2021-01-01 01:00:00";115,4
"2021-02-01 01:00:00";112,6
"2021-03-01 01:00:00";117,2
"2021-04-01 02:00:00";116
"2021-05-01 02:00:00";116,2
"2021-06-01 02:00:00";116,5
"2021-07-01 02:00:00";115,5
"2021-08-01 02:00:00";113,3
"2021-09-01 02:00:00";113,8
"2021-10-01 02:00:00";115,2
"2021-11-01 01:00:00";116,4
"2021-12-01 01:00:00";117,5
"2022-01-01 01:00:00";116,6
"2022-02-01 01:00:00";117,3
