"Monat";"Lkw-Maut-Fahrleistungsindex";"Produktionsindex Verarbeitendes Gewerbe"
"2015-01-01 01:00:00";98,4;98,4
"2015-02-01 01:00:00";98,2;99,3
"2015-03-01 01:00:00";98,5;99,2
"2015-04-01 02:00:00";98,3;100,1
"2015-05-01 02:00:00";100,2;100,5
"2015-06-01 02:00:00";99,4;100,2
"2015-07-01 02:00:00";100,4;101,6
"2015-08-01 02:00:00";100,1;99
"2015-09-01 02:00:00";100,6;99,2
"2015-10-01 02:00:00";100,1;100,3
"2015-11-01 01:00:00";100,3;99
"2015-12-01 01:00:00";102,2;99,9
"2016-01-01 01:00:00";102,8;101,2
"2016-02-01 01:00:00";103,7;101,2
"2016-03-01 01:00:00";103,2;100,2
"2016-04-01 02:00:00";104;101
"2016-05-01 02:00:00";103,2;99
"2016-06-01 02:00:00";103;101,2
"2016-07-01 02:00:00";103,3;99,6
"2016-08-01 02:00:00";104,4;101,3
"2016-09-01 02:00:00";104,4;101
"2016-10-01 02:00:00";105,8;101,7
"2016-11-01 01:00:00";106,2;101,4
"2016-12-01 01:00:00";104,4;99,5
"2017-01-01 01:00:00";103,7;100,9
"2017-02-01 01:00:00";107;102,1
"2017-03-01 01:00:00";106,6;101,6
"2017-04-01 02:00:00";108,2;103,1
"2017-05-01 02:00:00";108,8;103,3
"2017-06-01 02:00:00";108,4;103,4
"2017-07-01 02:00:00";108,9;104,1
"2017-08-01 02:00:00";110,4;106,3
"2017-09-01 02:00:00";110,8;105,3
"2017-10-01 02:00:00";110,3;103,8
"2017-11-01 01:00:00";112,6;107,5
"2017-12-01 01:00:00";110,1;107
"2018-01-01 01:00:00";111,7;106,5
"2018-02-01 01:00:00";110,7;104,6
"2018-03-01 01:00:00";110,1;105,9
"2018-04-01 02:00:00";110,1;105,3
"2018-05-01 02:00:00";113,4;107,1
"2018-06-01 02:00:00";111,8;106,9
"2018-07-01 02:00:00";111,5;104,6
"2018-08-01 02:00:00";112;105,6
"2018-09-01 02:00:00";112,9;104,9
"2018-10-01 02:00:00";113,4;104,9
"2018-11-01 01:00:00";113,1;102,9
"2018-12-01 01:00:00";114,6;103,8
"2019-01-01 01:00:00";114,2;103,6
"2019-02-01 01:00:00";113,1;103,6
"2019-03-01 01:00:00";113,7;104,3
"2019-04-01 02:00:00";113,1;102,7
"2019-05-01 02:00:00";111,9;103,4
"2019-06-01 02:00:00";112,4;102,5
"2019-07-01 02:00:00";113;101,9
"2019-08-01 02:00:00";112;102,1
"2019-09-01 02:00:00";111,7;101,3
"2019-10-01 02:00:00";112,1;100,6
"2019-11-01 01:00:00";112,2;100,7
"2019-12-01 01:00:00";111,1;98,5
"2020-01-01 01:00:00";113,5;101,5
"2020-02-01 01:00:00";115,3;102,8
"2020-03-01 01:00:00";108,6;91,5
"2020-04-01 02:00:00";97,5;71
"2020-05-01 02:00:00";103,9;79,8
"2020-06-01 02:00:00";108,1;89,5
"2020-07-01 02:00:00";110,9;91,6
"2020-08-01 02:00:00";112,3;90,7
"2020-09-01 02:00:00";113,4;93,6
"2020-10-01 02:00:00";113,3;97,1
"2020-11-01 01:00:00";113,9;98,5
"2020-12-01 01:00:00";117,8;98,6
"2021-01-01 01:00:00";115,1;98,1
"2021-02-01 01:00:00";112,2;96,9
"2021-03-01 01:00:00";117,2;98,4
"2021-04-01 02:00:00";116,2;98
"2021-05-01 02:00:00";116,6;97
"2021-06-01 02:00:00";116,4;96,2
"2021-07-01 02:00:00";115,7;97,4
"2021-08-01 02:00:00";113,5;92,9
"2021-09-01 02:00:00";113,9;92,7
"2021-10-01 02:00:00";115,2;95,9
"2021-11-01 01:00:00";116,3;96,6
"2021-12-01 01:00:00";117,3;97,8
"2022-01-01 01:00:00";116,2;98,1
"2022-02-01 01:00:00";116,9;98,2
"2022-03-01 01:00:00";115,3;93,5
"2022-04-01 02:00:00";114,6;95
"2022-05-01 02:00:00";114,2;95,5
"2022-06-01 02:00:00";115;96,9
"2022-07-01 02:00:00";114;96,1
"2022-08-01 02:00:00";114,4;95,6
"2022-09-01 02:00:00";114,4;96,9
"2022-10-01 02:00:00";115,2;96,4
"2022-11-01 01:00:00";115,6;97,1
"2022-12-01 01:00:00";109,9;95,7
"2023-01-01 01:00:00";111;97,4
"2023-02-01 01:00:00";113,7;
