"Monat";"Originalwert";"Kalender- und saisonbereinigt (X13 JDemetra+)"
"2017-01";82,6;101
"2017-02";83,3;102,1
"2017-03";97,5;104
"2017-04";99,2;102,8
"2017-05";110,1;103,4
"2017-06";109,2;102,2
"2017-07";113;102,5
"2017-08";109,5;101
"2017-09";114,5;102,5
"2017-10";109;102,1
"2017-11";95,6;101,9
"2017-12";105,1;103,7
"2018-01";85,4;104,8
"2018-02";84,2;103,3
"2018-03";96,1;101,5
"2018-04";102,4;106,5
"2018-05";108,3;102,1
"2018-06";111;102,8
"2018-07";113,2;103,4
"2018-08";112,2;102,9
"2018-09";116;104,3
"2018-10";110;103,3
"2018-11";99,8;105,7
"2018-12";106,6;105,7
"2019-01";86;106
"2019-02";87,7;107,6
"2019-03";99,9;105,1
"2019-04";101,4;105,9
"2019-05";109,7;102,8
"2019-06";112;103,9
"2019-07";112,3;102,9
"2019-08";113,1;103
"2019-09";114,2;102,8
"2019-10";111,1;104,6
"2019-11";101,8;107,3
"2019-12";106,7;107
"2020-01";86,5;106,1
"2020-02";88,4;105,4
"2020-03";54,7;57,9
"2020-04";25,5;26,8
"2020-05";40,4;37,5
"2020-06";66;61,2
"2020-07";84,8;77,7
"2020-08";90,2;82,2
"2020-09";89;80,7
"2020-10";77,2;71,7
"2020-11";33,3;35,3
"2020-12";31,2;31,6
"2021-01";32,2;39,2
"2021-02";31,8;39,1
"2021-03";38,3;40,5
"2021-04";36,4;38,2
"2021-05";45,8;42,4
"2021-06";70,7;65,8
"2021-07";86,3;78,6
"2021-08";90,6;83
"2021-09";91,6;82,9
"2021-10";91,1;84,4
"2021-11";75,4;80
"2021-12";65,3;66
"2022-01";62;75,6
"2022-02";65,3;80,2
"2022-03";77,1;81,8
"2022-04";90,3;94,3
"2022-05";105,1;97,8
"2022-06";105,8;98,1
"2022-07";108,7;99
"2022-08";106,4;97,7
"2022-09";104,2;93,8
"2022-10";101,9;94,3
"2022-11";87,1;92,9
"2022-12";89,5;90,1
"2023-01";74,2;91,2
"2023-02";75,1;92,3
"2023-03";85,9;90,6
"2023-04";89,4;94
"2023-05";99,1;92,3
"2023-06";100,6;92,5
"2023-07";101,8;92,9
"2023-08";98;90,2
"2023-09";102,9;92
