"dates","2019-12-17","2020-01-20","2020-02-19","2020-03-18","2020-04-21","2020-05-20","2020-06-19","2020-07-20","2020-08-19","2020-09-15","2020-10-19","2020-11-19","2020-12-17","2021-01-18","2021-02-19","2021-03-18","2021-04-27","2021-05-20","2021-06-18","2021-07-19","2021-08-18","2021-09-20","2021-10-18","2021-11-19","2021-12-20","2022-01-18","2022-02-21","2022-03-18","2022-04-21","2022-05-17","2022-06-21","2022-07-19","2022-08-19","2022-09-19","2022-10-18","2022-11-21","2022-12-19","2023-01-19","2023-02-17","2023-03-21","2023-04-19","2023-05-17","2023-06-16","2023-07-19","2023-08-17","2023-09-19","2023-10-19","2023-11-16"
"2012-01",100.2,100.2,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-02",99.4,99.4,99.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-03",101.1,101.1,101.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-04",99.3,99.3,99.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-05",101.2,101.2,101.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-06",99.1,99.1,99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-07",98.8,98.8,98.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-08",100.2,100.2,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-09",100.8,100.8,100.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-10",98.7,98.7,98.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-11",99.9,99.9,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-12",100.1,100.1,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-01",98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,,98.8,98.8,98.8,,,,,,,,,,,,,,,,,
"2013-02",97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.4,97.5,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,,97.4,97.4,97.4,,,,,,,,,,,,,,,,,
"2013-03",98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.1,98.2,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,,98.1,98.1,98.1,,,,,,,,,,,,,,,,,
"2013-04",98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,,98.4,98.4,98.4,,,,,,,,,,,,,,,,,
"2013-05",96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,,96.2,96.2,96.2,,,,,,,,,,,,,,,,,
"2013-06",98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,99,98.9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,99,99,99,,,,,,,,,,,,,,,,,
"2013-07",98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,99,99,99,99,99,99,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,,98.9,98.9,98.9,,,,,,,,,,,,,,,,,
"2013-08",99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,99,99,99,,,,,,,,,,,,,,,,,
"2013-09",98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.9,98.8,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,,98.9,98.9,98.9,,,,,,,,,,,,,,,,,
"2013-10",99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,,99.7,99.7,99.7,,,,,,,,,,,,,,,,,
"2013-11",98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.8,98.9,98.7,98.7,98.7,98.7,98.7,98.7,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,,98.8,98.8,98.8,,,,,,,,,,,,,,,,,
"2013-12",98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,,98.4,98.4,98.4,,,,,,,,,,,,,,,,,
"2014-01",99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.3,99.4,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,,99.3,99.3,99.3,,,,,,,,,,,,,,,,,
