"Monat";"Kalender- und saisonbereinigt nach X13 JDemetra+"
"2015-01-01 01:00:00";98,4
"2015-02-01 01:00:00";98,3
"2015-03-01 01:00:00";98,6
"2015-04-01 02:00:00";98,4
"2015-05-01 02:00:00";100
"2015-06-01 02:00:00";99,5
"2015-07-01 02:00:00";100,3
"2015-08-01 02:00:00";100
"2015-09-01 02:00:00";100,5
"2015-10-01 02:00:00";100
"2015-11-01 01:00:00";100,3
"2015-12-01 01:00:00";102,4
"2016-01-01 01:00:00";102,8
"2016-02-01 01:00:00";103,9
"2016-03-01 01:00:00";103,4
"2016-04-01 02:00:00";104,1
"2016-05-01 02:00:00";102,9
"2016-06-01 02:00:00";103
"2016-07-01 02:00:00";103,2
"2016-08-01 02:00:00";104,3
"2016-09-01 02:00:00";104,2
"2016-10-01 02:00:00";105,6
"2016-11-01 01:00:00";106,1
"2016-12-01 01:00:00";104,9
"2017-01-01 01:00:00";103,7
"2017-02-01 01:00:00";107,4
"2017-03-01 01:00:00";106,9
"2017-04-01 02:00:00";108,1
"2017-05-01 02:00:00";108,5
"2017-06-01 02:00:00";108,5
"2017-07-01 02:00:00";108,7
"2017-08-01 02:00:00";110,3
"2017-09-01 02:00:00";110,4
"2017-10-01 02:00:00";106,5
"2017-11-01 01:00:00";112,5
"2017-12-01 01:00:00";110,5
"2018-01-01 01:00:00";111,7
"2018-02-01 01:00:00";111,2
"2018-03-01 01:00:00";110,6
"2018-04-01 02:00:00";110
"2018-05-01 02:00:00";112,9
"2018-06-01 02:00:00";112
"2018-07-01 02:00:00";111,2
"2018-08-01 02:00:00";111,8
"2018-09-01 02:00:00";112,4
"2018-10-01 02:00:00";112,6
"2018-11-01 01:00:00";113,1
"2018-12-01 01:00:00";114,7
"2019-01-01 01:00:00";114,2
"2019-02-01 01:00:00";113,8
"2019-03-01 01:00:00";114,2
"2019-04-01 02:00:00";113,1
"2019-05-01 02:00:00";111,4
"2019-06-01 02:00:00";112,6
"2019-07-01 02:00:00";112,7
"2019-08-01 02:00:00";111,7
"2019-09-01 02:00:00";111,2
"2019-10-01 02:00:00";111,3
"2019-11-01 01:00:00";112,1
"2019-12-01 01:00:00";111,5
"2020-01-01 01:00:00";113,5
"2020-02-01 01:00:00";116
"2020-03-01 01:00:00";109,3
"2020-04-01 02:00:00";97,4
"2020-05-01 02:00:00";103,4
"2020-06-01 02:00:00";108,4
"2020-07-01 02:00:00";110,5
