"Monat";"Kalender- und saisonbereinigt (X13 JDemetra+)"
"2019-01";105,3
"2019-02";106,9
"2019-03";105,9
"2019-04";104,4
"2019-05";103,2
"2019-06";105
"2019-07";103,4
"2019-08";103,7
"2019-09";103,7
"2019-10";104,8
"2019-11";106,5
"2019-12";105,4
"2020-01";105,1
"2020-02";104,7
"2020-03";58,4
"2020-04";26,4
"2020-05";37,7
"2020-06";61,9
"2020-07";77,9
"2020-08";83,2
"2020-09";81,5
"2020-10";71,6
"2020-11";35,1
"2020-12";30,9
"2021-01";38,8
"2021-02";38,8
"2021-03";40,9
"2021-04";37,2
"2021-05";42,9
"2021-06";66,8
"2021-07";78,6
"2021-08";84,2
"2021-09";83,6
"2021-10";84,7
"2021-11";79,4
"2021-12";64,1
"2022-01";80,2
"2022-02";83,8
"2022-03";86,3
"2022-04";91,6
"2022-05";99,3
"2022-06";98,8
"2022-07";96,4
"2022-08";96
"2022-09";95,2
"2022-10";95,1
