"Monat";"reale Originalwerte";"real Kalender- und saisonbereinigt (X13 JDemetra+)";"nominale Originalwerte";"nominal Kalender- und saisonbereinigt (X13 JDemetra+)"
"2017-01";82,6;101,2;84,7;104,2
"2017-02";83,3;102,4;85,9;105,9
"2017-03";97,5;104,1;100,6;107,6
"2017-04";99,2;102,5;102,5;106
"2017-05";110,1;103,3;114,3;107,1
"2017-06";109,2;102,4;113,7;106,2
"2017-07";113;102,2;118;106,7
"2017-08";109,5;100,7;114,3;105,2
"2017-09";114,5;102,4;120,5;107,1
"2017-10";109;102,3;114,4;107
"2017-11";95,6;102,3;100,1;107,2
"2017-12";105,1;103,8;110,2;109,1
"2018-01";85,4;105,1;89,6;110,7
"2018-02";84,2;103,7;88,7;109,6
"2018-03";96,1;101,7;101,5;107,7
"2018-04";102,4;106,2;108,4;112,5
"2018-05";108,3;102;115;108,2
"2018-06";111;102,9;118,4;109,3
"2018-07";113,2;103;120,5;109,5
"2018-08";112,2;102,4;119,5;109,1
"2018-09";116;104,3;124,5;111,3
"2018-10";110;103,4;117,9;110,5
"2018-11";99,8;106,4;106,8;113,9
"2018-12";106,6;105,9;114;113,6
"2019-01";86;106,6;91,9;114,4
"2019-02";87,7;108,1;94,1;116,4
"2019-03";99,9;105,3;107,2;113,4
"2019-04";101,4;105,1;109,8;113,9
"2019-05";109,7;102,7;119,8;112
"2019-06";112;104;122,6;113,3
"2019-07";112,3;102,2;122,6;111,4
"2019-08";113,1;102,4;123,5;111,8
"2019-09";114,2;102,9;125,6;112,6
"2019-10";111,1;105,1;122,2;115,2
"2019-11";101,8;107,6;111,9;118,4
"2019-12";106,7;107,2;117,2;118,1
"2020-01";86,5;106,8;95;117,8
"2020-02";88,4;105,7;97,3;116,8
"2020-03";54,7;58,1;60,2;64,2
"2020-04";25,5;26,5;28,2;29,4
"2020-05";40,4;37,4;44,9;41,5
"2020-06";66;61,4;73,4;67,9
"2020-07";84,8;77,1;98,2;89,1
"2020-08";90,2;81,7;104,4;94,5
"2020-09";89;80,5;102,9;92,6
"2020-10";77,2;72,2;89,3;83,2
"2020-11";33,3;35,5;38,4;41
"2020-12";31,2;31,6;36;36,6
"2021-01";32,2;39,5;36,7;45,2
"2021-02";31,8;39,3;36,2;44,9
"2021-03";38,3;40,8;43,6;46,6
"2021-04";36,4;37,7;41,5;43
"2021-05";45,8;42,4;52,5;48,5
"2021-06";70,7;65,9;82,1;76,1
"2021-07";86,3;77,8;100,6;90,5
"2021-08";90,6;82,7;105,9;96,5
"2021-09";91,6;82,9;106,9;96,3
"2021-10";91,1;85,1;106,7;99,3
"2021-11";75,4;80,5;88,2;94,2
"2021-12";65,3;66,1;76,7;77,9
"2022-01";62;76,3;73,3;90,6
"2022-02";65,2;80,5;77,5;96,1
"2022-03";77,1;82,3;92,1;98,8
"2022-04";90,3;92,5;109,1;112
"2022-05";105;97,6;128,4;119,2
"2022-06";105,7;98,4;130,8;121,1
"2022-07";108,7;97,9;136,5;122,6
"2022-08";106,3;97;133,9;122
"2022-09";104,1;93,7;133,2;119,2
"2022-10";101,7;95,1;130;121,2
"2022-11";87,1;93,4;111,5;119,7
"2022-12";89,9;90,5;115,4;116,7
"2023-01";74,7;92,8;97,1;121,2
"2023-02";75,9;93,8;99;122,9
"2023-03";86,9;92,2;114,2;121,8
"2023-04";91,5;94,2;120,8;124,7
"2023-05";102;94,7;135,7;125,8
"2023-06";103,6;95,8;138,9;127,6
"2023-07";104,3;94,1;140;126
"2023-08";99,9;91,5;133,7;122,3
"2023-09";106,4;95;143,8;127,6
"2023-10";98,5;92,8;133;124,9
"2023-11";86;92,4;116,3;125,1
"2023-12";91,1;91,9;123;124,6
"2024-01";73,6;91,8;98,4;123,3
"2024-02";76,9;92,9;103,4;125,5
"2024-03";87,2;91,6;118,2;124,8
"2024-04";87,9;90,9;120,2;124,6
"2024-05";98,1;90,8;134,8;124,6
"2024-06";100,2;92,2;139,2;127,3
"2024-07";100,6;91,5;138,7;125,8
"2024-08";99,4;89,9;137,6;124,2
"2024-09";99,3;89,5;138,9;124,3
"2024-10";93,8;88,9;130,8;123,6
"2024-11";86,9;91,9;120,7;127,9
"2024-12";89,5;91,3;124,4;127,5
"2025-01";73,1;91,2;101,9;127,8
"2025-02";73,5;90,7;103;127,7
"2025-03";84,9;89,4;118,9;125,8
"2025-04";88,5;91,8;124,4;129,4
"2025-05";97,5;89,4;140,7;128,9
"2025-06";96,2;88,8;137,3;125,9
"2025-07";97,8;89,3;139,6;127,1
"2025-08";97,2;87,8;138,9;125,3
"2025-09";95,7;86,3;138,8;124,2
"2025-10";93,9;88,6;135,2;127,2
"2025-11";85,4;90,8;122,7;130,7
