"Monat";"reale Originalwerte";"real Kalender- und saisonbereinigt (X13 JDemetra+)";"nominale Originalwerte";"nominal Kalender- und saisonbereinigt (X13 JDemetra+)"
"2019-01";86;106,6;91,9;114,4
"2019-02";87,7;108,1;94,1;116,4
"2019-03";99,9;105,3;107,2;113,4
"2019-04";101,4;105,1;109,8;113,9
"2019-05";109,7;102,7;119,8;112
"2019-06";112;104;122,6;113,3
"2019-07";112,3;102,2;122,6;111,4
"2019-08";113,1;102,4;123,5;111,8
"2019-09";114,2;102,9;125,6;112,6
"2019-10";111,1;105,1;122,2;115,2
"2019-11";101,8;107,6;111,9;118,4
"2019-12";106,7;107,2;117,2;118,1
"2020-01";86,5;106,8;95;117,8
"2020-02";88,4;105,7;97,3;116,8
"2020-03";54,7;58,1;60,2;64,2
"2020-04";25,5;26,5;28,2;29,4
"2020-05";40,4;37,4;44,9;41,5
"2020-06";66;61,4;73,4;67,9
"2020-07";84,8;77,1;98,2;89,1
"2020-08";90,2;81,7;104,4;94,5
"2020-09";89;80,5;102,9;92,6
"2020-10";77,2;72,2;89,3;83,2
"2020-11";33,3;35,5;38,4;41
"2020-12";31,2;31,6;36;36,6
"2021-01";32,2;39,5;36,7;45,2
"2021-02";31,8;39,3;36,2;44,9
"2021-03";38,3;40,8;43,6;46,6
"2021-04";36,4;37,7;41,5;43
"2021-05";45,8;42,4;52,5;48,5
"2021-06";70,7;65,9;82,1;76,1
"2021-07";86,3;77,8;100,6;90,5
"2021-08";90,6;82,7;105,9;96,5
"2021-09";91,6;82,9;106,9;96,3
"2021-10";91,1;85,1;106,7;99,3
"2021-11";75,4;80,5;88,2;94,2
"2021-12";65,3;66,1;76,7;77,9
"2022-01";62;76,3;73,3;90,6
"2022-02";65,2;80,5;77,5;96,1
"2022-03";77,1;82,3;92,1;98,8
"2022-04";90,3;92,5;109,1;112
"2022-05";105;97,6;128,4;119,2
"2022-06";105,7;98,4;130,8;121,1
"2022-07";108,7;97,9;136,5;122,6
"2022-08";106,3;97;133,9;122
"2022-09";104,1;93,7;133,2;119,2
"2022-10";101,7;95,1;130;121,2
"2022-11";87,1;93,4;111,5;119,7
"2022-12";89,9;90,5;115,4;116,7
"2023-01";74,7;92,8;97,1;121,2
"2023-02";75,9;93,8;99;122,9
"2023-03";86,9;92,2;114,2;121,8
"2023-04";91,5;94,2;120,8;124,7
"2023-05";102;94,7;135,7;125,8
"2023-06";103,6;95,8;138,9;127,6
"2023-07";104,3;94,1;140;126
"2023-08";99,9;91,5;133,7;122,3
"2023-09";106,4;95;143,8;127,6
"2023-10";98,5;92,8;133;124,9
"2023-11";86;92,4;116,3;125,1
"2023-12";91,1;91,9;123;124,6
"2024-01";73,6;91,8;98,4;123,3
"2024-02";76,8;92,8;103,3;125,4
"2024-03";87,2;91,6;118,2;124,8
"2024-04";87,9;90,9;120,2;124,6
"2024-05";98,1;90,8;134,8;124,6
"2024-06";100,2;92,2;139,2;127,3
"2024-07";100,6;91,5;138,7;125,8
"2024-08";99,4;89,9;137,6;124,2
"2024-09";99,3;89,5;138,9;124,3
"2024-10";93,9;89;130,8;123,6
"2024-11";86,9;91,9;120,7;127,9
"2024-12";89,5;91,3;124,5;127,6
"2025-01";73,1;91,2;101,9;127,8
"2025-02";73,4;90,6;102,8;127,5
"2025-03";84,7;89,2;118,8;125,7
"2025-04";88,5;91,8;124,4;129,4
"2025-05";97,7;89,5;140,8;128,9
"2025-06";96,4;88,9;137,5;126
"2025-07";97,9;89,4;139,7;127,2
"2025-08";97,3;87,9;139;125,4
"2025-09";95,6;86,2;138,6;124
"2025-10";93,6;88,3;134,8;126,8
"2025-11";85,1;90,5;122,3;130,3
"2025-12";87,9;89,9;126,6;130,1
"2026-01";69,6;86,3;104,2;129,8
"2026-02";70,2;86,5;105,4;130,5
"2026-03";79,7;84,6;120,7;128,8
