date, last_obs
2019-12-09, 2019M11
2020-08-07, 2020M07
2020-09-09, 2020M08
2020-10-09, 2020M09
2020-11-09, 2020M10
2020-12-09, 2020M11
2021-01-08, 2020M12
2021-02-09, 2021M1
2021-03-09, 2021M2
2021-04-09, 2021M3
2021-05-07, 2021M4
2021-06-09, 2021M5
2021-07-09, 2021M6
2021-08-09, 2021M7
2021-09-09, 2021M8
2021-10-09, 2021M9
2021-11-09, 2021M10
2021-12-09, 2021M11
2022-01-07, 2021M12
2022-02-09, 2022M1
2022-03-09, 2022M2
2022-04-11, 2022M3
2022-05-09, 2022M4
2022-06-09, 2022M5
2022-07-08, 2022M6
2022-08-09, 2022M7
2022-09-09, 2022M8
2022-10-10, 2022M9
2022-11-10, 2022M10
2022-12-08, 2022M11
2023-01-09, 2022M12
2023-02-09, 2023M1
2023-03-09, 2023M2
2023-04-11, 2023M3
2023-05-09, 2023M4
2023-06-09, 2023M5
2023-07-07, 2023M6
2023-08-09, 2023M7
2023-09-08, 2023M8
2023-10-09, 2023M9
2023-11-09, 2023M10
2023-12-08, 2023M11
